Day,Accident Type,# Accidents
"Jan 1, 2023",ACCIDENT_MINOR,11
"Jan 1, 2023",ACCIDENT_MAJOR,11
"Jan 2, 2023",ACCIDENT_MINOR,69
"Jan 2, 2023",ACCIDENT_MAJOR,29
"Jan 3, 2023",ACCIDENT_MINOR,52
"Jan 3, 2023",ACCIDENT_MAJOR,15
"Jan 4, 2023",ACCIDENT_MINOR,106
"Jan 4, 2023",ACCIDENT_MAJOR,39
"Jan 5, 2023",ACCIDENT_MINOR,45
"Jan 5, 2023",ACCIDENT_MAJOR,33
"Jan 6, 2023",ACCIDENT_MAJOR,28
"Jan 6, 2023",ACCIDENT_MINOR,61
"Jan 7, 2023",ACCIDENT_MAJOR,37
"Jan 7, 2023",ACCIDENT_MINOR,52
"Jan 8, 2023",ACCIDENT_MINOR,34
"Jan 8, 2023",ACCIDENT_MAJOR,21
"Jan 9, 2023",ACCIDENT_MINOR,54
"Jan 9, 2023",ACCIDENT_MAJOR,35
"Jan 10, 2023",ACCIDENT_MAJOR,20
"Jan 10, 2023",ACCIDENT_MINOR,64
"Jan 11, 2023",ACCIDENT_MAJOR,14
"Jan 11, 2023",ACCIDENT_MINOR,43
"Jan 12, 2023",ACCIDENT_MAJOR,25
"Jan 12, 2023",ACCIDENT_MINOR,65
"Jan 13, 2023",ACCIDENT_MAJOR,24
"Jan 13, 2023",ACCIDENT_MINOR,79
"Jan 14, 2023",ACCIDENT_MAJOR,28
"Jan 14, 2023",ACCIDENT_MINOR,53
"Jan 15, 2023",ACCIDENT_MAJOR,29
"Jan 15, 2023",ACCIDENT_MINOR,39
"Jan 16, 2023",ACCIDENT_MINOR,63
"Jan 16, 2023",ACCIDENT_MAJOR,39
"Jan 17, 2023",ACCIDENT_MAJOR,32
"Jan 17, 2023",ACCIDENT_MINOR,103
"Jan 18, 2023",ACCIDENT_MAJOR,25
"Jan 18, 2023",ACCIDENT_MINOR,76
"Jan 19, 2023",ACCIDENT_MINOR,67
"Jan 19, 2023",ACCIDENT_MAJOR,26
"Jan 20, 2023",ACCIDENT_MINOR,98
"Jan 20, 2023",ACCIDENT_MAJOR,41
"Jan 21, 2023",ACCIDENT_MAJOR,21
"Jan 21, 2023",ACCIDENT_MINOR,42
"Jan 22, 2023",ACCIDENT_MINOR,33
"Jan 22, 2023",ACCIDENT_MAJOR,13
"Jan 23, 2023",ACCIDENT_MAJOR,21
"Jan 23, 2023",ACCIDENT_MINOR,99
"Jan 24, 2023",ACCIDENT_MAJOR,24
"Jan 24, 2023",ACCIDENT_MINOR,68
"Jan 25, 2023",ACCIDENT_MINOR,89
"Jan 25, 2023",ACCIDENT_MAJOR,29
"Jan 26, 2023",ACCIDENT_MAJOR,31
"Jan 26, 2023",ACCIDENT_MINOR,80
"Jan 27, 2023",ACCIDENT_MINOR,60
"Jan 27, 2023",ACCIDENT_MAJOR,15
"Jan 28, 2023",ACCIDENT_MINOR,42
"Jan 28, 2023",ACCIDENT_MAJOR,27
"Jan 29, 2023",ACCIDENT_MAJOR,14
"Jan 29, 2023",ACCIDENT_MINOR,34
"Jan 30, 2023",ACCIDENT_MINOR,64
"Jan 30, 2023",ACCIDENT_MAJOR,34
"Jan 31, 2023",ACCIDENT_MAJOR,16
"Jan 31, 2023",ACCIDENT_MINOR,67
