Date,Country,City,Street,Location,Avg Reliability
"Jan 31, 2023",BR,Curitiba,PR-418 Contorno Norte,Point(-49.364329 -25.407635),5
"Jan 31, 2023",BR,Curitiba,Pç. N. Sra. do Carmo,Point(-49.238818 -25.500973),5
"Jan 31, 2023",BR,Curitiba,R. Brasílio Itiberê,Point(-49.268888 -25.446997),10
"Jan 31, 2023",BR,Curitiba,Av. Pres. Arthur da Silva Bernardes,Point(-49.301025 -25.46399),7
"Jan 31, 2023",BR,Curitiba,BR-116 S Contorno Leste,Point(-49.292137 -25.54651),5
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.249256 -25.45715),7
"Jan 31, 2023",BR,Campina Grande do Sul,BR-116 S Rod. Régis Bittencourt,Point(-49.094841 -25.365928),5
"Jan 31, 2023",BR,Curitiba,R. Brigadeiro Franco,Point(-49.285599 -25.426478),7
"Jan 31, 2023",BR,Curitiba,Av. Juscelino Kubitschek de Oliveira,Point(-49.358868 -25.459314),7
"Jan 31, 2023",BR,Curitiba,R. Tijucas do Sul,Point(-49.267424 -25.543967),8
"Jan 31, 2023",BR,Curitiba,BR-376 Contorno Sul,Point(-49.336781 -25.515715),6
"Jan 31, 2023",BR,Curitiba,R. Tibagi,Point(-49.262029 -25.433892),6
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.300623 -25.533611),9
"Jan 31, 2023",BR,São José dos Pinhais,Av. Rui Barbosa,Point(-49.173708 -25.507574),10
"Jan 31, 2023",BR,Curitiba,Av. Prefeito Lothario Meissner,Point(-49.240634 -25.444069),5
"Jan 31, 2023",BR,Curitiba,Av. Pres. Arthur da Silva Bernardes,Point(-49.300671 -25.46609),7
"Jan 31, 2023",BR,São José dos Pinhais,Av. das Torres,Point(-49.199753 -25.518807),7
"Jan 31, 2023",BR,Curitiba,R. Teófilo Soares Gomes,Point(-49.232431 -25.425908),6
"Jan 31, 2023",BR,Curitiba,R. Maj. Heitor Guimarães,Point(-49.313484 -25.435837),10
"Jan 31, 2023",BR,Curitiba,R. Canal Belém,Point(-49.247765 -25.468799),9
"Jan 31, 2023",BR,Curitiba,Est. do Ganchinho,Point(-49.27534 -25.554519),10
"Jan 31, 2023",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,Point(-49.304596 -25.549473),10
"Jan 31, 2023",BR,Curitiba,R. Gen. Mário Tourinho,Point(-49.309518 -25.434721),10
"Jan 31, 2023",BR,Colombo,BR-476 Est. da Ribeira,Point(-49.174381 -25.348017),9
"Jan 31, 2023",BR,Curitiba,R. José de Alencar,Point(-49.254035 -25.430195),6
"Jan 31, 2023",BR,Curitiba,R. Benjamin Lins,Point(-49.279264 -25.438982),8
"Jan 31, 2023",BR,Curitiba,Av. Silva Jardim - Pista Esq.,Point(-49.285016 -25.446257),7
"Jan 31, 2023",BR,Curitiba,R. dos Funcionários,Point(-49.25733 -25.40057),8
"Jan 31, 2023",BR,Curitiba,R. Alferes Poli,Point(-49.269014 -25.446041),9
"Jan 31, 2023",BR,São José dos Pinhais,R. Estela Mara Rezende,Point(-49.092533 -25.527132),6
"Jan 31, 2023",BR,Curitiba,Av. Pres. Arthur da Silva Bernardes,Point(-49.301105 -25.463347),5
"Jan 31, 2023",BR,Curitiba,R. Buda,Point(-49.209395 -25.36772),5
"Jan 31, 2023",BR,Curitiba,null,Point(-49.201625 -25.388666),10
"Jan 31, 2023",BR,Curitiba,BR-376 Contorno Sul,Point(-49.364834 -25.438341),5
"Jan 31, 2023",BR,Colombo,R. Antônio Betinardi,Point(-49.172379 -25.348012),5
"Jan 31, 2023",BR,Curitiba,R. José de Alencar,Point(-49.252682 -25.418779),6
"Jan 31, 2023",BR,Curitiba,BR-376 Contorno Sul,Point(-49.305561 -25.543757),5
"Jan 31, 2023",BR,Curitiba,R. Pe. Agostinho,Point(-49.290718 -25.428068),9
"Jan 31, 2023",BR,Curitiba,R. Alberto Twardowski,Point(-49.243825 -25.444111),10
"Jan 31, 2023",BR,Curitiba,R. Dr. Gabriel Ferreira Filho,Point(-49.209419 -25.474506),8
"Jan 31, 2023",BR,São José dos Pinhais,R. Paul Lepoutre,Point(-49.182097 -25.486843),7
"Jan 31, 2023",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,Point(-49.304571 -25.549361),10
"Jan 31, 2023",BR,Curitiba,Av. Pres. Getúlio Vargas,Point(-49.291592 -25.452519),6
"Jan 31, 2023",BR,Curitiba,BR-376 Contorno Sul,Point(-49.359339 -25.459685),5
"Jan 31, 2023",BR,Curitiba,R. Des. Motta,Point(-49.284841 -25.431705),5
"Jan 31, 2023",BR,Curitiba,null,Point(-49.357474 -25.464253),6
"Jan 31, 2023",BR,Curitiba,R. Roberto Hauer,Point(-49.246982 -25.471029),5
"Jan 31, 2023",BR,Curitiba,R. Tibagi,Point(-49.262539 -25.432688),9
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.279132 -25.500448),5
"Jan 31, 2023",BR,Curitiba,Av. Prefeito Maurício Fruet,Point(-49.232435 -25.442154),10
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.266001 -25.483702),6
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.258782 -25.475652),8
"Jan 31, 2023",BR,Curitiba,R. Batista da Costa,Point(-49.284958 -25.511556),5
"Jan 31, 2023",BR,Piraquara,BR-116 Contorno Leste,Point(-49.119189 -25.499678),10
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.253722 -25.469252),7
"Jan 31, 2023",BR,Curitiba,R. Prof. Brandão,Point(-49.250453 -25.424482),6
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.28785 -25.510955),10
"Jan 31, 2023",BR,Curitiba,Av. Mal. Mascarenhas de Moraes,Point(-49.213256 -25.385811),6
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.221067 -25.412042),10
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.271213 -25.490513),8
"Jan 31, 2023",BR,Curitiba,R. Des. Motta,Point(-49.279918 -25.438156),8
"Jan 31, 2023",BR,Curitiba,R. Pe. Agostinho,Point(-49.295852 -25.430116),7
"Jan 31, 2023",BR,Curitiba,BR-116 S Contorno Leste,Point(-49.276726 -25.553151),10
"Jan 31, 2023",BR,Curitiba,R. Frei Henrique de Coimbra,Point(-49.261283 -25.483887),5
"Jan 31, 2023",BR,Curitiba,R. Guilherme Pugsley,Point(-49.287262 -25.459117),10
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.249959 -25.460054),5
"Jan 31, 2023",BR,Curitiba,BR-116 S Contorno Leste,Point(-49.267108 -25.558695),10
"Jan 31, 2023",BR,Curitiba,Est. do Ganchinho,Point(-49.291034 -25.546722),10
"Jan 31, 2023",BR,São José dos Pinhais,BR-116 S Contorno Leste,Point(-49.213365 -25.570682),5
"Jan 31, 2023",BR,Curitiba,R. Des. Motta,Point(-49.279781 -25.438284),9
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.275447 -25.496096),5
"Jan 31, 2023",BR,Curitiba,R. João Lunardeli,Point(-49.319479 -25.54753),5
"Jan 31, 2023",BR,Curitiba,Av. Brasília,Point(-49.292012 -25.488119),8
"Jan 31, 2023",BR,Curitiba,R. Eduardo Sprada,Point(-49.352361 -25.449746),5
"Jan 31, 2023",BR,Curitiba,Av. Prefeito Lothario Meissner,Point(-49.238729 -25.444019),10
"Jan 31, 2023",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.122822 -25.504617),7
"Jan 31, 2023",BR,Curitiba,R. José Hauer,Point(-49.220254 -25.5005),8
"Jan 31, 2023",BR,Curitiba,R. Maj. Heitor Guimarães,Point(-49.312449 -25.436847),10
"Jan 31, 2023",BR,Curitiba,R. Prefeito Ângelo Lopes,Point(-49.242241 -25.414986),5
"Jan 31, 2023",BR,Curitiba,PR-418 Contorno Norte,Point(-49.364924 -25.409656),10
"Jan 31, 2023",BR,Piraquara,BR-116 Contorno Leste,Point(-49.119199 -25.499692),9
"Jan 31, 2023",BR,Curitiba,BR-116 N Contorno Leste,Point(-49.294535 -25.546155),10
"Jan 31, 2023",BR,Curitiba,PR-418 Contorno Norte,Point(-49.364905 -25.410133),9
"Jan 30, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.302234 -25.540453),8
"Jan 30, 2023",BR,Curitiba,R. Luiz Tramontin,Point(-49.339697 -25.460009),7
"Jan 30, 2023",BR,São José dos Pinhais,BR-277 Rod. do Café Gov. Ney Braga,Point(-49.179268 -25.488581),9
"Jan 30, 2023",BR,Curitiba,R. Carlos Dietzsch,Point(-49.295185 -25.47296),5
"Jan 30, 2023",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.165307 -25.565808),5
"Jan 30, 2023",BR,São José dos Pinhais,BR-376 N Rod. Henrique Herwig,Point(-49.182087 -25.567807),6
"Jan 30, 2023",BR,null,BR-277 S Rod. do Café Gov. Ney Braga,Point(-49.384175 -25.427121),6
"Jan 30, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.28756 -25.510591),5
"Jan 30, 2023",BR,Curitiba,R. Chiara Lubich,Point(-49.354371 -25.505271),5
"Jan 30, 2023",BR,Curitiba,Av. Comendador Franco,Point(-49.244487 -25.451135),10
"Jan 30, 2023",BR,Curitiba,BR-376 Contorno Sul,Point(-49.364958 -25.439247),7
"Jan 30, 2023",BR,Curitiba,R. Pe. Agostinho,Point(-49.293514 -25.429171),5
"Jan 30, 2023",BR,Curitiba,Av. Linha Verde,Point(-49.24964 -25.459255),8
"Jan 30, 2023",BR,Curitiba,BR-376 Contorno Sul,Point(-49.344255 -25.492508),10
"Jan 30, 2023",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.162903 -25.565443),10
"Jan 30, 2023",BR,São José dos Pinhais,BR-376 N Rod. Henrique Herwig,Point(-49.181705 -25.568928),5
"Jan 30, 2023",BR,Curitiba,R. Pe. José Lopacinski,Point(-49.351419 -25.437293),5
"Jan 30, 2023",BR,Curitiba,R. Mateus Leme,Point(-49.267433 -25.390575),9
"Jan 30, 2023",BR,Curitiba,Av. Silva Jardim - Pista Dir.,Point(-49.285125 -25.446423),5
"Jan 30, 2023",BR,Curitiba,Av. Pres. Getúlio Vargas,Point(-49.290292 -25.452023),5
"Jan 30, 2023",BR,Curitiba,Av. Pres. Affonso Camargo,Point(-49.243134 -25.437075),10
"Jan 30, 2023",BR,São José dos Pinhais,Saída 74,Point(-49.164079 -25.495675),10
"Jan 30, 2023",BR,Curitiba,BR-116 N Contorno Leste,Point(-49.297415 -25.545577),10
"Jan 30, 2023",BR,Curitiba,R. Anne Frank,Point(-49.252113 -25.468838),10
"Jan 30, 2023",BR,Curitiba,Av. Comendador Franco,Point(-49.246197 -25.449076),10
"Jan 30, 2023",BR,Curitiba,BR-277 S Rod. do Café Gov. Ney Braga,Point(-49.353344 -25.430642),5
"Jan 30, 2023",BR,Curitiba,null,Point(-49.310239 -25.553574),5
"Jan 30, 2023",BR,Curitiba,R. Gabriel Ribeiro,Point(-49.265483 -25.550337),6
"Jan 30, 2023",BR,Colombo,BR-116 S Rod. Régis Bittencourt,Point(-49.166513 -25.382686),5
"Jan 30, 2023",BR,Curitiba,R. Mateus Leme,Point(-49.267432 -25.390601),10
"Jan 30, 2023",BR,Curitiba,R. Gen. Mário Tourinho,Point(-49.304741 -25.451447),5
"Jan 30, 2023",BR,Curitiba,R. Lysimaco Ferreira da Costa,Point(-49.267901 -25.417649),7
