Day,Cause,# Irregularities
"Mar 1, 2022",ACCIDENT,4
"Mar 1, 2022",HAZARD,2
"Mar 2, 2022",HAZARD,2
"Mar 2, 2022",ACCIDENT,1
"Mar 3, 2022",ACCIDENT,2
"Mar 3, 2022",HAZARD,2
"Mar 4, 2022",HAZARD,6
"Mar 4, 2022",ACCIDENT,20
"Mar 5, 2022",HAZARD,1
"Mar 5, 2022",ACCIDENT,2
"Mar 6, 2022",ACCIDENT,1
"Mar 7, 2022",ACCIDENT,9
"Mar 7, 2022",HAZARD,10
"Mar 8, 2022",ACCIDENT,4
"Mar 8, 2022",HAZARD,2
"Mar 9, 2022",ACCIDENT,1
"Mar 9, 2022",HAZARD,1
"Mar 10, 2022",HAZARD,6
"Mar 10, 2022",ACCIDENT,9
"Mar 11, 2022",HAZARD,5
"Mar 11, 2022",ACCIDENT,27
"Mar 12, 2022",ACCIDENT,1
"Mar 13, 2022",ACCIDENT,1
"Mar 14, 2022",ACCIDENT,5
"Mar 14, 2022",HAZARD,1
"Mar 15, 2022",ACCIDENT,5
"Mar 15, 2022",HAZARD,2
"Mar 16, 2022",HAZARD,2
"Mar 16, 2022",ACCIDENT,5
"Mar 17, 2022",HAZARD,1
"Mar 17, 2022",ACCIDENT,8
"Mar 18, 2022",ACCIDENT,3
"Mar 18, 2022",HAZARD,1
"Mar 19, 2022",ACCIDENT,3
"Mar 19, 2022",HAZARD,2
"Mar 20, 2022",ACCIDENT,2
"Mar 21, 2022",ACCIDENT,9
"Mar 21, 2022",HAZARD,3
"Mar 22, 2022",ACCIDENT,6
"Mar 22, 2022",HAZARD,6
"Mar 23, 2022",HAZARD,6
"Mar 23, 2022",ACCIDENT,3
"Mar 24, 2022",HAZARD,4
"Mar 24, 2022",ACCIDENT,4
"Mar 25, 2022",HAZARD,2
"Mar 25, 2022",ACCIDENT,2
"Mar 26, 2022",ACCIDENT,1
"Mar 28, 2022",HAZARD,2
"Mar 28, 2022",ACCIDENT,5
"Mar 29, 2022",HAZARD,7
"Mar 29, 2022",ACCIDENT,10
"Mar 30, 2022",HAZARD,6
"Mar 30, 2022",ACCIDENT,5
"Mar 31, 2022",ACCIDENT,6
"Mar 31, 2022",HAZARD,4
