Date,Country,City,Street,Location,Avg Reliability
"Mar 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.233491 -25.440386),7
"Mar 31, 2022",BR,Curitiba,R. Des. Westphalen,Point(-49.268501 -25.442114),10
"Mar 31, 2022",BR,Curitiba,R. Francisco Raitani,Point(-49.294468 -25.503415),8
"Mar 31, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.362326 -25.403003),10
"Mar 31, 2022",BR,Curitiba,R. Aristides Athayde,Point(-49.237941 -25.415146),8
"Mar 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.283631 -25.506403),5
"Mar 31, 2022",BR,Curitiba,R. José de Alencar,Point(-49.253917 -25.429182),10
"Mar 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.301078 -25.534978),8
"Mar 31, 2022",BR,Curitiba,R. Mateus Leme,Point(-49.271288 -25.41441),10
"Mar 31, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.36246 -25.403368),10
"Mar 31, 2022",BR,Curitiba,R. André Prado,Point(-49.336852 -25.53262),5
"Mar 31, 2022",BR,Curitiba,Al. Júlia da Costa,Point(-49.303322 -25.437057),10
"Mar 31, 2022",BR,Curitiba,R. Luiz Felippe Lopes,Point(-49.314505 -25.432182),10
"Mar 31, 2022",BR,Curitiba,R. Januário Alves de Souza,Point(-49.233031 -25.51605),7
"Mar 31, 2022",BR,Curitiba,null,Point(-49.302429 -25.544732),7
"Mar 31, 2022",BR,Curitiba,Av. Iguaçu,Point(-49.301142 -25.454054),5
"Mar 31, 2022",BR,Curitiba,Al. Júlia da Costa,Point(-49.296243 -25.434259),6
"Mar 31, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.362538 -25.403547),5
"Mar 31, 2022",BR,Curitiba,BR-277 N Rod. do Café Gov. Ney Braga,Point(-49.365313 -25.431838),6
"Mar 31, 2022",BR,Curitiba,R. Pe. João Wislinski,Point(-49.218959 -25.377777),6
"Mar 31, 2022",BR,Pinhais,R. Jerônimo Busato Filho,Point(-49.196027 -25.440194),6
"Mar 31, 2022",BR,Curitiba,BR-116 N Rod. Régis Bittencourt,Point(-49.303166 -25.54423),7
"Mar 31, 2022",BR,Curitiba,R. Pedro Gusso,Point(-49.327843 -25.511403),5
"Mar 31, 2022",BR,Colombo,R. Justimiano Alves de Souza,Point(-49.222373 -25.345726),5
"Mar 31, 2022",BR,Curitiba,Av. Monteiro Tourinho,Point(-49.22323 -25.390372),7
"Mar 31, 2022",BR,Curitiba,R. São José dos Pinhais,Point(-49.257246 -25.545975),5
"Mar 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Dir.,Point(-49.27335 -25.441992),5
"Mar 31, 2022",BR,Pinhais,Av. Iraí,Point(-49.18918 -25.446911),8
"Mar 31, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.166737 -25.566223),9
"Mar 31, 2022",BR,Curitiba,R. Lysimaco Ferreira da Costa,Point(-49.267895 -25.41765),7
"Mar 31, 2022",BR,Curitiba,R. Alferes Ângelo Sampaio,Point(-49.281843 -25.444907),6
"Mar 31, 2022",BR,Curitiba,Av. Cândido Hartmann,Point(-49.316965 -25.422445),5
"Mar 31, 2022",BR,Curitiba,Av. Pres. Kennedy,Point(-49.279858 -25.466662),6
"Mar 31, 2022",BR,Curitiba,R. Itacolomi,Point(-49.296164 -25.479335),6
"Mar 31, 2022",BR,Curitiba,R. Campos Sales,Point(-49.263532 -25.417051),5
"Mar 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.223664 -25.417247),10
"Mar 31, 2022",BR,Curitiba,Av. Pres. Affonso Camargo,Point(-49.253203 -25.435711),5
"Mar 31, 2022",BR,Curitiba,R. Guabirotuba,Point(-49.255838 -25.448547),5
"Mar 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Dir.,Point(-49.263383 -25.438232),6
"Mar 31, 2022",BR,Curitiba,Av. Vicente Machado,Point(-49.29116 -25.43886),5
"Mar 31, 2022",BR,Curitiba,Av. Mal. Mascarenhas de Moraes,Point(-49.213857 -25.385341),5
"Mar 31, 2022",BR,Curitiba,R. Júlio Perneta,Point(-49.28873 -25.421148),10
"Mar 31, 2022",BR,Curitiba,R. Luiz Sperandio,Point(-49.346443 -25.428999),5
"Mar 31, 2022",BR,Curitiba,R. Itacolomi,Point(-49.296007 -25.479377),8
"Mar 31, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.358849 -25.39264),5
"Mar 31, 2022",BR,Curitiba,R. Antônio Bariquelo,Point(-49.261476 -25.472214),5
"Mar 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.235313 -25.448552),10
"Mar 31, 2022",BR,Pinhais,Av. Iraí,Point(-49.189915 -25.446475),7
"Mar 31, 2022",BR,Curitiba,R. Cap. Leônidas Marques,Point(-49.217925 -25.474372),5
"Mar 31, 2022",BR,null,BR-116 Contorno Leste,Point(-49.24804 -25.565038),6
"Mar 31, 2022",BR,Curitiba,Av. Pres. Getúlio Vargas,Point(-49.293607 -25.453293),5
"Mar 31, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.360158 -25.394927),10
"Mar 31, 2022",BR,Curitiba,R. Nicolau José Gravina,Point(-49.313901 -25.420808),5
"Mar 31, 2022",BR,São José dos Pinhais,Av. Rui Barbosa,Point(-49.168015 -25.501681),5
"Mar 31, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.168873 -25.566666),8
"Mar 31, 2022",BR,Curitiba,R. Mateus Leme,Point(-49.271264 -25.413906),10
"Mar 31, 2022",BR,Curitiba,Av. Paraná,Point(-49.223196 -25.374473),5
"Mar 31, 2022",BR,Curitiba,R. John Foster Dulles,Point(-49.306506 -25.451947),6
"Mar 31, 2022",BR,Curitiba,R. Hussein Ibrahim Omairy,Point(-49.258611 -25.553412),5
"Mar 31, 2022",BR,Curitiba,Av. Silva Jardim,Point(-49.260996 -25.43729),9
"Mar 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.233468 -25.439452),8
"Mar 31, 2022",BR,Curitiba,Marg. BR-277,Point(-49.199865 -25.479145),5
"Mar 31, 2022",BR,Curitiba,R. Pe. Agostinho,Point(-49.293757 -25.429274),5
"Mar 31, 2022",BR,Curitiba,R. Prof. Ulisses Vieira,Point(-49.304858 -25.460657),6
"Mar 31, 2022",BR,Pinhais,Av. Maringá,Point(-49.1916 -25.425454),10
"Mar 31, 2022",BR,null,BR-116 Contorno Leste,Point(-49.236483 -25.567599),10
"Mar 31, 2022",BR,Curitiba,R. Des. Carlos Pinheiro Guimarães,Point(-49.257094 -25.545922),7
"Mar 31, 2022",BR,Curitiba,Av. Mal. Mascarenhas de Moraes,Point(-49.214754 -25.385059),6
"Mar 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.301137 -25.535668),10
"Mar 31, 2022",BR,Curitiba,Av. Comendador Franco,Point(-49.236608 -25.461912),10
"Mar 31, 2022",BR,Curitiba,Av. Pref. Lothario Meissner,Point(-49.238508 -25.444),10
"Mar 31, 2022",BR,Curitiba,R. Lysimaco Ferreira da Costa,Point(-49.267386 -25.417742),10
"Mar 31, 2022",BR,Curitiba,R. Rio de Janeiro,Point(-49.274369 -25.470444),7
"Mar 31, 2022",BR,Curitiba,R. Cap. Leônidas Marques,Point(-49.218446 -25.475493),10
"Mar 31, 2022",BR,Colombo,R. Dulcídio Falavinha,Point(-49.182329 -25.353564),5
"Mar 31, 2022",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,Point(-49.205325 -25.388593),7
"Mar 31, 2022",BR,Curitiba,Av. Silva Jardim,Point(-49.261093 -25.437328),5
"Mar 31, 2022",BR,Curitiba,R. Gen. Mário Tourinho,Point(-49.307383 -25.438763),5
"Mar 31, 2022",BR,Curitiba,Av. Visc. de Guarapuava - Pista Esq.,Point(-49.277798 -25.440447),10
"Mar 31, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.181192 -25.569018),5
