Day,Average Delay (Seconds),# Irregularities
"Mar 31, 2022",695.6211790393013,88
"Mar 30, 2022",535.2371007371007,36
"Mar 29, 2022",522.2169390787518,80
"Mar 28, 2022",583.187125748503,48
"Mar 27, 2022",499.70917573872475,33
"Mar 26, 2022",492.55068493150685,25
"Mar 25, 2022",752.5820895522388,75
"Mar 24, 2022",601.7282217422606,100
"Mar 23, 2022",664.5605063291139,88
"Mar 22, 2022",638.9341818181819,93
"Mar 21, 2022",607.5565735226752,83
"Mar 20, 2022",582.2009803921569,34
"Mar 19, 2022",790.1129707112971,36
"Mar 18, 2022",620.2599512591389,60
"Mar 17, 2022",719.2152028762198,72
"Mar 16, 2022",650.3932244404114,135
"Mar 15, 2022",561.3331143232589,134
"Mar 14, 2022",599.7703984819734,110
"Mar 13, 2022",432.45088161209065,18
"Mar 12, 2022",599.1145038167939,20
"Mar 11, 2022",814.7772675086107,160
"Mar 10, 2022",684.0650818959269,227
"Mar 9, 2022",589.9524975514202,91
"Mar 8, 2022",547.7910265788832,150
"Mar 7, 2022",579.3184093437152,131
"Mar 6, 2022",757.389694041868,17
"Mar 5, 2022",484.93949579831934,29
"Mar 4, 2022",761.6408825093035,145
"Mar 3, 2022",675.4896214896215,76
"Mar 2, 2022",454.526588845655,30
"Mar 1, 2022",610.7231595092024,32
