Day,Average Delay (Seconds),# Irregularities
"Apr 30, 2022",523.0263788968825,31
"Apr 29, 2022",757.9608327452364,72
"Apr 28, 2022",731.1039377289377,63
"Apr 27, 2022",830.9567039106146,77
"Apr 26, 2022",599.4818887451488,59
"Apr 25, 2022",661.2198952879581,56
"Apr 24, 2022",1066.4981458590853,18
"Apr 23, 2022",644.8956639566395,41
"Apr 22, 2022",842.3628117913833,38
"Apr 21, 2022",686.8575667655787,32
"Apr 20, 2022",689.2719720157412,185
"Apr 19, 2022",513.7417943107221,74
"Apr 18, 2022",726.0850323222278,80
"Apr 17, 2022",498.11489361702127,27
"Apr 16, 2022",634.36,19
"Apr 15, 2022",556.3853820598007,21
"Apr 14, 2022",739.0720288115247,208
"Apr 13, 2022",630.6161003236246,99
"Apr 12, 2022",621.2686236499585,122
"Apr 11, 2022",673.9044626021371,68
"Apr 10, 2022",598.8539325842696,25
"Apr 9, 2022",462.6310312204352,34
"Apr 8, 2022",813.4394121175765,134
"Apr 7, 2022",1037.568093385214,91
"Apr 6, 2022",678.3367297428433,77
"Apr 5, 2022",688.5271226415094,72
"Apr 4, 2022",514.3872340425532,46
"Apr 3, 2022",704.0093708165997,19
"Apr 2, 2022",523.5742296918768,22
"Apr 1, 2022",706.1841591884511,168
