Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
"Apr 30, 2022",BR,Almirante Tamandaré,PR-092 Rod. dos Minérios,ACCIDENT,1939.9333333333334,233.33333333333334,306
"Apr 30, 2022",BR,Curitiba,R. Euzébio da Motta,null,697,850,16
"Apr 30, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,null,1802.6666666666667,498.76666666666665,5208
"Apr 30, 2022",BR,São José dos Pinhais,null,null,596,1947,22
"Apr 30, 2022",BR,Curitiba,R. Dep. Heitor Alencar Furtado,null,642.8,711.6,56
"Apr 30, 2022",BR,Curitiba,Av. João Gualberto,null,560,607,60
"Apr 30, 2022",BR,Pinhais,R. Primeiro de Maio,null,630,530,16
"Apr 30, 2022",BR,Curitiba,R. Cap. Leônidas Marques,null,812,539,54
"Apr 30, 2022",BR,Curitiba,R. Prof. João Falarz,null,687.75,360.75,88
"Apr 30, 2022",BR,Curitiba,Av. República Argentina,null,658.5,571,28
"Apr 30, 2022",BR,Colombo,Av. Marg. José de Anchieta,null,564.6666666666666,944.1666666666666,36
"Apr 30, 2022",BR,São José dos Pinhais,R. Ten. Djalma Dutra,null,1046.6666666666667,583.3333333333334,44
"Apr 30, 2022",BR,Curitiba,Al. Dr. Muricy,null,990,750,184
"Apr 30, 2022",BR,Colombo,BR-476 Est. da Ribeira,null,701,617.1428571428571,50
"Apr 30, 2022",BR,Almirante Tamandaré,PR-092 Rod. dos Minérios,null,1735.8688524590164,398.655737704918,759
"Apr 30, 2022",BR,Curitiba,Marg. Av. Linha Verde,null,612,824.8947368421053,1562
"Apr 30, 2022",BR,Curitiba,R. Bruno Filgueira,null,708.2,1018.2,86
"Apr 30, 2022",BR,Curitiba,R. Emílio de Menezes,null,511,466,8
"Apr 30, 2022",BR,Curitiba,R. Tobias de Macedo Jr.,null,666,1646,18
"Apr 30, 2022",BR,Pinhais,Al. dos Bosques,null,1557.5,311.5,14
"Apr 30, 2022",BR,Curitiba,R. Brasílio Cuman,null,1981.4,250,52
"Apr 29, 2022",BR,Curitiba,Av. Linha Verde,null,2439.347222222222,804.1909722222222,39855
"Apr 29, 2022",BR,Curitiba,BR-116 N Contorno Leste,null,1679.7042253521126,271.14084507042253,5305
"Apr 29, 2022",BR,Curitiba,BR-376 Contorno Sul,ACCIDENT,3128.375,1100.375,2044
"Apr 29, 2022",BR,Curitiba,R. Moysés Marcondes,null,624,843,14
"Apr 29, 2022",BR,Colombo,Av. Abel Scuissiato,null,521,515.6666666666666,114
"Apr 29, 2022",BR,Curitiba,R. Dep. Heitor Alencar Furtado,null,627.5,731.25,62
"Apr 29, 2022",BR,Curitiba,BR-116 Contorno Leste,null,4992.545454545455,431.90909090909093,4934
"Apr 29, 2022",BR,Pinhais,Est. da Graciosa,HAZARD,629.1666666666666,503.3333333333333,504
"Apr 29, 2022",BR,Curitiba,R. Nestor Victor,null,552,781,30
"Apr 29, 2022",BR,Curitiba,R. Eng. João Bley Filho,null,633.3333333333334,439.3333333333333,30
"Apr 29, 2022",BR,Curitiba,R. Gen. Carneiro,null,607.6666666666666,867.3333333333334,138
"Apr 29, 2022",BR,Curitiba,null,null,624,491.6111111111111,1435
"Apr 29, 2022",BR,Curitiba,R. José Valle,null,512,544,28
"Apr 29, 2022",BR,Curitiba,PR-418 Contorno Norte,null,2579.181818181818,172.0909090909091,1340
"Apr 29, 2022",BR,Curitiba,R. Nunes Machado,null,845,597.6,72
"Apr 29, 2022",BR,Curitiba,Al. Júlia da Costa,null,675.4705882352941,605.1764705882352,2634
"Apr 29, 2022",BR,Curitiba,R. João Antônio Xavier,null,519,766,20
"Apr 29, 2022",BR,São José dos Pinhais,Al. Bom Pastor,ACCIDENT,721,415.8,98
"Apr 29, 2022",BR,Curitiba,R. Holanda,HAZARD,534.3233532934132,640.5449101796407,6420
"Apr 29, 2022",BR,Curitiba,Av. Pres. Arthur da Silva Bernardes,null,1002,533,202
"Apr 29, 2022",BR,Curitiba,Al. Nossa Senhora do Sagrado Coração,HAZARD,1268,542,50
"Apr 29, 2022",BR,São José dos Pinhais,BR-277 Rod. do Café Gov. Ney Braga,ACCIDENT,1405,658.4545454545455,2614
"Apr 29, 2022",BR,Curitiba,R. Holanda,null,540.184,549.752,5120
"Apr 29, 2022",BR,Curitiba,Av. Sete de Setembro,null,1156,573.6666666666666,340
"Apr 29, 2022",BR,Curitiba,Av. Paraná,null,725.1627906976744,624.2325581395348,1426
"Apr 29, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,HAZARD,4373.3,912.4,564
"Apr 29, 2022",BR,Curitiba,Av. Juscelino Kubitschek de Oliveira,null,562,549.6,166
"Apr 29, 2022",BR,Curitiba,Av. Manoel Ribas,null,630.8,1259.8,58
"Apr 29, 2022",BR,Curitiba,Av. República Argentina,null,849,1361.75,160
"Apr 29, 2022",BR,Curitiba,R. Dep. Joaquim José Pedrosa,null,1131.125,436.3,9546
"Apr 29, 2022",BR,Curitiba,Av. Linha Verde,HAZARD,2098.322259136213,1955.421926910299,30692
"Apr 29, 2022",BR,Curitiba,R. Mateus Leme,null,885.7083333333334,435.6666666666667,4554
"Apr 29, 2022",BR,Curitiba,R. José Rodrigues Pinheiro,null,900,564,152
"Apr 29, 2022",BR,Curitiba,R. Omar Raymundo Picheth,null,915.9405204460967,703.7137546468401,15695
"Apr 29, 2022",BR,Curitiba,R. Emanoel Voluz,null,727.9166666666666,827.5833333333334,1470
"Apr 29, 2022",BR,Curitiba,Av. Pres. Arthur da Silva Bernardes,ACCIDENT,922.1666666666666,434.8333333333333,2092
"Apr 29, 2022",BR,Curitiba,BR-277 Rod. do Café Gov. Ney Braga,null,3410.1052631578946,426.2105263157895,5250
"Apr 29, 2022",BR,Curitiba,Saída 115 A,null,562,408.5833333333333,214
"Apr 29, 2022",BR,São José dos Pinhais,Av. Rui Barbosa,ACCIDENT,1123.1666666666667,610.5,1588
"Apr 29, 2022",BR,Pinhais,Est. da Graciosa,null,584.5,364,354
"Apr 29, 2022",BR,São José dos Pinhais,Av. Industrial,null,1015.5714285714286,368.7857142857143,138
"Apr 29, 2022",BR,Curitiba,R. Omar Raymundo Picheth,HAZARD,805.2051282051282,625.6538461538462,3001
"Apr 29, 2022",BR,Curitiba,R. Nilo Peçanha,null,1344.171875,794.546875,16063
"Apr 29, 2022",BR,São José dos Pinhais,Av. Rui Barbosa,null,980.75,465.75,190
"Apr 29, 2022",BR,Curitiba,R. Da. Branca do Nascimento Miranda,null,889.9230769230769,330.2564102564103,2711
"Apr 29, 2022",BR,Curitiba,R. Lamenha Lins,null,520,901.3333333333334,94
"Apr 29, 2022",BR,Curitiba,R. Barão de Antonina,null,528.6666666666666,1013.5555555555555,822
"Apr 29, 2022",BR,null,BR-277 S Rod. do Café Gov. Ney Braga,null,2658.764705882353,153.35294117647058,3142
"Apr 29, 2022",BR,Curitiba,BR-376 Contorno Sul,null,3306.255319148936,502.6808510638298,6271
"Apr 29, 2022",BR,Curitiba,BR-116 N Contorno Leste,ACCIDENT,1478.2,224,580
"Apr 29, 2022",BR,Curitiba,Marg. Av. Linha Verde,null,1049.5269841269842,562.6126984126984,23771
