Day,Cause,# Irregularities
"Apr 1, 2022",ACCIDENT,8
"Apr 1, 2022",HAZARD,3
"Apr 2, 2022",HAZARD,2
"Apr 2, 2022",ACCIDENT,2
"Apr 4, 2022",HAZARD,2
"Apr 4, 2022",ACCIDENT,6
"Apr 5, 2022",HAZARD,6
"Apr 5, 2022",ACCIDENT,5
"Apr 6, 2022",ACCIDENT,12
"Apr 6, 2022",HAZARD,6
"Apr 7, 2022",ACCIDENT,15
"Apr 7, 2022",HAZARD,4
"Apr 8, 2022",HAZARD,17
"Apr 8, 2022",ACCIDENT,8
"Apr 9, 2022",ACCIDENT,2
"Apr 10, 2022",HAZARD,1
"Apr 10, 2022",ACCIDENT,2
"Apr 11, 2022",HAZARD,4
"Apr 11, 2022",ACCIDENT,4
"Apr 12, 2022",ACCIDENT,23
"Apr 12, 2022",HAZARD,4
"Apr 13, 2022",HAZARD,3
"Apr 13, 2022",ACCIDENT,13
"Apr 14, 2022",ACCIDENT,8
"Apr 14, 2022",HAZARD,7
"Apr 17, 2022",ACCIDENT,3
"Apr 18, 2022",ACCIDENT,14
"Apr 19, 2022",HAZARD,2
"Apr 19, 2022",ACCIDENT,9
"Apr 20, 2022",ACCIDENT,10
"Apr 20, 2022",HAZARD,6
"Apr 21, 2022",ACCIDENT,2
"Apr 21, 2022",HAZARD,1
"Apr 22, 2022",HAZARD,1
"Apr 22, 2022",ACCIDENT,6
"Apr 23, 2022",ACCIDENT,3
"Apr 24, 2022",HAZARD,1
"Apr 24, 2022",ACCIDENT,1
"Apr 25, 2022",ACCIDENT,2
"Apr 25, 2022",HAZARD,5
"Apr 26, 2022",ACCIDENT,4
"Apr 26, 2022",HAZARD,5
"Apr 27, 2022",ACCIDENT,5
"Apr 27, 2022",HAZARD,4
"Apr 28, 2022",ACCIDENT,2
"Apr 28, 2022",HAZARD,6
"Apr 29, 2022",HAZARD,15
"Apr 29, 2022",ACCIDENT,8
"Apr 30, 2022",ACCIDENT,1
