Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
"Jul 1, 2023",BR,Curitiba,Av. Linha Verde,null,624.75,127.125,1186
"Jun 30, 2023",BR,Curitiba,R. Pe. Agostinho,null,561,348,364
"Jun 30, 2023",BR,Curitiba,R. Alferes Poli,null,532,568.9375,552
"Jun 30, 2023",BR,Curitiba,R. Alferes Ângelo Sampaio,null,1774.4444444444443,749.1111111111111,6522
"Jun 30, 2023",BR,Pinhais,PR-415 Rod. João Leopoldo Jacomel,HAZARD,927.5,604.3333333333334,922
"Jun 30, 2023",BR,Curitiba,Marg. Av. Linha Verde,null,1129.15,804.0333333333333,15036
"Jun 30, 2023",BR,Curitiba,R. das Carmelitas,null,668,454.75,50
"Jun 30, 2023",BR,São José dos Pinhais,R. Dr. Motta Jr.,null,577.25,424.5,80
"Jun 30, 2023",BR,Almirante Tamandaré,PR-092 Rod. dos Minérios,null,752.3636363636364,192.4090909090909,348
"Jun 30, 2023",BR,Curitiba,R. Jaime Rodrigues da Rocha,null,873,542,28
"Jun 30, 2023",BR,Curitiba,R. Frederico Maurer,null,664,248,14
"Jun 30, 2023",BR,Curitiba,Av. Mal. Floriano Peixoto,null,878,943,50
"Jun 30, 2023",BR,Curitiba,R. Carlos de Campos,null,588,696,22
"Jun 30, 2023",BR,São José dos Pinhais,R. Paulino de Siqueira Cortes,null,917,593,30
"Jun 30, 2023",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,ACCIDENT,3248.377358490566,1167.9811320754718,25382
"Jun 30, 2023",BR,Curitiba,R. Prof. Guido Straube,null,771,405.5,60
"Jun 30, 2023",BR,Curitiba,R. João Chede,null,868,706.8571428571429,446
"Jun 30, 2023",BR,Campo Largo,BR-277 N Rod. do Café Gov. Ney Braga,null,12577.266666666666,2289.1666666666665,25916
"Jun 30, 2023",BR,São José dos Pinhais,R. Dolovico Pissaia,null,588,1515,4
"Jun 30, 2023",BR,Curitiba,Av. Paraná,null,912.5,582.1666666666666,296
"Jun 30, 2023",BR,Curitiba,PR-092 Rod. dos Minérios,null,984.8,440.8,288
"Jun 30, 2023",BR,São José dos Pinhais,R. Dr. Murici,null,596,4044,8
"Jun 30, 2023",BR,São José dos Pinhais,BR-277 Rod. do Café Gov. Ney Braga,HAZARD,1365,401.5,470
"Jun 30, 2023",BR,Colombo,R. Carlos Fontoura Falavinha,null,574,645.6666666666666,30
"Jun 30, 2023",BR,Curitiba,R. Des. Isaías Beviláqua,null,507,647,235
"Jun 30, 2023",BR,Curitiba,Al. D. Pedro II,null,544,1008,100
"Jun 30, 2023",BR,Colombo,Av. Marg. José de Anchieta,null,559,644,30
"Jun 30, 2023",BR,Curitiba,Av. Juscelino Kubitschek de Oliveira,null,545.975,499.575,2235
"Jun 30, 2023",BR,Curitiba,R. Evaristo da Veiga,null,638,806,6
