Day,Road Type,# Accidents
"Jun 1, 2023",6,48
"Jun 1, 2023",2,66
"Jun 1, 2023",1,14
"Jun 1, 2023",7,4
"Jun 1, 2023",22,1
"Jun 1, 2023",4,1
"Jun 2, 2023",7,6
"Jun 2, 2023",2,99
"Jun 2, 2023",6,29
"Jun 2, 2023",20,1
"Jun 2, 2023",4,2
"Jun 2, 2023",1,7
"Jun 3, 2023",6,17
"Jun 3, 2023",20,1
"Jun 3, 2023",2,47
"Jun 3, 2023",1,7
"Jun 3, 2023",7,1
"Jun 4, 2023",6,20
"Jun 4, 2023",20,2
"Jun 4, 2023",2,21
"Jun 4, 2023",4,3
"Jun 4, 2023",7,2
"Jun 4, 2023",1,4
"Jun 5, 2023",6,15
"Jun 5, 2023",7,9
"Jun 5, 2023",2,63
"Jun 5, 2023",22,1
"Jun 5, 2023",1,17
"Jun 6, 2023",7,7
"Jun 6, 2023",2,67
"Jun 6, 2023",6,35
"Jun 6, 2023",1,6
"Jun 6, 2023",4,2
"Jun 7, 2023",4,1
"Jun 7, 2023",2,113
"Jun 7, 2023",6,66
"Jun 7, 2023",7,4
"Jun 7, 2023",1,17
"Jun 8, 2023",6,22
"Jun 8, 2023",7,6
"Jun 8, 2023",4,1
"Jun 8, 2023",1,12
"Jun 8, 2023",2,17
"Jun 9, 2023",7,5
"Jun 9, 2023",2,35
"Jun 9, 2023",20,2
"Jun 9, 2023",4,1
"Jun 9, 2023",1,9
"Jun 9, 2023",17,1
"Jun 9, 2023",6,23
"Jun 10, 2023",4,1
"Jun 10, 2023",7,7
"Jun 10, 2023",2,49
"Jun 10, 2023",6,27
"Jun 10, 2023",20,2
"Jun 10, 2023",1,19
"Jun 11, 2023",4,2
"Jun 11, 2023",1,5
"Jun 11, 2023",6,26
"Jun 11, 2023",7,2
"Jun 11, 2023",2,34
"Jun 12, 2023",1,29
"Jun 12, 2023",4,7
"Jun 12, 2023",7,10
"Jun 12, 2023",2,138
"Jun 12, 2023",6,79
"Jun 13, 2023",7,8
"Jun 13, 2023",2,100
"Jun 13, 2023",6,50
"Jun 13, 2023",1,22
"Jun 13, 2023",4,2
"Jun 14, 2023",17,1
"Jun 14, 2023",4,2
"Jun 14, 2023",7,7
"Jun 14, 2023",6,49
"Jun 14, 2023",1,19
"Jun 14, 2023",2,87
"Jun 14, 2023",null,5
"Jun 15, 2023",2,89
"Jun 15, 2023",6,50
"Jun 15, 2023",17,1
"Jun 15, 2023",1,14
"Jun 15, 2023",7,2
"Jun 15, 2023",4,4
"Jun 16, 2023",7,13
"Jun 16, 2023",2,89
"Jun 16, 2023",null,2
"Jun 16, 2023",6,39
"Jun 16, 2023",1,26
"Jun 17, 2023",6,19
"Jun 17, 2023",2,46
"Jun 17, 2023",1,11
"Jun 17, 2023",null,1
"Jun 17, 2023",7,2
"Jun 18, 2023",17,1
"Jun 18, 2023",2,34
"Jun 18, 2023",20,1
"Jun 18, 2023",1,9
"Jun 18, 2023",6,10
"Jun 19, 2023",20,1
"Jun 19, 2023",1,17
"Jun 19, 2023",4,1
"Jun 19, 2023",7,9
"Jun 19, 2023",2,89
"Jun 19, 2023",6,28
"Jun 19, 2023",17,1
"Jun 20, 2023",null,2
"Jun 20, 2023",1,10
"Jun 20, 2023",7,2
"Jun 20, 2023",4,1
"Jun 20, 2023",17,1
"Jun 20, 2023",2,69
"Jun 20, 2023",6,35
"Jun 21, 2023",1,11
"Jun 21, 2023",7,2
"Jun 21, 2023",null,2
"Jun 21, 2023",6,22
"Jun 21, 2023",2,51
"Jun 22, 2023",6,31
"Jun 22, 2023",2,49
"Jun 22, 2023",1,5
"Jun 22, 2023",7,7
"Jun 22, 2023",4,4
"Jun 23, 2023",6,42
"Jun 23, 2023",2,99
"Jun 23, 2023",1,9
"Jun 23, 2023",4,2
"Jun 23, 2023",20,1
"Jun 23, 2023",7,5
"Jun 24, 2023",7,4
"Jun 24, 2023",2,48
"Jun 24, 2023",1,11
"Jun 24, 2023",4,1
"Jun 24, 2023",6,22
"Jun 25, 2023",20,1
"Jun 25, 2023",2,26
"Jun 25, 2023",1,2
"Jun 25, 2023",6,25
"Jun 25, 2023",7,5
"Jun 26, 2023",7,3
"Jun 26, 2023",2,60
"Jun 26, 2023",1,10
"Jun 26, 2023",6,24
"Jun 26, 2023",null,1
"Jun 27, 2023",17,1
"Jun 27, 2023",7,4
"Jun 27, 2023",1,9
"Jun 27, 2023",6,25
"Jun 27, 2023",2,81
"Jun 28, 2023",2,70
"Jun 28, 2023",7,6
"Jun 28, 2023",6,42
"Jun 28, 2023",1,16
"Jun 29, 2023",6,22
"Jun 29, 2023",7,9
"Jun 29, 2023",null,1
"Jun 29, 2023",1,9
"Jun 29, 2023",2,67
"Jun 30, 2023",2,63
"Jun 30, 2023",6,20
"Jun 30, 2023",null,2
"Jun 30, 2023",1,14
"Jun 30, 2023",7,3
"Jun 30, 2023",4,1
