Day,Average Delay (Seconds),# Irregularities
"Jun 30, 2023",767.6293986636971,89
"Jun 29, 2023",836.4013400335008,127
"Jun 28, 2023",672.9311233885819,107
"Jun 27, 2023",744.9634146341464,137
"Jun 26, 2023",546.1494607087827,62
"Jun 25, 2023",643.5123784261715,71
"Jun 24, 2023",718.4488756894357,86
"Jun 23, 2023",750.9613675213675,145
"Jun 22, 2023",786.8207957204949,202
"Jun 21, 2023",848.6739926739926,86
"Jun 20, 2023",580.3035122597747,100
"Jun 19, 2023",657.1821690467001,90
"Jun 18, 2023",1000.6219081272085,37
"Jun 17, 2023",899.8595943837754,65
"Jun 16, 2023",805.4698118506037,107
"Jun 15, 2023",679.8643051771118,103
"Jun 14, 2023",980.2093287827076,195
"Jun 13, 2023",814.8418940609952,141
"Jun 12, 2023",613.2078804347826,240
"Jun 11, 2023",673.8580024067388,33
"Jun 10, 2023",959.1401537551744,70
"Jun 9, 2023",589.4219512195122,40
"Jun 8, 2023",660.8236623963828,59
"Jun 7, 2023",964.7243248383415,328
"Jun 6, 2023",708.4559621782525,210
"Jun 5, 2023",711.0853608247422,98
"Jun 4, 2023",660.4891089108911,34
"Jun 3, 2023",564.8881469115192,55
"Jun 2, 2023",785.2461059190031,133
"Jun 1, 2023",917.2260105448155,97
