Day,Cause,# Irregularities
"Jun 1, 2023",HAZARD,1
"Jun 1, 2023",ACCIDENT,11
"Jun 2, 2023",HAZARD,4
"Jun 2, 2023",ACCIDENT,12
"Jun 3, 2023",ACCIDENT,2
"Jun 4, 2023",ACCIDENT,1
"Jun 5, 2023",ACCIDENT,10
"Jun 5, 2023",HAZARD,5
"Jun 6, 2023",HAZARD,2
"Jun 6, 2023",ACCIDENT,12
"Jun 7, 2023",ACCIDENT,24
"Jun 7, 2023",HAZARD,10
"Jun 8, 2023",ACCIDENT,4
"Jun 8, 2023",HAZARD,2
"Jun 9, 2023",HAZARD,1
"Jun 9, 2023",ACCIDENT,3
"Jun 10, 2023",ACCIDENT,3
"Jun 10, 2023",HAZARD,3
"Jun 11, 2023",ACCIDENT,2
"Jun 12, 2023",HAZARD,3
"Jun 12, 2023",ACCIDENT,10
"Jun 13, 2023",HAZARD,2
"Jun 13, 2023",ACCIDENT,7
"Jun 14, 2023",HAZARD,3
"Jun 14, 2023",ACCIDENT,21
"Jun 15, 2023",ACCIDENT,7
"Jun 15, 2023",HAZARD,5
"Jun 16, 2023",ACCIDENT,8
"Jun 16, 2023",HAZARD,8
"Jun 17, 2023",HAZARD,1
"Jun 17, 2023",ACCIDENT,6
"Jun 19, 2023",ACCIDENT,6
"Jun 19, 2023",HAZARD,3
"Jun 20, 2023",ACCIDENT,6
"Jun 20, 2023",HAZARD,7
"Jun 21, 2023",HAZARD,3
"Jun 21, 2023",ACCIDENT,7
"Jun 22, 2023",HAZARD,11
"Jun 22, 2023",ACCIDENT,14
"Jun 23, 2023",HAZARD,6
"Jun 23, 2023",ACCIDENT,14
"Jun 24, 2023",HAZARD,4
"Jun 24, 2023",ACCIDENT,4
"Jun 25, 2023",ACCIDENT,8
"Jun 26, 2023",ACCIDENT,2
"Jun 26, 2023",HAZARD,3
"Jun 27, 2023",HAZARD,6
"Jun 27, 2023",ACCIDENT,8
"Jun 28, 2023",ACCIDENT,16
"Jun 28, 2023",HAZARD,10
"Jun 29, 2023",ACCIDENT,18
"Jun 29, 2023",HAZARD,9
"Jun 30, 2023",HAZARD,3
"Jun 30, 2023",ACCIDENT,5
