Day,Subtype,# Alerts
"Jun 1, 2023",JAM_HEAVY_TRAFFIC,1420
"Jun 1, 2023",JAM_MODERATE_TRAFFIC,470
"Jun 1, 2023",JAM_STAND_STILL_TRAFFIC,991
"Jun 1, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,282
"Jun 1, 2023",HAZARD_ON_ROAD_CAR_STOPPED,397
"Jun 1, 2023",HAZARD_WEATHER_FOG,420
"Jun 1, 2023",HAZARD_ON_ROAD_POT_HOLE,75
"Jun 1, 2023",ACCIDENT_MINOR,115
"Jun 1, 2023",,306
"Jun 1, 2023",HAZARD_ON_ROAD_CONSTRUCTION,282
"Jun 2, 2023",ACCIDENT_MINOR,116
"Jun 2, 2023",HAZARD_ON_ROAD_CONSTRUCTION,237
"Jun 2, 2023",,331
"Jun 2, 2023",HAZARD_ON_ROAD_POT_HOLE,56
"Jun 2, 2023",HAZARD_WEATHER_FOG,873
"Jun 2, 2023",JAM_MODERATE_TRAFFIC,479
"Jun 2, 2023",JAM_STAND_STILL_TRAFFIC,1222
"Jun 2, 2023",JAM_HEAVY_TRAFFIC,1657
"Jun 2, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,249
"Jun 2, 2023",HAZARD_ON_ROAD_CAR_STOPPED,448
"Jun 3, 2023",HAZARD_ON_ROAD_POT_HOLE,32
"Jun 3, 2023",HAZARD_ON_ROAD_CONSTRUCTION,102
"Jun 3, 2023",ACCIDENT_MINOR,45
"Jun 3, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,148
"Jun 3, 2023",HAZARD_WEATHER_FOG,143
"Jun 3, 2023",,155
"Jun 3, 2023",JAM_STAND_STILL_TRAFFIC,251
"Jun 3, 2023",HAZARD_ON_ROAD_CAR_STOPPED,199
"Jun 3, 2023",JAM_HEAVY_TRAFFIC,341
"Jun 3, 2023",JAM_MODERATE_TRAFFIC,172
"Jun 4, 2023",HAZARD_ON_ROAD_CAR_STOPPED,90
"Jun 4, 2023",HAZARD_ON_ROAD_CONSTRUCTION,31
"Jun 4, 2023",JAM_HEAVY_TRAFFIC,154
"Jun 4, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,117
"Jun 4, 2023",HAZARD_WEATHER_FOG,273
"Jun 4, 2023",JAM_STAND_STILL_TRAFFIC,94
"Jun 4, 2023",HAZARD_ON_ROAD_POT_HOLE,27
"Jun 4, 2023",,82
"Jun 4, 2023",ACCIDENT_MINOR,29
"Jun 4, 2023",JAM_MODERATE_TRAFFIC,73
"Jun 5, 2023",HAZARD_ON_ROAD_CONSTRUCTION,235
"Jun 5, 2023",JAM_MODERATE_TRAFFIC,444
"Jun 5, 2023",JAM_HEAVY_TRAFFIC,1195
"Jun 5, 2023",HAZARD_WEATHER_FOG,382
"Jun 5, 2023",,216
"Jun 5, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,237
"Jun 5, 2023",JAM_STAND_STILL_TRAFFIC,844
"Jun 5, 2023",HAZARD_ON_ROAD_POT_HOLE,66
"Jun 5, 2023",HAZARD_ON_ROAD_CAR_STOPPED,359
"Jun 5, 2023",ACCIDENT_MINOR,67
"Jun 6, 2023",HAZARD_ON_ROAD_CONSTRUCTION,234
"Jun 6, 2023",JAM_STAND_STILL_TRAFFIC,1383
"Jun 6, 2023",ACCIDENT_MINOR,90
"Jun 6, 2023",JAM_HEAVY_TRAFFIC,1741
"Jun 6, 2023",HAZARD_ON_ROAD_POT_HOLE,79
"Jun 6, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,213
"Jun 6, 2023",,302
"Jun 6, 2023",HAZARD_ON_ROAD_CAR_STOPPED,419
"Jun 6, 2023",HAZARD_WEATHER_FOG,69
"Jun 6, 2023",JAM_MODERATE_TRAFFIC,497
"Jun 7, 2023",HAZARD_WEATHER_FOG,202
"Jun 7, 2023",,466
"Jun 7, 2023",HAZARD_ON_ROAD_CAR_STOPPED,505
"Jun 7, 2023",HAZARD_ON_ROAD_POT_HOLE,67
"Jun 7, 2023",ACCIDENT_MINOR,149
"Jun 7, 2023",HAZARD_ON_ROAD_CONSTRUCTION,254
"Jun 7, 2023",JAM_MODERATE_TRAFFIC,627
"Jun 7, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,258
"Jun 7, 2023",JAM_STAND_STILL_TRAFFIC,1906
"Jun 7, 2023",JAM_HEAVY_TRAFFIC,2361
"Jun 8, 2023",JAM_STAND_STILL_TRAFFIC,224
"Jun 8, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,153
"Jun 8, 2023",HAZARD_ON_ROAD_CONSTRUCTION,77
"Jun 8, 2023",ACCIDENT_MINOR,41
"Jun 8, 2023",JAM_MODERATE_TRAFFIC,106
"Jun 8, 2023",HAZARD_WEATHER_FOG,97
"Jun 8, 2023",JAM_HEAVY_TRAFFIC,274
"Jun 8, 2023",HAZARD_ON_ROAD_CAR_STOPPED,113
"Jun 8, 2023",HAZARD_ON_ROAD_POT_HOLE,29
"Jun 8, 2023",,156
"Jun 9, 2023",JAM_MODERATE_TRAFFIC,202
"Jun 9, 2023",ACCIDENT_MINOR,49
"Jun 9, 2023",JAM_HEAVY_TRAFFIC,389
"Jun 9, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,164
"Jun 9, 2023",HAZARD_WEATHER_FOG,25
"Jun 9, 2023",HAZARD_ON_ROAD_POT_HOLE,41
"Jun 9, 2023",HAZARD_ON_ROAD_CAR_STOPPED,252
"Jun 9, 2023",HAZARD_ON_ROAD_CONSTRUCTION,147
"Jun 9, 2023",JAM_STAND_STILL_TRAFFIC,209
"Jun 9, 2023",,158
"Jun 10, 2023",HAZARD_ON_ROAD_CONSTRUCTION,78
"Jun 10, 2023",JAM_STAND_STILL_TRAFFIC,253
"Jun 10, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,109
"Jun 10, 2023",JAM_HEAVY_TRAFFIC,293
"Jun 10, 2023",,146
"Jun 10, 2023",HAZARD_WEATHER_FOG,31
"Jun 10, 2023",JAM_MODERATE_TRAFFIC,146
"Jun 10, 2023",ACCIDENT_MINOR,70
"Jun 10, 2023",HAZARD_ON_ROAD_POT_HOLE,29
"Jun 10, 2023",HAZARD_ON_ROAD_CAR_STOPPED,164
"Jun 11, 2023",,108
"Jun 11, 2023",HAZARD_WEATHER_FOG,4
"Jun 11, 2023",JAM_MODERATE_TRAFFIC,142
"Jun 11, 2023",ACCIDENT_MINOR,41
"Jun 11, 2023",JAM_HEAVY_TRAFFIC,232
"Jun 11, 2023",HAZARD_ON_ROAD_CAR_STOPPED,98
"Jun 11, 2023",HAZARD_ON_ROAD_POT_HOLE,31
"Jun 11, 2023",HAZARD_ON_ROAD_CONSTRUCTION,32
"Jun 11, 2023",JAM_STAND_STILL_TRAFFIC,138
"Jun 11, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,129
"Jun 12, 2023",JAM_STAND_STILL_TRAFFIC,1471
"Jun 12, 2023",HAZARD_ON_ROAD_CONSTRUCTION,80
"Jun 12, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,315
"Jun 12, 2023",HAZARD_ON_ROAD_CAR_STOPPED,458
"Jun 12, 2023",,349
"Jun 12, 2023",ACCIDENT_MINOR,215
"Jun 12, 2023",HAZARD_WEATHER_FOG,7
"Jun 12, 2023",JAM_HEAVY_TRAFFIC,2016
"Jun 12, 2023",HAZARD_ON_ROAD_POT_HOLE,89
"Jun 12, 2023",JAM_MODERATE_TRAFFIC,582
"Jun 13, 2023",JAM_MODERATE_TRAFFIC,518
"Jun 13, 2023",JAM_STAND_STILL_TRAFFIC,1131
"Jun 13, 2023",HAZARD_ON_ROAD_POT_HOLE,118
"Jun 13, 2023",HAZARD_ON_ROAD_CAR_STOPPED,449
"Jun 13, 2023",HAZARD_ON_ROAD_CONSTRUCTION,68
"Jun 13, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,274
"Jun 13, 2023",HAZARD_WEATHER_FOG,6
"Jun 13, 2023",,314
"Jun 13, 2023",ACCIDENT_MINOR,142
"Jun 13, 2023",JAM_HEAVY_TRAFFIC,1531
"Jun 14, 2023",JAM_MODERATE_TRAFFIC,517
"Jun 14, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,220
"Jun 14, 2023",HAZARD_ON_ROAD_CAR_STOPPED,410
"Jun 14, 2023",HAZARD_ON_ROAD_CONSTRUCTION,116
"Jun 14, 2023",HAZARD_WEATHER_FOG,3
"Jun 14, 2023",,379
"Jun 14, 2023",JAM_HEAVY_TRAFFIC,1810
"Jun 14, 2023",ACCIDENT_MINOR,139
"Jun 14, 2023",JAM_STAND_STILL_TRAFFIC,1408
"Jun 14, 2023",HAZARD_ON_ROAD_POT_HOLE,169
"Jun 15, 2023",HAZARD_ON_ROAD_CONSTRUCTION,133
"Jun 15, 2023",JAM_HEAVY_TRAFFIC,1364
"Jun 15, 2023",,297
"Jun 15, 2023",HAZARD_ON_ROAD_POT_HOLE,279
"Jun 15, 2023",JAM_MODERATE_TRAFFIC,428
"Jun 15, 2023",HAZARD_WEATHER_FOG,3
"Jun 15, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,298
"Jun 15, 2023",HAZARD_ON_ROAD_CAR_STOPPED,372
"Jun 15, 2023",ACCIDENT_MINOR,129
"Jun 15, 2023",JAM_STAND_STILL_TRAFFIC,939
"Jun 16, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,273
"Jun 16, 2023",HAZARD_ON_ROAD_CONSTRUCTION,270
"Jun 16, 2023",HAZARD_WEATHER_FOG,1
"Jun 16, 2023",,290
"Jun 16, 2023",ACCIDENT_MINOR,138
"Jun 16, 2023",JAM_HEAVY_TRAFFIC,1701
"Jun 16, 2023",JAM_MODERATE_TRAFFIC,500
"Jun 16, 2023",HAZARD_ON_ROAD_POT_HOLE,237
"Jun 16, 2023",JAM_STAND_STILL_TRAFFIC,1230
"Jun 16, 2023",HAZARD_ON_ROAD_CAR_STOPPED,485
"Jun 17, 2023",HAZARD_ON_ROAD_CAR_STOPPED,204
"Jun 17, 2023",HAZARD_ON_ROAD_CONSTRUCTION,162
"Jun 17, 2023",JAM_STAND_STILL_TRAFFIC,176
"Jun 17, 2023",HAZARD_ON_SHOULDER_CAR_STOPPED,112
"Jun 17, 2023",,158
"Jun 17, 2023",ACCIDENT_MINOR,58
"Jun 17, 2023",JAM_HEAVY_TRAFFIC,300
"Jun 17, 2023",JAM_MODERATE_TRAFFIC,149
"Jun 17, 2023",HAZARD_WEATHER_FOG,6
"Jun 17, 2023",HAZARD_ON_ROAD_POT_HOLE,142
"Jun 18, 2023",HAZARD_WEATHER_FOG,254
