Day,Accident Type,# Accidents
"Jun 1, 2023",ACCIDENT_MAJOR,19
"Jun 1, 2023",ACCIDENT_MINOR,115
"Jun 2, 2023",ACCIDENT_MAJOR,28
"Jun 2, 2023",ACCIDENT_MINOR,116
"Jun 3, 2023",ACCIDENT_MAJOR,28
"Jun 3, 2023",ACCIDENT_MINOR,45
"Jun 4, 2023",ACCIDENT_MAJOR,23
"Jun 4, 2023",ACCIDENT_MINOR,29
"Jun 5, 2023",ACCIDENT_MAJOR,38
"Jun 5, 2023",ACCIDENT_MINOR,67
"Jun 6, 2023",ACCIDENT_MINOR,90
"Jun 6, 2023",ACCIDENT_MAJOR,27
"Jun 7, 2023",ACCIDENT_MAJOR,52
"Jun 7, 2023",ACCIDENT_MINOR,149
"Jun 8, 2023",ACCIDENT_MINOR,41
"Jun 8, 2023",ACCIDENT_MAJOR,17
"Jun 9, 2023",ACCIDENT_MAJOR,27
"Jun 9, 2023",ACCIDENT_MINOR,49
"Jun 10, 2023",ACCIDENT_MAJOR,35
"Jun 10, 2023",ACCIDENT_MINOR,70
"Jun 11, 2023",ACCIDENT_MINOR,41
"Jun 11, 2023",ACCIDENT_MAJOR,28
"Jun 12, 2023",ACCIDENT_MINOR,215
"Jun 12, 2023",ACCIDENT_MAJOR,48
"Jun 13, 2023",ACCIDENT_MAJOR,40
"Jun 13, 2023",ACCIDENT_MINOR,142
"Jun 14, 2023",ACCIDENT_MAJOR,31
"Jun 14, 2023",ACCIDENT_MINOR,139
"Jun 15, 2023",ACCIDENT_MAJOR,31
"Jun 15, 2023",ACCIDENT_MINOR,129
"Jun 16, 2023",ACCIDENT_MAJOR,31
"Jun 16, 2023",ACCIDENT_MINOR,138
"Jun 17, 2023",ACCIDENT_MINOR,58
"Jun 17, 2023",ACCIDENT_MAJOR,21
"Jun 18, 2023",ACCIDENT_MINOR,30
"Jun 18, 2023",ACCIDENT_MAJOR,25
"Jun 19, 2023",ACCIDENT_MINOR,102
"Jun 19, 2023",ACCIDENT_MAJOR,44
"Jun 20, 2023",ACCIDENT_MINOR,90
"Jun 20, 2023",ACCIDENT_MAJOR,30
"Jun 21, 2023",ACCIDENT_MINOR,76
"Jun 21, 2023",ACCIDENT_MAJOR,12
"Jun 22, 2023",ACCIDENT_MINOR,77
"Jun 22, 2023",ACCIDENT_MAJOR,19
"Jun 23, 2023",ACCIDENT_MINOR,120
"Jun 23, 2023",ACCIDENT_MAJOR,38
"Jun 24, 2023",ACCIDENT_MAJOR,26
"Jun 24, 2023",ACCIDENT_MINOR,60
"Jun 25, 2023",ACCIDENT_MINOR,33
"Jun 25, 2023",ACCIDENT_MAJOR,26
"Jun 26, 2023",ACCIDENT_MAJOR,21
"Jun 26, 2023",ACCIDENT_MINOR,77
"Jun 27, 2023",ACCIDENT_MINOR,93
"Jun 27, 2023",ACCIDENT_MAJOR,27
"Jun 28, 2023",ACCIDENT_MAJOR,31
"Jun 28, 2023",ACCIDENT_MINOR,103
"Jun 29, 2023",ACCIDENT_MAJOR,25
"Jun 29, 2023",ACCIDENT_MINOR,83
"Jun 30, 2023",ACCIDENT_MAJOR,27
"Jun 30, 2023",ACCIDENT_MINOR,76
