Day,Type,# Alerts
"May 1, 2022",ACCIDENT,95
"May 1, 2022",JAM,247
"May 1, 2022",ROAD_CLOSED,5
"May 1, 2022",WEATHERHAZARD,246
"May 2, 2022",JAM,2204
"May 2, 2022",ROAD_CLOSED,4
"May 2, 2022",WEATHERHAZARD,854
"May 2, 2022",ACCIDENT,195
"May 3, 2022",WEATHERHAZARD,833
"May 3, 2022",ACCIDENT,177
"May 3, 2022",ROAD_CLOSED,2
"May 3, 2022",JAM,3271
"May 4, 2022",ACCIDENT,194
"May 4, 2022",ROAD_CLOSED,4
"May 4, 2022",JAM,2730
"May 4, 2022",WEATHERHAZARD,919
"May 5, 2022",JAM,2613
"May 5, 2022",ROAD_CLOSED,4
"May 5, 2022",WEATHERHAZARD,1005
"May 5, 2022",ACCIDENT,162
"May 6, 2022",WEATHERHAZARD,1015
"May 6, 2022",JAM,3216
"May 6, 2022",ACCIDENT,210
"May 7, 2022",ROAD_CLOSED,15
"May 7, 2022",WEATHERHAZARD,531
"May 7, 2022",ACCIDENT,118
"May 7, 2022",JAM,1293
"May 8, 2022",ROAD_CLOSED,6
"May 8, 2022",JAM,669
"May 8, 2022",ACCIDENT,91
"May 8, 2022",WEATHERHAZARD,308
"May 9, 2022",WEATHERHAZARD,931
"May 9, 2022",ROAD_CLOSED,4
"May 9, 2022",ACCIDENT,125
"May 9, 2022",JAM,1888
"May 10, 2022",ACCIDENT,147
"May 10, 2022",JAM,2127
"May 10, 2022",ROAD_CLOSED,2
"May 10, 2022",WEATHERHAZARD,783
"May 11, 2022",ROAD_CLOSED,5
"May 11, 2022",ACCIDENT,184
"May 11, 2022",WEATHERHAZARD,826
"May 11, 2022",JAM,2347
"May 12, 2022",WEATHERHAZARD,898
"May 12, 2022",ROAD_CLOSED,2
"May 12, 2022",ACCIDENT,146
"May 12, 2022",JAM,2354
"May 13, 2022",ROAD_CLOSED,6
"May 13, 2022",WEATHERHAZARD,924
"May 13, 2022",JAM,2544
"May 13, 2022",ACCIDENT,128
"May 14, 2022",ROAD_CLOSED,6
"May 14, 2022",ACCIDENT,96
"May 14, 2022",WEATHERHAZARD,423
"May 14, 2022",JAM,534
"May 15, 2022",ROAD_CLOSED,8
"May 15, 2022",WEATHERHAZARD,263
"May 15, 2022",ACCIDENT,68
"May 15, 2022",JAM,283
"May 16, 2022",WEATHERHAZARD,722
"May 16, 2022",JAM,1780
"May 16, 2022",ACCIDENT,98
"May 17, 2022",ACCIDENT,120
"May 17, 2022",WEATHERHAZARD,717
"May 17, 2022",JAM,1981
"May 17, 2022",ROAD_CLOSED,1
"May 18, 2022",ROAD_CLOSED,57
"May 18, 2022",ACCIDENT,141
"May 18, 2022",WEATHERHAZARD,729
"May 18, 2022",JAM,2152
"May 19, 2022",ROAD_CLOSED,32
"May 19, 2022",ACCIDENT,168
"May 19, 2022",JAM,2219
"May 19, 2022",WEATHERHAZARD,842
"May 20, 2022",ROAD_CLOSED,8
"May 20, 2022",ACCIDENT,192
"May 20, 2022",JAM,2374
"May 20, 2022",WEATHERHAZARD,910
"May 21, 2022",JAM,685
"May 21, 2022",ROAD_CLOSED,159
"May 21, 2022",WEATHERHAZARD,426
"May 21, 2022",ACCIDENT,130
"May 22, 2022",JAM,244
"May 22, 2022",ROAD_CLOSED,21
"May 22, 2022",WEATHERHAZARD,592
"May 22, 2022",ACCIDENT,81
"May 23, 2022",WEATHERHAZARD,877
"May 23, 2022",ROAD_CLOSED,8
"May 23, 2022",JAM,1493
"May 23, 2022",ACCIDENT,127
"May 24, 2022",ACCIDENT,124
"May 24, 2022",WEATHERHAZARD,1053
"May 24, 2022",JAM,1860
"May 25, 2022",ROAD_CLOSED,3
"May 25, 2022",JAM,2125
"May 25, 2022",ACCIDENT,132
"May 25, 2022",WEATHERHAZARD,1186
"May 26, 2022",ROAD_CLOSED,4
"May 26, 2022",JAM,2197
"May 26, 2022",ACCIDENT,130
"May 26, 2022",WEATHERHAZARD,922
"May 27, 2022",ROAD_CLOSED,1
"May 27, 2022",WEATHERHAZARD,802
"May 27, 2022",ACCIDENT,125
"May 27, 2022",JAM,2498
"May 28, 2022",JAM,410
"May 28, 2022",WEATHERHAZARD,399
"May 28, 2022",ACCIDENT,66
"May 28, 2022",ROAD_CLOSED,2
"May 29, 2022",ROAD_CLOSED,6
"May 29, 2022",JAM,265
"May 29, 2022",WEATHERHAZARD,412
"May 29, 2022",ACCIDENT,79
"May 30, 2022",JAM,1764
"May 30, 2022",WEATHERHAZARD,1192
"May 30, 2022",ACCIDENT,185
"May 31, 2022",ACCIDENT,162
"May 31, 2022",JAM,2150
"May 31, 2022",WEATHERHAZARD,854
