Day,Road Type,# Accidents
"May 1, 2022",6,18
"May 1, 2022",1,4
"May 1, 2022",7,3
"May 1, 2022",2,30
"May 2, 2022",1,6
"May 2, 2022",7,3
"May 2, 2022",2,96
"May 2, 2022",6,21
"May 3, 2022",4,1
"May 3, 2022",7,4
"May 3, 2022",1,13
"May 3, 2022",2,64
"May 3, 2022",6,31
"May 4, 2022",6,21
"May 4, 2022",1,12
"May 4, 2022",2,80
"May 4, 2022",7,1
"May 4, 2022",4,3
"May 5, 2022",4,1
"May 5, 2022",6,31
"May 5, 2022",20,1
"May 5, 2022",1,10
"May 5, 2022",2,63
"May 6, 2022",7,4
"May 6, 2022",2,90
"May 6, 2022",6,27
"May 6, 2022",1,11
"May 6, 2022",4,1
"May 7, 2022",7,7
"May 7, 2022",20,1
"May 7, 2022",2,54
"May 7, 2022",1,4
"May 7, 2022",6,12
"May 8, 2022",4,5
"May 8, 2022",2,16
"May 8, 2022",1,3
"May 8, 2022",7,8
"May 8, 2022",6,16
"May 9, 2022",6,19
"May 9, 2022",4,1
"May 9, 2022",7,3
"May 9, 2022",2,39
"May 9, 2022",1,9
"May 10, 2022",2,39
"May 10, 2022",6,40
"May 10, 2022",7,3
"May 10, 2022",1,7
"May 11, 2022",6,30
"May 11, 2022",2,69
"May 11, 2022",20,1
"May 11, 2022",1,7
"May 11, 2022",7,11
"May 12, 2022",7,10
"May 12, 2022",1,4
"May 12, 2022",2,56
"May 12, 2022",6,23
"May 13, 2022",2,54
"May 13, 2022",7,2
"May 13, 2022",4,1
"May 13, 2022",6,18
"May 13, 2022",1,11
"May 14, 2022",17,2
"May 14, 2022",2,30
"May 14, 2022",1,6
"May 14, 2022",7,9
"May 14, 2022",6,10
"May 15, 2022",6,13
"May 15, 2022",4,1
"May 15, 2022",2,22
"May 15, 2022",1,2
"May 15, 2022",7,1
"May 16, 2022",2,34
"May 16, 2022",1,10
"May 16, 2022",7,1
"May 16, 2022",20,1
"May 16, 2022",6,12
"May 17, 2022",4,1
"May 17, 2022",6,14
"May 17, 2022",2,48
"May 17, 2022",1,7
"May 17, 2022",7,5
"May 18, 2022",2,52
"May 18, 2022",1,10
"May 18, 2022",7,5
"May 18, 2022",6,16
"May 18, 2022",17,1
"May 18, 2022",4,1
"May 19, 2022",7,2
"May 19, 2022",2,59
"May 19, 2022",17,2
"May 19, 2022",4,2
"May 19, 2022",6,24
"May 19, 2022",1,6
"May 20, 2022",1,11
"May 20, 2022",7,10
"May 20, 2022",2,56
"May 20, 2022",6,35
"May 20, 2022",4,4
"May 21, 2022",20,1
"May 21, 2022",6,12
"May 21, 2022",1,7
"May 21, 2022",4,1
"May 21, 2022",2,51
"May 21, 2022",7,3
"May 22, 2022",4,1
"May 22, 2022",6,19
"May 22, 2022",20,2
"May 22, 2022",2,31
"May 22, 2022",1,5
"May 23, 2022",6,21
"May 23, 2022",1,7
"May 23, 2022",4,1
"May 23, 2022",2,44
"May 24, 2022",1,7
"May 24, 2022",7,1
"May 24, 2022",4,1
"May 24, 2022",2,40
"May 24, 2022",6,29
"May 25, 2022",2,56
"May 25, 2022",7,4
"May 25, 2022",4,1
"May 25, 2022",1,4
"May 25, 2022",6,18
"May 26, 2022",7,4
"May 26, 2022",6,17
"May 26, 2022",2,55
"May 26, 2022",1,7
"May 27, 2022",2,40
"May 27, 2022",6,29
"May 27, 2022",1,6
"May 27, 2022",7,3
"May 28, 2022",6,16
"May 28, 2022",1,2
"May 28, 2022",7,3
"May 28, 2022",2,18
"May 29, 2022",1,5
"May 29, 2022",20,1
"May 29, 2022",6,12
"May 29, 2022",4,1
"May 29, 2022",2,24
"May 29, 2022",7,5
"May 30, 2022",2,55
"May 30, 2022",7,6
"May 30, 2022",6,37
"May 30, 2022",1,14
"May 31, 2022",2,60
"May 31, 2022",6,32
"May 31, 2022",7,7
"May 31, 2022",1,4
