Date,Country,City,Street,Location,Avg Reliability
"May 31, 2022",BR,null,BR-277 N Rod. do Café Gov. Ney Braga,Point(-49.383605 -25.4269),10
"May 31, 2022",BR,Curitiba,Av. Pres. Kennedy,Point(-49.262825 -25.451302),6
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.271755 -25.556015),6
"May 31, 2022",BR,São José dos Pinhais,Av. das Américas,Point(-49.210527 -25.530315),5
"May 31, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.215876 -25.57037),10
"May 31, 2022",BR,Curitiba,R. Mal. Deodoro,Point(-49.262214 -25.428309),5
"May 31, 2022",BR,Curitiba,Av. Sen. Souza Naves,Point(-49.240537 -25.431955),5
"May 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.295075 -25.522138),6
"May 31, 2022",BR,Curitiba,Av. Cândido Hartmann,Point(-49.304127 -25.423018),6
"May 31, 2022",BR,Curitiba,Marg. BR-116,Point(-49.303685 -25.546463),10
"May 31, 2022",BR,Curitiba,Av. Juscelino Kubitschek de Oliveira,Point(-49.3514 -25.474618),10
"May 31, 2022",BR,Curitiba,R. Ponta Grossa,Point(-49.288275 -25.474463),10
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.265707 -25.559504),10
"May 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Dir.,Point(-49.263204 -25.438165),10
"May 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.273973 -25.494267),5
"May 31, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.177234 -25.568202),10
"May 31, 2022",BR,Curitiba,R. Miguel Geara,Point(-49.204456 -25.493909),6
"May 31, 2022",BR,Curitiba,R. Cel. Amazonas Marcondes,Point(-49.254917 -25.399695),5
"May 31, 2022",BR,null,PR-092 Rod. dos Minérios,Point(-49.281097 -25.356691),8
"May 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.266067 -25.483807),7
"May 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Dir.,Point(-49.261556 -25.437508),9
"May 31, 2022",BR,Curitiba,Av. Pref. Lothario Meissner,Point(-49.242734 -25.444076),10
"May 31, 2022",BR,Curitiba,R. Com. Fontana,Point(-49.268837 -25.418872),5
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.272976 -25.555312),5
"May 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.220043 -25.410135),10
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.274859 -25.554227),10
"May 31, 2022",BR,Curitiba,R. Mariano Torres - Pista Esq.,Point(-49.260932 -25.434184),5
"May 31, 2022",BR,Curitiba,R. Prof. Francisco Basseti Jr.,Point(-49.320446 -25.41648),5
"May 31, 2022",BR,Curitiba,R. Pedro Gusso,Point(-49.315027 -25.503928),8
"May 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.232259 -25.433915),10
"May 31, 2022",BR,Curitiba,Av. Sen. Souza Naves,Point(-49.24146 -25.431862),5
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.282725 -25.549977),10
"May 31, 2022",BR,Curitiba,R. José Veríssimo,Point(-49.21418 -25.42779),10
"May 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.257863 -25.473422),5
"May 31, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,Point(-49.218524 -25.570039),10
"May 31, 2022",BR,Curitiba,Av. Pres. Kennedy,Point(-49.288055 -25.473882),5
"May 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.285784 -25.508692),10
"May 30, 2022",BR,São José dos Pinhais,null,Point(-49.191632 -25.540206),7
"May 30, 2022",BR,Curitiba,R. Brasílio Itiberê,Point(-49.258192 -25.442925),7
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.275118 -25.494921),6
"May 30, 2022",BR,Curitiba,BR-376 Contorno Sul,Point(-49.342336 -25.499448),6
"May 30, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,Point(-49.206646 -25.430961),7
"May 30, 2022",BR,Colombo,R. Luiz Berlesi,Point(-49.128673 -25.371748),6
"May 30, 2022",BR,Curitiba,R. Mal. Octávio Saldanha Mazza,Point(-49.294859 -25.524413),6
"May 30, 2022",BR,Pinhais,R. 24 de Maio,Point(-49.194119 -25.435538),10
"May 30, 2022",BR,Colombo,R. Luiz Berlesi,Point(-49.128353 -25.372365),7
"May 30, 2022",BR,São José dos Pinhais,R. Mal. Hermes,Point(-49.155237 -25.509646),5
"May 30, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.328252 -25.368005),10
"May 30, 2022",BR,Curitiba,R. Guararapes,Point(-49.290144 -25.457125),6
"May 30, 2022",BR,Curitiba,R. Paulo Gorski,Point(-49.323249 -25.436882),9
"May 30, 2022",BR,Curitiba,Av. Cel. Francisco Heráclito dos Santos,Point(-49.232845 -25.459017),9
"May 30, 2022",BR,Curitiba,Av. Pres. Affonso Camargo,Point(-49.20781 -25.443365),9
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.272509 -25.555581),10
"May 30, 2022",BR,Curitiba,BR-476 Est. da Ribeira,Point(-49.202639 -25.384898),6
"May 30, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,Point(-49.232501 -25.428042),10
"May 30, 2022",BR,Curitiba,Av. Pres. Kennedy,Point(-49.28864 -25.474589),7
"May 30, 2022",BR,Curitiba,R. Francisco Raitani,Point(-49.294232 -25.497324),6
"May 30, 2022",BR,Piraquara,BR-116 Contorno Leste,Point(-49.102978 -25.480367),8
"May 30, 2022",BR,Curitiba,R. Araticum,Point(-49.223409 -25.475097),5
"May 30, 2022",BR,Curitiba,R. Paulo Gorski,Point(-49.323117 -25.436665),6
"May 30, 2022",BR,Curitiba,Av. Comendador Franco,Point(-49.24089 -25.456371),10
"May 30, 2022",BR,Curitiba,Av. Munhoz da Rocha,Point(-49.25071 -25.408281),5
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.253323 -25.468681),7
