Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
"Jun 1, 2022",BR,null,BR-277 N Rod. do Café Gov. Ney Braga,null,2959.25,463.4166666666667,1048
"Jun 1, 2022",BR,null,BR-277 N Rod. do Café Gov. Ney Braga,ACCIDENT,2208,852,82
"Jun 1, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,null,3266,537,288
"Jun 1, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,ACCIDENT,3258.0810810810813,940.4324324324324,1824
"May 31, 2022",BR,Curitiba,R. Dr. Alexandre Gutierrez,null,692,889.5,50
"May 31, 2022",BR,São José dos Pinhais,R. David Campista,null,673,564,28
"May 31, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,ACCIDENT,3338.25,876.2857142857143,2380
"May 31, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,null,6555.159420289855,456.6811594202899,18594
"May 31, 2022",BR,São José dos Pinhais,null,null,510,1506,8
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,null,5288.708333333333,471.7135416666667,20528
"May 31, 2022",BR,null,BR-277 N Rod. do Café Gov. Ney Braga,null,2549.6,859.3,894
"May 31, 2022",BR,Curitiba,Av. Pres. Arthur da Silva Bernardes,null,783.6470588235294,350.3235294117647,4290
"May 31, 2022",BR,Curitiba,R. Raul Pompéia,null,526.3333333333334,462.8888888888889,187
"May 31, 2022",BR,null,BR-277 N Rod. do Café Gov. Ney Braga,ACCIDENT,1947,784.25,772
"May 31, 2022",BR,Curitiba,R. Francisco Frischmann,null,1266.6756756756756,476.64864864864865,14130
"May 31, 2022",BR,Curitiba,R. Cap. Leônidas Marques,null,685.5,485,24
"May 31, 2022",BR,Curitiba,R. Imaculada Conceição,null,855.625,710.25,634
"May 31, 2022",BR,Curitiba,Av. Linha Verde,null,2140.0813953488373,715.3081395348837,19014
"May 31, 2022",BR,Pinhais,R. Salgado Filho,null,574,1043,6
"May 31, 2022",BR,Curitiba,R. Eduardo Sprada,ACCIDENT,797.5,460.375,630
"May 31, 2022",BR,Curitiba,R. Eduardo Sprada,null,950.25,654.75,374
"May 31, 2022",BR,Curitiba,Marg. Av. Linha Verde,null,613.1538461538462,396.9230769230769,1618
"May 31, 2022",BR,Curitiba,Av. Linha Verde,HAZARD,1442.9545454545455,389.6136363636364,7756
"May 31, 2022",BR,Curitiba,R. São Bento,null,650,403.6666666666667,18
"May 31, 2022",BR,Curitiba,R. Luiz Parigot de Souza,null,712.375,440.875,722
"May 31, 2022",BR,Curitiba,BR-376 Contorno Sul,null,7027.153846153846,696.1538461538462,9526
"May 31, 2022",BR,Curitiba,Av. Linha Verde,ACCIDENT,1188.4166666666667,556.9166666666666,3160
"May 31, 2022",BR,Curitiba,Av. República Argentina,null,798.1142857142858,605.3714285714286,2064
"May 31, 2022",BR,Curitiba,BR-116 N Rod. Régis Bittencourt,null,2121.875,734.4583333333334,5670
"May 31, 2022",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,null,1238.7333333333333,610.4666666666667,1146
"May 31, 2022",BR,Curitiba,Av. Paraná,null,735,463.2,108
"May 31, 2022",BR,Curitiba,R. José Valle,null,855.8333333333334,434.6666666666667,104
"May 31, 2022",BR,Curitiba,R. João Chede,null,678.2857142857143,866.7142857142857,196
"May 31, 2022",BR,Curitiba,Av. Anita Garibaldi,null,1612.8,727.0666666666667,1160
"May 31, 2022",BR,São José dos Pinhais,Av. Rui Barbosa,null,813.5555555555555,309.22222222222223,228
"May 31, 2022",BR,Curitiba,R. Mateus Leme,null,1704.5,644.5,4382
"May 31, 2022",BR,Curitiba,R. Roraima,null,545,428,10
"May 30, 2022",BR,Curitiba,R. Des. Antônio de Paula,null,681,493.5,30
"May 30, 2022",BR,Curitiba,null,null,1789,624.4375,2698
"May 30, 2022",BR,Curitiba,Av. Pres. Arthur da Silva Bernardes,null,1019.7,534.8,952
"May 30, 2022",BR,Curitiba,R. Gastão Câmara,null,676,607.5,462
