Day,Average Delay (Seconds),# Irregularities
"May 31, 2022",588.5436479772889,50
"May 30, 2022",563.3623011015912,67
"May 29, 2022",544.6741767764298,31
"May 28, 2022",754.3213367609254,25
"May 27, 2022",1032.2851394849786,131
"May 26, 2022",616.5009149130833,89
"May 25, 2022",923.7778772951186,72
"May 24, 2022",610.9982445874781,51
"May 23, 2022",701.6785714285714,35
"May 22, 2022",536.5120147874306,22
"May 21, 2022",597.8996247654784,43
"May 20, 2022",646.1806302843967,79
"May 19, 2022",864.9737274220033,85
"May 18, 2022",710.6307906652735,93
"May 17, 2022",674.8987425545996,86
"May 16, 2022",466.9252265861027,41
"May 15, 2022",862.5473289597,31
"May 14, 2022",542.4415907207954,24
"May 13, 2022",692.9305431878896,47
"May 12, 2022",699.4510155316607,44
"May 11, 2022",668.6172839506173,53
"May 10, 2022",754.4418848167539,47
"May 9, 2022",714.0477727566172,46
"May 8, 2022",776.5692810457516,85
"May 7, 2022",522.8610213316095,46
"May 6, 2022",766.2669797687861,111
"May 5, 2022",647.5951923076923,87
"May 4, 2022",738.0577215189874,95
"May 3, 2022",719.2936534034857,161
"May 2, 2022",672.2200158856235,66
"May 1, 2022",527.8669527896996,29
