Day,Cause,# Irregularities
"May 1, 2022",ACCIDENT,2
"May 2, 2022",ACCIDENT,5
"May 2, 2022",HAZARD,5
"May 3, 2022",HAZARD,4
"May 3, 2022",ACCIDENT,13
"May 4, 2022",HAZARD,1
"May 4, 2022",ACCIDENT,8
"May 5, 2022",ACCIDENT,15
"May 5, 2022",HAZARD,13
"May 6, 2022",ACCIDENT,7
"May 6, 2022",HAZARD,6
"May 7, 2022",HAZARD,4
"May 7, 2022",ACCIDENT,5
"May 8, 2022",ACCIDENT,12
"May 8, 2022",HAZARD,2
"May 9, 2022",ACCIDENT,5
"May 10, 2022",HAZARD,2
"May 10, 2022",ACCIDENT,7
"May 11, 2022",HAZARD,3
"May 11, 2022",ACCIDENT,8
"May 12, 2022",HAZARD,1
"May 12, 2022",ACCIDENT,6
"May 13, 2022",ACCIDENT,5
"May 15, 2022",ACCIDENT,3
"May 16, 2022",HAZARD,2
"May 16, 2022",ACCIDENT,5
"May 17, 2022",ACCIDENT,12
"May 17, 2022",HAZARD,5
"May 18, 2022",ACCIDENT,11
"May 18, 2022",HAZARD,3
"May 18, 2022",ROAD_CLOSED,1
"May 19, 2022",ACCIDENT,9
"May 20, 2022",HAZARD,3
"May 20, 2022",ACCIDENT,10
"May 21, 2022",ACCIDENT,5
"May 21, 2022",HAZARD,3
"May 22, 2022",ACCIDENT,2
"May 23, 2022",ACCIDENT,7
"May 24, 2022",HAZARD,1
"May 24, 2022",ACCIDENT,6
"May 25, 2022",ACCIDENT,6
"May 25, 2022",HAZARD,12
"May 26, 2022",HAZARD,5
"May 26, 2022",ACCIDENT,3
"May 27, 2022",ACCIDENT,7
"May 28, 2022",ACCIDENT,2
"May 30, 2022",ACCIDENT,2
"May 30, 2022",HAZARD,1
"May 31, 2022",ACCIDENT,5
"May 31, 2022",HAZARD,4
