Day,Cause,# Irregularities
"Jan 2, 2022",ACCIDENT,3
"Jan 3, 2022",HAZARD,1
"Jan 3, 2022",ACCIDENT,4
"Jan 4, 2022",ACCIDENT,5
"Jan 4, 2022",HAZARD,1
"Jan 5, 2022",ACCIDENT,2
"Jan 6, 2022",ACCIDENT,2
"Jan 6, 2022",HAZARD,3
"Jan 7, 2022",ACCIDENT,1
"Jan 8, 2022",ACCIDENT,3
"Jan 10, 2022",HAZARD,1
"Jan 10, 2022",ACCIDENT,4
"Jan 11, 2022",HAZARD,1
"Jan 11, 2022",ACCIDENT,1
"Jan 12, 2022",HAZARD,1
"Jan 12, 2022",ACCIDENT,2
"Jan 13, 2022",ACCIDENT,9
"Jan 14, 2022",ACCIDENT,2
"Jan 14, 2022",HAZARD,1
"Jan 15, 2022",ACCIDENT,4
"Jan 15, 2022",HAZARD,9
"Jan 16, 2022",ACCIDENT,2
"Jan 17, 2022",HAZARD,1
"Jan 17, 2022",ACCIDENT,9
"Jan 18, 2022",ACCIDENT,1
"Jan 19, 2022",ACCIDENT,2
"Jan 19, 2022",HAZARD,2
"Jan 20, 2022",HAZARD,2
"Jan 21, 2022",ACCIDENT,7
"Jan 21, 2022",HAZARD,3
"Jan 23, 2022",ACCIDENT,1
"Jan 24, 2022",ACCIDENT,4
"Jan 24, 2022",HAZARD,3
"Jan 25, 2022",ACCIDENT,7
"Jan 26, 2022",HAZARD,2
"Jan 26, 2022",ACCIDENT,8
"Jan 27, 2022",HAZARD,6
"Jan 27, 2022",ACCIDENT,5
"Jan 28, 2022",HAZARD,2
"Jan 28, 2022",ACCIDENT,9
"Jan 29, 2022",ACCIDENT,2
"Jan 31, 2022",HAZARD,3
"Jan 31, 2022",ACCIDENT,8
