Day,Type,# Alerts
"Jan 1, 2022",WEATHERHAZARD,191
"Jan 1, 2022",ACCIDENT,31
"Jan 1, 2022",ROAD_CLOSED,6
"Jan 1, 2022",JAM,62
"Jan 2, 2022",JAM,233
"Jan 2, 2022",WEATHERHAZARD,377
"Jan 2, 2022",ACCIDENT,54
"Jan 3, 2022",WEATHERHAZARD,468
"Jan 3, 2022",ACCIDENT,93
"Jan 3, 2022",JAM,789
"Jan 4, 2022",JAM,857
"Jan 4, 2022",ACCIDENT,116
"Jan 4, 2022",WEATHERHAZARD,552
"Jan 5, 2022",ROAD_CLOSED,3
"Jan 5, 2022",WEATHERHAZARD,513
"Jan 5, 2022",JAM,597
"Jan 5, 2022",ACCIDENT,99
"Jan 6, 2022",JAM,582
"Jan 6, 2022",ACCIDENT,70
"Jan 6, 2022",WEATHERHAZARD,568
"Jan 6, 2022",ROAD_CLOSED,14
"Jan 7, 2022",JAM,628
"Jan 7, 2022",ACCIDENT,74
"Jan 7, 2022",WEATHERHAZARD,454
"Jan 8, 2022",JAM,191
"Jan 8, 2022",WEATHERHAZARD,287
"Jan 8, 2022",ACCIDENT,74
"Jan 9, 2022",JAM,113
"Jan 9, 2022",WEATHERHAZARD,177
"Jan 9, 2022",ACCIDENT,60
"Jan 10, 2022",ROAD_CLOSED,6
"Jan 10, 2022",ACCIDENT,104
"Jan 10, 2022",WEATHERHAZARD,558
"Jan 10, 2022",JAM,813
"Jan 11, 2022",ROAD_CLOSED,1
"Jan 11, 2022",JAM,843
"Jan 11, 2022",ACCIDENT,84
"Jan 11, 2022",WEATHERHAZARD,521
"Jan 12, 2022",ROAD_CLOSED,2
"Jan 12, 2022",ACCIDENT,88
"Jan 12, 2022",WEATHERHAZARD,501
"Jan 12, 2022",JAM,601
"Jan 13, 2022",JAM,1043
"Jan 13, 2022",ACCIDENT,117
"Jan 13, 2022",WEATHERHAZARD,531
"Jan 13, 2022",ROAD_CLOSED,4
"Jan 14, 2022",WEATHERHAZARD,590
"Jan 14, 2022",ACCIDENT,131
"Jan 14, 2022",JAM,982
"Jan 15, 2022",JAM,322
"Jan 15, 2022",ACCIDENT,123
"Jan 15, 2022",WEATHERHAZARD,559
"Jan 16, 2022",ROAD_CLOSED,7
"Jan 16, 2022",JAM,94
"Jan 16, 2022",WEATHERHAZARD,259
"Jan 16, 2022",ACCIDENT,77
"Jan 17, 2022",ACCIDENT,153
"Jan 17, 2022",WEATHERHAZARD,696
"Jan 17, 2022",JAM,1001
"Jan 18, 2022",WEATHERHAZARD,601
"Jan 18, 2022",JAM,543
"Jan 18, 2022",ACCIDENT,63
"Jan 18, 2022",ROAD_CLOSED,2
"Jan 19, 2022",JAM,799
"Jan 19, 2022",ACCIDENT,80
"Jan 19, 2022",ROAD_CLOSED,2
"Jan 19, 2022",WEATHERHAZARD,603
"Jan 20, 2022",WEATHERHAZARD,642
"Jan 20, 2022",JAM,733
"Jan 20, 2022",ROAD_CLOSED,27
"Jan 20, 2022",ACCIDENT,78
"Jan 21, 2022",ROAD_CLOSED,16
"Jan 21, 2022",ACCIDENT,135
"Jan 21, 2022",JAM,1099
"Jan 21, 2022",WEATHERHAZARD,692
"Jan 22, 2022",ACCIDENT,58
"Jan 22, 2022",WEATHERHAZARD,331
"Jan 22, 2022",JAM,195
"Jan 23, 2022",ACCIDENT,51
"Jan 23, 2022",ROAD_CLOSED,2
"Jan 23, 2022",WEATHERHAZARD,234
"Jan 23, 2022",JAM,126
"Jan 24, 2022",ACCIDENT,103
"Jan 24, 2022",ROAD_CLOSED,5
"Jan 24, 2022",WEATHERHAZARD,646
"Jan 24, 2022",JAM,763
"Jan 25, 2022",ACCIDENT,107
"Jan 25, 2022",WEATHERHAZARD,621
"Jan 25, 2022",JAM,853
"Jan 25, 2022",ROAD_CLOSED,19
"Jan 26, 2022",JAM,786
"Jan 26, 2022",WEATHERHAZARD,667
"Jan 26, 2022",ACCIDENT,89
"Jan 27, 2022",ROAD_CLOSED,3
"Jan 27, 2022",ACCIDENT,111
"Jan 27, 2022",JAM,835
"Jan 27, 2022",WEATHERHAZARD,625
"Jan 28, 2022",ACCIDENT,150
"Jan 28, 2022",JAM,1281
"Jan 28, 2022",ROAD_CLOSED,5
"Jan 28, 2022",WEATHERHAZARD,508
"Jan 29, 2022",WEATHERHAZARD,285
"Jan 29, 2022",ACCIDENT,87
"Jan 29, 2022",JAM,212
"Jan 30, 2022",JAM,72
"Jan 30, 2022",WEATHERHAZARD,192
"Jan 30, 2022",ROAD_CLOSED,4
"Jan 30, 2022",ACCIDENT,35
"Jan 31, 2022",JAM,709
"Jan 31, 2022",WEATHERHAZARD,667
"Jan 31, 2022",ACCIDENT,93
"Jan 31, 2022",ROAD_CLOSED,3
