Day,Average Delay (Seconds),# Irregularities
"Jan 31, 2022",714.9186813186814,39
"Jan 30, 2022",595.3243243243244,10
"Jan 29, 2022",748.295165394402,36
"Jan 28, 2022",974.3232581967213,69
"Jan 27, 2022",863.9136178861788,57
"Jan 26, 2022",678.0332409972299,43
"Jan 25, 2022",1113.7992411176267,74
"Jan 24, 2022",556.0841514726508,27
"Jan 23, 2022",773.1194968553459,15
"Jan 22, 2022",633.3125,11
"Jan 21, 2022",1095.8634552698297,89
"Jan 20, 2022",642.4059829059829,31
"Jan 19, 2022",943.7492331288344,62
"Jan 18, 2022",461.64220183486236,22
"Jan 17, 2022",766.2950724637681,47
"Jan 16, 2022",503.2519379844961,19
"Jan 15, 2022",1032.2593783494106,35
"Jan 14, 2022",763.6800785083415,37
"Jan 13, 2022",1258.6658043273753,133
"Jan 12, 2022",617.8904555314533,27
"Jan 11, 2022",1159.7739307535642,67
"Jan 10, 2022",655.0091923834538,32
"Jan 9, 2022",590.0625,6
"Jan 8, 2022",1461.1136842105263,28
"Jan 7, 2022",439.2612456747405,31
"Jan 6, 2022",610.6602316602317,30
"Jan 5, 2022",905.6446886446887,31
"Jan 4, 2022",671.4042085427136,57
"Jan 3, 2022",666.997642621405,46
"Jan 2, 2022",408.1694402420575,16
"Jan 1, 2022",634.2592592592592,8
