Day,Subtype,# Alerts
"Jan 9, 2022",JAM_HEAVY_TRAFFIC,40
"Jan 9, 2022",HAZARD_ON_ROAD_OBJECT,3
"Jan 10, 2022",HAZARD_ON_ROAD_POT_HOLE,42
"Jan 10, 2022",,150
"Jan 10, 2022",ACCIDENT_MINOR,46
"Jan 10, 2022",HAZARD_ON_ROAD_CAR_STOPPED,177
"Jan 10, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,137
"Jan 10, 2022",HAZARD_ON_ROAD_CONSTRUCTION,122
"Jan 10, 2022",JAM_HEAVY_TRAFFIC,372
"Jan 10, 2022",HAZARD_ON_ROAD_OBJECT,26
"Jan 10, 2022",JAM_MODERATE_TRAFFIC,165
"Jan 10, 2022",JAM_STAND_STILL_TRAFFIC,194
"Jan 11, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,107
"Jan 11, 2022",HAZARD_ON_ROAD_OBJECT,17
"Jan 11, 2022",JAM_HEAVY_TRAFFIC,394
"Jan 11, 2022",HAZARD_ON_ROAD_CONSTRUCTION,106
"Jan 11, 2022",,172
"Jan 11, 2022",JAM_STAND_STILL_TRAFFIC,216
"Jan 11, 2022",JAM_MODERATE_TRAFFIC,133
"Jan 11, 2022",HAZARD_ON_ROAD_CAR_STOPPED,151
"Jan 11, 2022",HAZARD_ON_ROAD_POT_HOLE,65
"Jan 11, 2022",ACCIDENT_MINOR,28
"Jan 12, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,103
"Jan 12, 2022",HAZARD_ON_ROAD_OBJECT,22
"Jan 12, 2022",JAM_STAND_STILL_TRAFFIC,153
"Jan 12, 2022",HAZARD_ON_ROAD_POT_HOLE,34
"Jan 12, 2022",,133
"Jan 12, 2022",ACCIDENT_MINOR,32
"Jan 12, 2022",JAM_MODERATE_TRAFFIC,91
"Jan 12, 2022",JAM_HEAVY_TRAFFIC,287
"Jan 12, 2022",HAZARD_ON_ROAD_CONSTRUCTION,143
"Jan 12, 2022",HAZARD_ON_ROAD_CAR_STOPPED,149
"Jan 13, 2022",,211
"Jan 13, 2022",ACCIDENT_MINOR,33
"Jan 13, 2022",JAM_HEAVY_TRAFFIC,440
"Jan 13, 2022",HAZARD_ON_ROAD_POT_HOLE,53
"Jan 13, 2022",HAZARD_ON_ROAD_CAR_STOPPED,132
"Jan 13, 2022",HAZARD_ON_ROAD_CONSTRUCTION,140
"Jan 13, 2022",HAZARD_ON_ROAD_OBJECT,26
"Jan 13, 2022",JAM_MODERATE_TRAFFIC,171
"Jan 13, 2022",JAM_STAND_STILL_TRAFFIC,309
"Jan 13, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,115
"Jan 14, 2022",HAZARD_ON_ROAD_OBJECT,31
"Jan 14, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,129
"Jan 14, 2022",JAM_MODERATE_TRAFFIC,169
"Jan 14, 2022",HAZARD_ON_ROAD_CONSTRUCTION,159
"Jan 14, 2022",HAZARD_ON_ROAD_POT_HOLE,35
"Jan 14, 2022",HAZARD_ON_ROAD_CAR_STOPPED,169
"Jan 14, 2022",ACCIDENT_MINOR,44
"Jan 14, 2022",JAM_HEAVY_TRAFFIC,466
"Jan 14, 2022",JAM_STAND_STILL_TRAFFIC,245
"Jan 14, 2022",,187
"Jan 15, 2022",HAZARD_ON_ROAD_OBJECT,34
"Jan 15, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,77
"Jan 15, 2022",JAM_STAND_STILL_TRAFFIC,89
"Jan 15, 2022",,136
"Jan 15, 2022",ACCIDENT_MINOR,42
"Jan 15, 2022",JAM_HEAVY_TRAFFIC,104
"Jan 15, 2022",HAZARD_ON_ROAD_CAR_STOPPED,109
"Jan 15, 2022",JAM_MODERATE_TRAFFIC,68
"Jan 15, 2022",HAZARD_ON_ROAD_CONSTRUCTION,41
"Jan 15, 2022",HAZARD_ON_ROAD_POT_HOLE,21
"Jan 16, 2022",HAZARD_ON_ROAD_POT_HOLE,22
"Jan 16, 2022",HAZARD_ON_ROAD_CAR_STOPPED,63
"Jan 16, 2022",ACCIDENT_MINOR,28
"Jan 16, 2022",JAM_MODERATE_TRAFFIC,13
"Jan 16, 2022",HAZARD_ON_ROAD_OBJECT,12
"Jan 16, 2022",,70
"Jan 16, 2022",JAM_STAND_STILL_TRAFFIC,22
"Jan 16, 2022",HAZARD_ON_ROAD_CONSTRUCTION,18
"Jan 16, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,58
"Jan 16, 2022",JAM_HEAVY_TRAFFIC,28
"Jan 17, 2022",HAZARD_ON_ROAD_CONSTRUCTION,123
"Jan 17, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,157
"Jan 17, 2022",HAZARD_ON_ROAD_CAR_STOPPED,204
"Jan 17, 2022",JAM_HEAVY_TRAFFIC,478
"Jan 17, 2022",HAZARD_ON_ROAD_OBJECT,50
"Jan 17, 2022",JAM_MODERATE_TRAFFIC,156
"Jan 17, 2022",,224
"Jan 17, 2022",ACCIDENT_MINOR,50
"Jan 17, 2022",HAZARD_ON_ROAD_POT_HOLE,38
"Jan 17, 2022",JAM_STAND_STILL_TRAFFIC,239
"Jan 18, 2022",HAZARD_ON_ROAD_CAR_STOPPED,164
"Jan 18, 2022",JAM_MODERATE_TRAFFIC,107
"Jan 18, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,116
"Jan 18, 2022",HAZARD_ON_ROAD_OBJECT,29
"Jan 18, 2022",JAM_HEAVY_TRAFFIC,264
"Jan 18, 2022",,107
"Jan 18, 2022",HAZARD_ON_ROAD_CONSTRUCTION,145
"Jan 18, 2022",ACCIDENT_MINOR,30
"Jan 18, 2022",HAZARD_ON_ROAD_POT_HOLE,54
"Jan 18, 2022",JAM_STAND_STILL_TRAFFIC,118
"Jan 19, 2022",JAM_HEAVY_TRAFFIC,353
