Day,Accident Type,# Accidents
"Aug 1, 2022",ACCIDENT_MAJOR,29
"Aug 1, 2022",ACCIDENT_MINOR,51
"Aug 2, 2022",ACCIDENT_MINOR,48
"Aug 2, 2022",ACCIDENT_MAJOR,30
"Aug 3, 2022",ACCIDENT_MINOR,55
"Aug 3, 2022",ACCIDENT_MAJOR,29
"Aug 4, 2022",ACCIDENT_MAJOR,34
"Aug 4, 2022",ACCIDENT_MINOR,57
"Aug 5, 2022",ACCIDENT_MINOR,66
"Aug 5, 2022",ACCIDENT_MAJOR,40
"Aug 6, 2022",ACCIDENT_MINOR,24
"Aug 6, 2022",ACCIDENT_MAJOR,26
"Aug 7, 2022",ACCIDENT_MINOR,43
"Aug 7, 2022",ACCIDENT_MAJOR,28
"Aug 8, 2022",ACCIDENT_MAJOR,21
"Aug 8, 2022",ACCIDENT_MINOR,67
"Aug 9, 2022",ACCIDENT_MINOR,118
"Aug 9, 2022",ACCIDENT_MAJOR,49
"Aug 10, 2022",ACCIDENT_MAJOR,51
"Aug 10, 2022",ACCIDENT_MINOR,85
"Aug 11, 2022",ACCIDENT_MINOR,70
"Aug 11, 2022",ACCIDENT_MAJOR,37
"Aug 12, 2022",ACCIDENT_MINOR,62
"Aug 12, 2022",ACCIDENT_MAJOR,59
"Aug 13, 2022",ACCIDENT_MAJOR,45
"Aug 13, 2022",ACCIDENT_MINOR,58
"Aug 14, 2022",ACCIDENT_MINOR,42
"Aug 14, 2022",ACCIDENT_MAJOR,35
"Aug 15, 2022",ACCIDENT_MINOR,56
"Aug 15, 2022",ACCIDENT_MAJOR,23
"Aug 16, 2022",ACCIDENT_MAJOR,24
"Aug 16, 2022",ACCIDENT_MINOR,57
"Aug 17, 2022",ACCIDENT_MINOR,47
"Aug 17, 2022",ACCIDENT_MAJOR,33
"Aug 18, 2022",ACCIDENT_MAJOR,25
"Aug 18, 2022",ACCIDENT_MINOR,59
"Aug 19, 2022",ACCIDENT_MINOR,75
"Aug 19, 2022",ACCIDENT_MAJOR,31
"Aug 20, 2022",ACCIDENT_MAJOR,15
"Aug 20, 2022",ACCIDENT_MINOR,22
"Aug 21, 2022",ACCIDENT_MINOR,18
"Aug 21, 2022",ACCIDENT_MAJOR,32
"Aug 22, 2022",ACCIDENT_MINOR,45
"Aug 22, 2022",ACCIDENT_MAJOR,32
"Aug 23, 2022",ACCIDENT_MAJOR,35
"Aug 23, 2022",ACCIDENT_MINOR,62
"Aug 24, 2022",ACCIDENT_MAJOR,34
"Aug 24, 2022",ACCIDENT_MINOR,67
"Aug 25, 2022",ACCIDENT_MINOR,52
"Aug 25, 2022",ACCIDENT_MAJOR,34
"Aug 26, 2022",ACCIDENT_MAJOR,25
"Aug 26, 2022",ACCIDENT_MINOR,62
"Aug 27, 2022",ACCIDENT_MAJOR,24
"Aug 27, 2022",ACCIDENT_MINOR,35
"Aug 28, 2022",ACCIDENT_MAJOR,24
"Aug 28, 2022",ACCIDENT_MINOR,26
"Aug 29, 2022",ACCIDENT_MINOR,44
"Aug 29, 2022",ACCIDENT_MAJOR,29
"Aug 30, 2022",ACCIDENT_MAJOR,23
"Aug 30, 2022",ACCIDENT_MINOR,55
"Aug 31, 2022",ACCIDENT_MAJOR,24
"Aug 31, 2022",ACCIDENT_MINOR,44
