Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
"Sep 1, 2022",BR,Curitiba,Av. Sete de Setembro,null,623,658,30
"Sep 1, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,HAZARD,2083,846.1785714285714,1226
"Sep 1, 2022",BR,Piraquara,BR-116 Contorno Leste,null,3674.0208333333335,795.5,2186
"Sep 1, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,null,2243.4193548387098,587.0967741935484,1268
"Aug 31, 2022",BR,Piraquara,BR-116 Contorno Leste,null,3230.7454545454543,728.4909090909091,1855
"Aug 31, 2022",BR,Curitiba,Av. Linha Verde,null,1481.5,449.2,5034
"Aug 31, 2022",BR,Curitiba,R. Alferes Ângelo Sampaio,null,2291,863.9090909090909,7448
"Aug 31, 2022",BR,Colombo,R. Alfredo Miguel Baduy,null,586,570,6
"Aug 31, 2022",BR,Curitiba,Av. Anita Garibaldi,HAZARD,960.6764705882352,519.7647058823529,1224
"Aug 31, 2022",BR,Curitiba,R. José Alcides de Lima,null,595,1082,6
"Aug 31, 2022",BR,Curitiba,R. Buenos Aires,null,691,1076,32
"Aug 31, 2022",BR,Curitiba,R. Visc. de Nácar,null,919.5405405405405,721.8108108108108,12314
"Aug 31, 2022",BR,São José dos Pinhais,BR-376 N Rod. Henrique Herwig,null,994,1161.4444444444443,2020
"Aug 31, 2022",BR,Curitiba,R. Robert Redzimski,null,791,984,32
"Aug 31, 2022",BR,Curitiba,R. Pe. Agostinho,null,1586.4615384615386,856.5692307692308,14691
"Aug 31, 2022",BR,Pinhais,null,null,515,1038,46
"Aug 31, 2022",BR,Curitiba,Av. Cândido Hartmann,null,1057.642857142857,547.2142857142857,2770
"Aug 31, 2022",BR,Curitiba,Av. Pres. Kennedy,null,673.5,202.25,506
"Aug 31, 2022",BR,Curitiba,R. Imaculada Conceição,null,816.6315789473684,770.578947368421,3942
"Aug 31, 2022",BR,Curitiba,R. Colombo,null,627.6666666666666,1090.6666666666667,26
"Aug 31, 2022",BR,Curitiba,Av. Prefeito Omar Sabbag,null,948.75,475.2857142857143,3330
"Aug 31, 2022",BR,Curitiba,R. Mal. Deodoro,null,867.6867469879518,568.3975903614457,19629
"Aug 31, 2022",BR,Curitiba,Av. Dr. Dário Lopes dos Santos,null,873.2758620689655,414.7586206896552,6820
"Aug 31, 2022",BR,Piraquara,BR-116 Contorno Leste,HAZARD,669,331.5,52
"Aug 31, 2022",BR,Curitiba,R. Baltazar Carrasco dos Reis,null,614.8,357.4,240
"Aug 31, 2022",BR,Curitiba,R. Des. Motta,null,1601.24,739.84,11554
"Aug 31, 2022",BR,Curitiba,R. Alferes Poli,null,674.5945945945946,640.5675675675676,5058
"Aug 31, 2022",BR,Curitiba,BR-116 N Rod. Régis Bittencourt,null,1682.4615384615386,482.3076923076923,2024
"Aug 31, 2022",BR,Curitiba,R. Gastão Câmara,null,638.6,585.4,880
"Aug 31, 2022",BR,São José dos Pinhais,R. Profa. Marieta de Souza e Silva,null,622,657.75,64
"Aug 31, 2022",BR,Curitiba,R. Augusto Zibarth,null,678.344262295082,627.3934426229508,2494
"Aug 31, 2022",BR,Curitiba,R. Eng. Ostoja Roguski,null,590.5333333333333,487.8666666666667,1263
"Aug 31, 2022",BR,Curitiba,Al. Dr. Carlos de Carvalho,null,847.5,463.92857142857144,9150
"Aug 31, 2022",BR,Curitiba,Av. Paraná,null,637,1284,14
"Aug 31, 2022",BR,Curitiba,R. João Negrão,null,746.8048780487804,352.719512195122,10632
"Aug 31, 2022",BR,Curitiba,Av. Sete de Setembro,null,873.4123711340206,1004.4742268041238,5487
"Aug 31, 2022",BR,Curitiba,R. Camões,null,566,928.4,44
"Aug 31, 2022",BR,Curitiba,R. Visc. do Rio Branco,null,878.5714285714286,753.8571428571429,4158
"Aug 31, 2022",BR,Curitiba,Av. Pres. Getúlio Vargas,null,1257.909090909091,664,4958
"Aug 31, 2022",BR,Curitiba,R. Lamenha Lins,null,1124.3076923076924,565.3205128205128,6000
"Aug 31, 2022",BR,Curitiba,BR-116 N Rod. Régis Bittencourt,HAZARD,1760,720.8333333333334,1098
"Aug 31, 2022",BR,Curitiba,Av. Iguaçu,null,942.625,442.6875,3756
"Aug 31, 2022",BR,Curitiba,R. Luiz Leão,null,565,467.1,524
"Aug 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Dir.,null,947.25,536.25,3228
"Aug 31, 2022",BR,Curitiba,R. Saldanha Marinho,null,534,465.2857142857143,816
"Aug 31, 2022",BR,Curitiba,BR-376 Contorno Sul,null,2940.0526315789475,252.89473684210526,4280
"Aug 31, 2022",BR,São José dos Pinhais,Av. das Torres,null,952.2307692307693,467.53846153846155,2438
"Aug 31, 2022",BR,Curitiba,Av. Anita Garibaldi,null,937.248275862069,543.7241379310345,2316
"Aug 31, 2022",BR,Curitiba,R. Cruz Machado,null,592.8846153846154,544.8846153846154,2864
"Aug 31, 2022",BR,Curitiba,R. Nicola Pellanda,null,885.6,387.4,74
"Aug 31, 2022",BR,Curitiba,R. Cons. Laurindo,null,1141.7857142857142,419.0238095238095,5318
"Aug 31, 2022",BR,Curitiba,Av. Pres. Kennedy,ACCIDENT,770,569.75,1044
"Aug 31, 2022",BR,Curitiba,R. Velcy Bolívar Grandó,null,874.3191489361702,483.25531914893617,2773
"Aug 31, 2022",BR,Curitiba,Av. República Argentina,null,599.8571428571429,672.2857142857143,222
"Aug 31, 2022",BR,Curitiba,Vd. Colorado,null,1019.625,470.53125,4068
"Aug 31, 2022",BR,Curitiba,R. Henrique Mehl,null,612.4117647058823,498.5882352941176,760
"Aug 31, 2022",BR,Curitiba,R. Dr. Alexandre Gutierrez,null,776.5,364.25,108
"Aug 31, 2022",BR,Curitiba,R. Romano Bertagnoli,null,723,554.6666666666666,204
"Aug 31, 2022",BR,Curitiba,Marg. Av. Linha Verde,null,740.4242424242424,582.0909090909091,5156
"Aug 31, 2022",BR,Curitiba,Av. Prefeito Lothario Meissner,null,1010,459.6666666666667,1076
"Aug 31, 2022",BR,Curitiba,Av. Anita Garibaldi,ACCIDENT,1412.6875,712.75,505
"Aug 31, 2022",BR,Curitiba,R. Augusto Stresser,null,1210.6,663,986
"Aug 31, 2022",BR,Pinhais,R. Rio Amazonas,null,834.3846153846154,428.3076923076923,270
"Aug 31, 2022",BR,Curitiba,Av. Dr. Dário Lopes dos Santos,HAZARD,889.5384615384615,499.61538461538464,5582
"Aug 31, 2022",BR,Curitiba,R. Oyapock,null,595.5,563.6666666666666,1596
"Aug 31, 2022",BR,Curitiba,BR-376 Contorno Sul,ACCIDENT,3225.1666666666665,398.1666666666667,1324
"Aug 31, 2022",BR,Almirante Tamandaré,PR-092 Rod. dos Minérios,null,2272.6666666666665,801.4166666666666,454
"Aug 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Esq.,null,747.96,597.12,5212
"Aug 31, 2022",BR,Piraquara,BR-116 Contorno Leste,ACCIDENT,3300.705882352941,1201.4117647058824,109
"Aug 31, 2022",BR,Pinhais,R. Wanda dos Santos Mallmann,null,647.75,368,108
"Aug 31, 2022",BR,Curitiba,R. Riachuelo,null,654,524.25,892
"Aug 31, 2022",BR,Curitiba,R. Ubaldino do Amaral,null,1299.625,395.1875,6650
"Aug 31, 2022",BR,Curitiba,R. Recife,null,540,572,20
