Day,Cause,# Irregularities
"Aug 1, 2022",HAZARD,4
"Aug 1, 2022",ACCIDENT,4
"Aug 2, 2022",ACCIDENT,8
"Aug 2, 2022",HAZARD,1
"Aug 3, 2022",ACCIDENT,5
"Aug 3, 2022",HAZARD,3
"Aug 4, 2022",ACCIDENT,13
"Aug 4, 2022",HAZARD,2
"Aug 5, 2022",HAZARD,9
"Aug 5, 2022",ACCIDENT,6
"Aug 7, 2022",ACCIDENT,2
"Aug 8, 2022",HAZARD,3
"Aug 8, 2022",ACCIDENT,7
"Aug 9, 2022",HAZARD,9
"Aug 9, 2022",ACCIDENT,17
"Aug 10, 2022",HAZARD,2
"Aug 10, 2022",ACCIDENT,12
"Aug 11, 2022",HAZARD,12
"Aug 11, 2022",ACCIDENT,15
"Aug 12, 2022",HAZARD,6
"Aug 12, 2022",ACCIDENT,33
"Aug 13, 2022",HAZARD,1
"Aug 13, 2022",ACCIDENT,15
"Aug 14, 2022",ACCIDENT,7
"Aug 15, 2022",HAZARD,7
"Aug 15, 2022",ACCIDENT,14
"Aug 16, 2022",HAZARD,3
"Aug 16, 2022",ACCIDENT,6
"Aug 17, 2022",ACCIDENT,3
"Aug 17, 2022",HAZARD,3
"Aug 18, 2022",ACCIDENT,5
"Aug 18, 2022",HAZARD,5
"Aug 19, 2022",ACCIDENT,13
"Aug 19, 2022",HAZARD,15
"Aug 20, 2022",HAZARD,2
"Aug 21, 2022",ACCIDENT,4
"Aug 22, 2022",ACCIDENT,36
"Aug 22, 2022",HAZARD,16
"Aug 23, 2022",ACCIDENT,21
"Aug 23, 2022",HAZARD,8
"Aug 24, 2022",ACCIDENT,5
"Aug 24, 2022",HAZARD,1
"Aug 25, 2022",ACCIDENT,9
"Aug 26, 2022",ACCIDENT,9
"Aug 26, 2022",HAZARD,1
"Aug 27, 2022",ACCIDENT,2
"Aug 28, 2022",ACCIDENT,2
"Aug 28, 2022",HAZARD,1
"Aug 29, 2022",ACCIDENT,6
"Aug 30, 2022",ACCIDENT,6
"Aug 30, 2022",HAZARD,6
"Aug 31, 2022",ACCIDENT,7
"Aug 31, 2022",HAZARD,14
