Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
"Jun 30, 2022",BR,Curitiba,R. Mateus Leme,null,1410.4615384615386,371.7692307692308,4758
"Jun 30, 2022",BR,Curitiba,R. Francisco Derosso,null,556,433.5,24
"Jun 30, 2022",BR,Piraquara,BR-116 Contorno Leste,null,4193.978873239436,769.2183098591549,11174
"Jun 30, 2022",BR,Curitiba,R. Hugo Kinzelmann,null,505,444.2857142857143,378
"Jun 30, 2022",BR,Curitiba,Al. Dr. Muricy,null,745,743,252
"Jun 30, 2022",BR,Curitiba,R. Augusto Stresser,null,913.2258064516129,294.2903225806452,1888
"Jun 30, 2022",BR,Curitiba,BR-116 N Rod. Régis Bittencourt,null,2485.9411764705883,534.6323529411765,10997
"Jun 30, 2022",BR,Curitiba,R. Visc. do Rio Branco,null,632,220,52
"Jun 30, 2022",BR,Almirante Tamandaré,PR-092 Rod. dos Minérios,null,1337.3333333333333,487.3333333333333,80
"Jun 30, 2022",BR,Curitiba,Av. Pref. Erasto Gaertner,null,1834.7083333333333,771.2083333333334,7970
"Jun 30, 2022",BR,Curitiba,R. Mateus Leme,ACCIDENT,1447.3076923076924,677.2307692307693,3836
"Jun 30, 2022",BR,Curitiba,R. Wiegando Olsen,null,547,3743,4
"Jun 30, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,null,4948.972602739726,746.2328767123288,11393
"Jun 30, 2022",BR,Curitiba,Av. Silva Jardim - Pista Esq.,ACCIDENT,570.8181818181819,377.27272727272725,5792
"Jun 30, 2022",BR,Curitiba,Av. Pref. Erasto Gaertner,HAZARD,1963,254.66666666666666,508
"Jun 30, 2022",BR,Curitiba,V. Exclusiva de Ônibus,null,2341.3333333333335,603,34
"Jun 30, 2022",BR,Curitiba,R. Fagundes Varela,null,556,1047,12
"Jun 30, 2022",BR,Curitiba,R. Mariano Torres - Pista Dir.,null,565.8181818181819,385.54545454545456,1446
"Jun 30, 2022",BR,Curitiba,Av. Juscelino Kubitschek de Oliveira,null,705,388.26666666666665,672
"Jun 30, 2022",BR,Pinhais,R. Rio Amazonas,null,685,405.5,102
"Jun 30, 2022",BR,null,PR-418 Contorno Norte,HAZARD,1695.076923076923,1248.5,597
"Jun 30, 2022",BR,Curitiba,R. Francisco Negrão,null,545,477,8
"Jun 30, 2022",BR,Curitiba,Av. República Argentina,null,681.2916666666666,845.1666666666666,407
"Jun 30, 2022",BR,Curitiba,Av. João Gualberto,null,510,1047.5,70
"Jun 30, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,ACCIDENT,4493.538461538462,984.1538461538462,1518
"Jun 30, 2022",BR,Piraquara,BR-116 Contorno Leste,HAZARD,5031.274193548387,893.5483870967741,4300
"Jun 30, 2022",BR,Curitiba,BR-116 Contorno Leste,null,5567.787096774194,410.9548387096774,43945
"Jun 30, 2022",BR,null,PR-418 Contorno Norte,null,1906.5841924398626,519.6941580756014,7313
