Day,Accident Type,# Accidents
"Jun 1, 2022",ACCIDENT_MAJOR,44
"Jun 1, 2022",ACCIDENT_MINOR,99
"Jun 2, 2022",ACCIDENT_MAJOR,34
"Jun 2, 2022",ACCIDENT_MINOR,112
"Jun 3, 2022",ACCIDENT_MINOR,80
"Jun 3, 2022",ACCIDENT_MAJOR,24
"Jun 4, 2022",ACCIDENT_MAJOR,18
"Jun 4, 2022",ACCIDENT_MINOR,31
"Jun 5, 2022",ACCIDENT_MAJOR,19
"Jun 5, 2022",ACCIDENT_MINOR,26
"Jun 6, 2022",ACCIDENT_MINOR,55
"Jun 6, 2022",ACCIDENT_MAJOR,20
"Jun 7, 2022",ACCIDENT_MAJOR,29
"Jun 7, 2022",ACCIDENT_MINOR,72
"Jun 8, 2022",ACCIDENT_MINOR,54
"Jun 8, 2022",ACCIDENT_MAJOR,35
"Jun 9, 2022",ACCIDENT_MAJOR,34
"Jun 9, 2022",ACCIDENT_MINOR,79
"Jun 10, 2022",ACCIDENT_MAJOR,30
"Jun 10, 2022",ACCIDENT_MINOR,57
"Jun 11, 2022",ACCIDENT_MAJOR,29
"Jun 11, 2022",ACCIDENT_MINOR,36
"Jun 12, 2022",ACCIDENT_MINOR,20
"Jun 12, 2022",ACCIDENT_MAJOR,21
"Jun 13, 2022",ACCIDENT_MAJOR,23
"Jun 13, 2022",ACCIDENT_MINOR,76
"Jun 14, 2022",ACCIDENT_MINOR,45
"Jun 14, 2022",ACCIDENT_MAJOR,18
"Jun 15, 2022",ACCIDENT_MINOR,82
"Jun 15, 2022",ACCIDENT_MAJOR,43
"Jun 16, 2022",ACCIDENT_MAJOR,23
"Jun 16, 2022",ACCIDENT_MINOR,19
"Jun 17, 2022",ACCIDENT_MINOR,35
"Jun 17, 2022",ACCIDENT_MAJOR,23
"Jun 18, 2022",ACCIDENT_MAJOR,22
"Jun 18, 2022",ACCIDENT_MINOR,41
"Jun 19, 2022",ACCIDENT_MINOR,20
"Jun 19, 2022",ACCIDENT_MAJOR,21
"Jun 20, 2022",ACCIDENT_MAJOR,24
"Jun 20, 2022",ACCIDENT_MINOR,49
"Jun 21, 2022",ACCIDENT_MAJOR,22
"Jun 21, 2022",ACCIDENT_MINOR,32
"Jun 22, 2022",ACCIDENT_MAJOR,27
"Jun 22, 2022",ACCIDENT_MINOR,50
"Jun 23, 2022",ACCIDENT_MAJOR,37
"Jun 23, 2022",ACCIDENT_MINOR,59
"Jun 24, 2022",ACCIDENT_MAJOR,25
"Jun 24, 2022",ACCIDENT_MINOR,72
"Jun 25, 2022",ACCIDENT_MINOR,42
"Jun 25, 2022",ACCIDENT_MAJOR,23
"Jun 26, 2022",ACCIDENT_MINOR,10
"Jun 26, 2022",ACCIDENT_MAJOR,14
"Jun 27, 2022",ACCIDENT_MAJOR,9
"Jun 27, 2022",ACCIDENT_MINOR,47
"Jun 28, 2022",ACCIDENT_MINOR,33
"Jun 28, 2022",ACCIDENT_MAJOR,22
"Jun 29, 2022",ACCIDENT_MAJOR,27
"Jun 29, 2022",ACCIDENT_MINOR,54
"Jun 30, 2022",ACCIDENT_MAJOR,27
"Jun 30, 2022",ACCIDENT_MINOR,56
