Day,Subtype,# Alerts
"Jun 1, 2022",ACCIDENT_MINOR,99
"Jun 1, 2022",ACCIDENT_MAJOR,44
"Jun 1, 2022",,296
"Jun 1, 2022",JAM_HEAVY_TRAFFIC,1116
"Jun 1, 2022",HAZARD_ON_ROAD_POT_HOLE,87
"Jun 1, 2022",JAM_STAND_STILL_TRAFFIC,962
"Jun 1, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,199
"Jun 1, 2022",JAM_MODERATE_TRAFFIC,330
"Jun 1, 2022",HAZARD_ON_ROAD_CAR_STOPPED,401
"Jun 1, 2022",HAZARD_ON_ROAD_CONSTRUCTION,90
"Jun 2, 2022",JAM_MODERATE_TRAFFIC,389
"Jun 2, 2022",HAZARD_ON_ROAD_CONSTRUCTION,66
"Jun 2, 2022",HAZARD_ON_ROAD_POT_HOLE,227
"Jun 2, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,208
"Jun 2, 2022",JAM_STAND_STILL_TRAFFIC,935
"Jun 2, 2022",HAZARD_ON_ROAD_CAR_STOPPED,365
"Jun 2, 2022",,284
"Jun 2, 2022",ACCIDENT_MAJOR,34
"Jun 2, 2022",JAM_HEAVY_TRAFFIC,1324
"Jun 2, 2022",ACCIDENT_MINOR,112
"Jun 3, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,202
"Jun 3, 2022",JAM_MODERATE_TRAFFIC,342
"Jun 3, 2022",HAZARD_ON_ROAD_CAR_STOPPED,336
"Jun 3, 2022",ACCIDENT_MINOR,80
"Jun 3, 2022",JAM_STAND_STILL_TRAFFIC,751
"Jun 3, 2022",HAZARD_ON_ROAD_POT_HOLE,194
"Jun 3, 2022",JAM_HEAVY_TRAFFIC,1193
"Jun 3, 2022",HAZARD_ON_ROAD_CONSTRUCTION,228
"Jun 3, 2022",ACCIDENT_MAJOR,24
"Jun 3, 2022",,239
"Jun 4, 2022",ACCIDENT_MINOR,31
"Jun 4, 2022",HAZARD_ON_ROAD_POT_HOLE,133
"Jun 4, 2022",ACCIDENT_MAJOR,18
"Jun 4, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,87
