Day,Average Delay (Seconds),# Irregularities
"Jun 30, 2022",565.9465682015639,61
"Jun 29, 2022",619.4710865561694,109
"Jun 28, 2022",572.8056840713814,73
"Jun 27, 2022",479.57030223390274,34
"Jun 26, 2022",731.6657534246575,19
"Jun 25, 2022",457.0974358974359,33
"Jun 24, 2022",788.6097982708934,52
"Jun 23, 2022",672.4424242424243,74
"Jun 22, 2022",579.8117001828153,39
"Jun 21, 2022",596.614834673816,47
"Jun 20, 2022",641.1350210970464,36
"Jun 19, 2022",548.1050847457627,18
"Jun 18, 2022",559.8720930232558,22
"Jun 17, 2022",449.5090361445783,21
"Jun 16, 2022",770.7372307692308,49
"Jun 15, 2022",674.2834986015764,125
"Jun 14, 2022",632.6795543905636,50
"Jun 13, 2022",721.5110070257612,97
"Jun 12, 2022",587.3969521044993,33
"Jun 11, 2022",918.5700389105058,40
"Jun 10, 2022",626.4797728885735,72
"Jun 9, 2022",676.3369759586727,232
"Jun 8, 2022",585.956696878147,65
"Jun 7, 2022",663.497425997426,114
"Jun 6, 2022",561.1332781456954,47
"Jun 5, 2022",639.1190926275992,23
"Jun 4, 2022",568.1739130434783,16
"Jun 3, 2022",715.5795137504982,113
"Jun 2, 2022",746.8439990340497,140
"Jun 1, 2022",911.5788590604027,139
