Day,Cause,# Irregularities
"Jun 1, 2022",HAZARD,9
"Jun 1, 2022",ACCIDENT,12
"Jun 2, 2022",ACCIDENT,17
"Jun 2, 2022",HAZARD,5
"Jun 3, 2022",ACCIDENT,7
"Jun 3, 2022",HAZARD,12
"Jun 4, 2022",ACCIDENT,1
"Jun 5, 2022",HAZARD,2
"Jun 6, 2022",HAZARD,2
"Jun 6, 2022",ACCIDENT,6
"Jun 7, 2022",ACCIDENT,5
"Jun 7, 2022",HAZARD,7
"Jun 8, 2022",ACCIDENT,5
"Jun 8, 2022",HAZARD,6
"Jun 9, 2022",ACCIDENT,17
"Jun 9, 2022",HAZARD,2
"Jun 10, 2022",HAZARD,2
"Jun 10, 2022",ACCIDENT,5
"Jun 11, 2022",HAZARD,2
"Jun 11, 2022",ACCIDENT,2
"Jun 13, 2022",HAZARD,4
"Jun 13, 2022",ACCIDENT,11
"Jun 14, 2022",ACCIDENT,3
"Jun 14, 2022",HAZARD,3
"Jun 15, 2022",HAZARD,2
"Jun 15, 2022",ACCIDENT,13
"Jun 16, 2022",ACCIDENT,4
"Jun 17, 2022",ACCIDENT,3
"Jun 17, 2022",HAZARD,1
"Jun 18, 2022",HAZARD,1
"Jun 18, 2022",ACCIDENT,1
"Jun 19, 2022",ACCIDENT,3
"Jun 20, 2022",ACCIDENT,4
"Jun 20, 2022",HAZARD,2
"Jun 21, 2022",ACCIDENT,7
"Jun 21, 2022",HAZARD,4
"Jun 22, 2022",ACCIDENT,7
"Jun 22, 2022",HAZARD,5
"Jun 23, 2022",ACCIDENT,8
"Jun 24, 2022",ACCIDENT,12
"Jun 24, 2022",HAZARD,3
"Jun 25, 2022",ACCIDENT,1
"Jun 25, 2022",HAZARD,1
"Jun 27, 2022",ACCIDENT,1
"Jun 27, 2022",HAZARD,2
"Jun 28, 2022",ACCIDENT,6
"Jun 28, 2022",HAZARD,10
"Jun 29, 2022",ACCIDENT,12
"Jun 29, 2022",HAZARD,10
"Jun 30, 2022",ACCIDENT,6
"Jun 30, 2022",HAZARD,8
