Day,Average Delay (Seconds),# Irregularities
"Jul 31, 2022",578.1168195718654,68
"Jul 30, 2022",539.0532786885246,41
"Jul 29, 2022",1005.5548759768943,120
"Jul 28, 2022",749.2821852731591,66
"Jul 27, 2022",634.8153775322284,54
"Jul 26, 2022",593.209493919184,78
"Jul 25, 2022",849.7821818181818,67
"Jul 24, 2022",710.6178194607269,62
"Jul 23, 2022",529.6984615384615,27
"Jul 22, 2022",698.7778335005015,64
"Jul 21, 2022",803.9863221884499,72
"Jul 20, 2022",598.1581854043393,72
"Jul 19, 2022",551.8004059539919,48
"Jul 18, 2022",719.1914580265096,52
"Jul 17, 2022",542.9407582938388,13
"Jul 16, 2022",708.68669250646,51
"Jul 15, 2022",795.6044538706257,41
"Jul 14, 2022",715.3014285714286,34
"Jul 13, 2022",655.7533129459734,69
"Jul 12, 2022",1190.522060332444,167
"Jul 11, 2022",847.9356435643564,29
"Jul 10, 2022",737.2640776699029,50
"Jul 9, 2022",894.0648648648648,27
"Jul 8, 2022",666.2470377019748,69
"Jul 7, 2022",748.2078797304302,76
"Jul 6, 2022",519.6765083440308,36
"Jul 5, 2022",554.4638346727899,44
"Jul 4, 2022",866.195829555757,115
"Jul 3, 2022",542.2359813084112,44
"Jul 2, 2022",606.6656976744187,21
"Jul 1, 2022",672.8443649373881,68
