Day,Cause,# Irregularities
"Jul 1, 2022",ACCIDENT,9
"Jul 1, 2022",HAZARD,10
"Jul 2, 2022",ACCIDENT,1
"Jul 2, 2022",HAZARD,2
"Jul 3, 2022",HAZARD,1
"Jul 3, 2022",ACCIDENT,2
"Jul 4, 2022",HAZARD,9
"Jul 4, 2022",ACCIDENT,10
"Jul 5, 2022",HAZARD,2
"Jul 5, 2022",ACCIDENT,4
"Jul 6, 2022",ACCIDENT,1
"Jul 6, 2022",HAZARD,4
"Jul 7, 2022",HAZARD,3
"Jul 7, 2022",ACCIDENT,6
"Jul 8, 2022",ACCIDENT,7
"Jul 9, 2022",ACCIDENT,2
"Jul 10, 2022",ACCIDENT,6
"Jul 11, 2022",ACCIDENT,6
"Jul 11, 2022",HAZARD,1
"Jul 12, 2022",ACCIDENT,23
"Jul 12, 2022",HAZARD,4
"Jul 13, 2022",HAZARD,5
"Jul 13, 2022",ACCIDENT,8
"Jul 14, 2022",ACCIDENT,3
"Jul 14, 2022",HAZARD,2
"Jul 15, 2022",ACCIDENT,3
"Jul 15, 2022",HAZARD,1
"Jul 16, 2022",ACCIDENT,2
"Jul 16, 2022",HAZARD,3
"Jul 17, 2022",HAZARD,1
"Jul 17, 2022",ACCIDENT,1
"Jul 18, 2022",ACCIDENT,7
"Jul 18, 2022",HAZARD,1
"Jul 19, 2022",ACCIDENT,5
"Jul 19, 2022",HAZARD,3
"Jul 20, 2022",HAZARD,3
"Jul 20, 2022",ACCIDENT,7
"Jul 21, 2022",HAZARD,10
"Jul 21, 2022",ACCIDENT,13
"Jul 22, 2022",HAZARD,5
"Jul 22, 2022",ACCIDENT,5
"Jul 23, 2022",ACCIDENT,2
"Jul 24, 2022",HAZARD,1
"Jul 24, 2022",ACCIDENT,5
"Jul 25, 2022",HAZARD,3
"Jul 25, 2022",ACCIDENT,8
"Jul 26, 2022",ACCIDENT,7
"Jul 26, 2022",HAZARD,1
"Jul 27, 2022",HAZARD,4
"Jul 27, 2022",ACCIDENT,10
"Jul 28, 2022",ACCIDENT,13
"Jul 28, 2022",HAZARD,6
"Jul 29, 2022",HAZARD,1
"Jul 29, 2022",ACCIDENT,6
"Jul 30, 2022",ACCIDENT,1
"Jul 31, 2022",HAZARD,3
"Jul 31, 2022",ACCIDENT,5
