Day,Accident Type,# Accidents
"Jul 1, 2022",ACCIDENT_MAJOR,30
"Jul 1, 2022",ACCIDENT_MINOR,45
"Jul 2, 2022",ACCIDENT_MINOR,35
"Jul 2, 2022",ACCIDENT_MAJOR,28
"Jul 3, 2022",ACCIDENT_MINOR,26
"Jul 3, 2022",ACCIDENT_MAJOR,25
"Jul 4, 2022",ACCIDENT_MINOR,50
"Jul 4, 2022",ACCIDENT_MAJOR,32
"Jul 5, 2022",ACCIDENT_MAJOR,22
"Jul 5, 2022",ACCIDENT_MINOR,39
"Jul 6, 2022",ACCIDENT_MAJOR,22
"Jul 6, 2022",ACCIDENT_MINOR,43
"Jul 7, 2022",ACCIDENT_MINOR,57
"Jul 7, 2022",ACCIDENT_MAJOR,23
"Jul 8, 2022",ACCIDENT_MINOR,64
"Jul 8, 2022",ACCIDENT_MAJOR,27
"Jul 9, 2022",ACCIDENT_MAJOR,23
"Jul 9, 2022",ACCIDENT_MINOR,38
"Jul 10, 2022",ACCIDENT_MINOR,37
"Jul 10, 2022",ACCIDENT_MAJOR,29
"Jul 11, 2022",ACCIDENT_MAJOR,24
"Jul 11, 2022",ACCIDENT_MINOR,42
"Jul 12, 2022",ACCIDENT_MAJOR,45
"Jul 12, 2022",ACCIDENT_MINOR,55
"Jul 13, 2022",ACCIDENT_MAJOR,31
"Jul 13, 2022",ACCIDENT_MINOR,34
"Jul 14, 2022",ACCIDENT_MINOR,49
"Jul 14, 2022",ACCIDENT_MAJOR,16
"Jul 15, 2022",ACCIDENT_MINOR,58
"Jul 15, 2022",ACCIDENT_MAJOR,24
"Jul 16, 2022",ACCIDENT_MINOR,37
"Jul 16, 2022",ACCIDENT_MAJOR,30
"Jul 17, 2022",ACCIDENT_MINOR,28
"Jul 17, 2022",ACCIDENT_MAJOR,21
"Jul 18, 2022",ACCIDENT_MAJOR,22
"Jul 18, 2022",ACCIDENT_MINOR,63
"Jul 19, 2022",ACCIDENT_MINOR,40
"Jul 19, 2022",ACCIDENT_MAJOR,26
"Jul 20, 2022",ACCIDENT_MAJOR,16
"Jul 20, 2022",ACCIDENT_MINOR,46
"Jul 21, 2022",ACCIDENT_MINOR,57
"Jul 21, 2022",ACCIDENT_MAJOR,34
"Jul 22, 2022",ACCIDENT_MAJOR,22
"Jul 22, 2022",ACCIDENT_MINOR,68
"Jul 23, 2022",ACCIDENT_MAJOR,15
"Jul 23, 2022",ACCIDENT_MINOR,37
"Jul 24, 2022",ACCIDENT_MINOR,33
"Jul 24, 2022",ACCIDENT_MAJOR,19
"Jul 25, 2022",ACCIDENT_MAJOR,25
"Jul 25, 2022",ACCIDENT_MINOR,44
"Jul 26, 2022",ACCIDENT_MAJOR,25
"Jul 26, 2022",ACCIDENT_MINOR,45
"Jul 27, 2022",ACCIDENT_MAJOR,23
"Jul 27, 2022",ACCIDENT_MINOR,52
"Jul 28, 2022",ACCIDENT_MINOR,46
"Jul 28, 2022",ACCIDENT_MAJOR,30
"Jul 29, 2022",ACCIDENT_MINOR,67
"Jul 29, 2022",ACCIDENT_MAJOR,25
"Jul 30, 2022",ACCIDENT_MAJOR,26
"Jul 30, 2022",ACCIDENT_MINOR,47
"Jul 31, 2022",ACCIDENT_MAJOR,19
"Jul 31, 2022",ACCIDENT_MINOR,34
