Day,Cause,# Irregularities
"Dec 1, 2022",HAZARD,18
"Dec 1, 2022",ACCIDENT,10
"Dec 2, 2022",HAZARD,6
"Dec 2, 2022",ACCIDENT,14
"Dec 3, 2022",ACCIDENT,6
"Dec 3, 2022",HAZARD,4
"Dec 5, 2022",ACCIDENT,3
"Dec 5, 2022",HAZARD,4
"Dec 6, 2022",ACCIDENT,13
"Dec 6, 2022",HAZARD,22
"Dec 7, 2022",HAZARD,12
"Dec 7, 2022",ACCIDENT,16
"Dec 8, 2022",ACCIDENT,9
"Dec 8, 2022",HAZARD,7
"Dec 9, 2022",HAZARD,12
"Dec 9, 2022",ACCIDENT,7
"Dec 10, 2022",HAZARD,2
"Dec 10, 2022",ACCIDENT,2
"Dec 11, 2022",ACCIDENT,2
"Dec 12, 2022",HAZARD,4
"Dec 12, 2022",ACCIDENT,10
"Dec 13, 2022",HAZARD,7
"Dec 13, 2022",ACCIDENT,8
"Dec 14, 2022",ACCIDENT,7
"Dec 14, 2022",HAZARD,7
"Dec 15, 2022",ACCIDENT,13
"Dec 15, 2022",HAZARD,10
"Dec 16, 2022",ACCIDENT,10
"Dec 16, 2022",HAZARD,9
"Dec 17, 2022",ACCIDENT,1
"Dec 17, 2022",HAZARD,2
"Dec 18, 2022",ACCIDENT,1
"Dec 19, 2022",ACCIDENT,3
"Dec 19, 2022",HAZARD,2
"Dec 20, 2022",ACCIDENT,6
"Dec 20, 2022",HAZARD,5
"Dec 21, 2022",HAZARD,7
"Dec 21, 2022",ACCIDENT,7
"Dec 22, 2022",HAZARD,7
"Dec 22, 2022",ACCIDENT,3
"Dec 23, 2022",ACCIDENT,1
"Dec 23, 2022",HAZARD,2
"Dec 25, 2022",ACCIDENT,2
"Dec 26, 2022",ACCIDENT,1
"Dec 27, 2022",HAZARD,1
"Dec 27, 2022",ACCIDENT,5
"Dec 28, 2022",ACCIDENT,1
"Dec 29, 2022",HAZARD,1
"Dec 29, 2022",ACCIDENT,1
"Dec 30, 2022",ACCIDENT,7
