Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
"Dec 31, 2022",BR,Curitiba,R. Dr. Aluízio França,null,656,1058,16
"Dec 31, 2022",BR,Curitiba,Av. Mal. Floriano Peixoto,null,1107.7,426.2,94
"Dec 31, 2022",BR,Curitiba,R. Leonardo Novicki,null,701.7692307692307,470.0769230769231,83
"Dec 31, 2022",BR,São José dos Pinhais,null,null,652,1157,60
"Dec 31, 2022",BR,Curitiba,R. Prefeito Ângelo Lopes,null,706,611,22
"Dec 31, 2022",BR,Curitiba,R. Atílio Brunetti,null,564,539,4
"Dec 31, 2022",BR,Colombo,Av. São Gabriel,null,532,858.4,78
"Dec 31, 2022",BR,Curitiba,Av. Nossa Senhora da Luz,null,511,572,22
"Dec 31, 2022",BR,Curitiba,R. Marte,null,648,525,24
"Dec 31, 2022",BR,Curitiba,R. Gen. Carneiro,null,561,715.3333333333334,202
"Dec 31, 2022",BR,Curitiba,Al. D. Pedro II,null,544,485,18
"Dec 31, 2022",BR,Curitiba,Av. Paraná,null,760,525,8
"Dec 31, 2022",BR,São José dos Pinhais,R. Mendes Leitão,null,514,644,10
"Dec 31, 2022",BR,Curitiba,R. Eng. Costa Barros,null,734,558.6666666666666,30
"Dec 31, 2022",BR,Curitiba,Av. República Argentina,null,595,633.25,52
"Dec 31, 2022",BR,Curitiba,Al. Ecológica Burle Marx,null,697,885,20
"Dec 31, 2022",BR,São José dos Pinhais,R. João Ângelo Cordeiro,null,583,436,12
"Dec 31, 2022",BR,Curitiba,R. Alferes Poli,null,545,808.2857142857143,148
"Dec 31, 2022",BR,Curitiba,R. Fernando Amaro,null,670,513.5,32
"Dec 31, 2022",BR,Curitiba,R. Lamenha Lins,null,540,469,40
"Dec 31, 2022",BR,Curitiba,R. João Todeschini,null,853,1015,4
"Dec 31, 2022",BR,Pinhais,Av. Fabio Vicente de Moura,null,845,1481.5,24
"Dec 30, 2022",BR,São José dos Pinhais,R. Professora Marieta de Souza e Silva,null,663,561,6
"Dec 30, 2022",BR,Curitiba,BR-116 N Contorno Leste,null,1869.2222222222222,441.22222222222223,3200
"Dec 30, 2022",BR,Curitiba,PR-418 Contorno Norte,ACCIDENT,1285.958762886598,1028.298969072165,5700
"Dec 30, 2022",BR,Curitiba,Marg. BR-116,null,815.5454545454545,436.97727272727275,1708
"Dec 30, 2022",BR,Pinhais,R. Adalberto de Andrade,null,537,636.5,16
"Dec 30, 2022",BR,Curitiba,Av. Paraná,null,583,492,4
"Dec 30, 2022",BR,null,PR-418 Contorno Norte,null,742.07,1067.28,1578
"Dec 30, 2022",BR,Curitiba,Av. República Argentina,null,657.6666666666666,659.3333333333334,62
"Dec 30, 2022",BR,São José dos Pinhais,null,null,510,443,8
"Dec 30, 2022",BR,Curitiba,Av. Mal. Floriano Peixoto,null,920.3333333333334,742,42
"Dec 30, 2022",BR,Curitiba,R. Conde de São João das Duas Barras,null,1109,560.3333333333334,30
"Dec 30, 2022",BR,Curitiba,R. Cândido Xavier,null,570,1038,12
"Dec 30, 2022",BR,Curitiba,R. Tamoios,null,637,341.75,70
"Dec 30, 2022",BR,Curitiba,R. Maj. Vicente de Castro,null,560,809,20
"Dec 30, 2022",BR,Curitiba,Marg. Av. Linha Verde,null,789,676.6666666666666,20
"Dec 30, 2022",BR,Curitiba,R. Baldur Magnus Grubba,null,526,464.25,16
"Dec 30, 2022",BR,Curitiba,R. 24 de Maio,null,1159,1325,24
"Dec 30, 2022",BR,Curitiba,PR-418 Contorno Norte,null,1782.8022598870057,1403.6949152542372,10775
"Dec 30, 2022",BR,São José dos Pinhais,R. Professora Lourdes Grutter Bonin,null,767,572,6
"Dec 30, 2022",BR,Curitiba,R. João Negrão,null,681.5,1028,64
"Dec 30, 2022",BR,Curitiba,Av. Sete de Setembro,null,509,757,24
"Dec 30, 2022",BR,Curitiba,Al. D. Pedro II,null,544,1149,30
"Dec 30, 2022",BR,Curitiba,R. Buenos Aires,null,504,93,16
"Dec 30, 2022",BR,Curitiba,R. Dep. Heitor Alencar Furtado,null,557,653.5,52
"Dec 30, 2022",BR,null,PR-418 Contorno Norte,ACCIDENT,591.6666666666666,229.72222222222223,222
"Dec 29, 2022",BR,Curitiba,R. Felisbino Passos,null,551,626.5,16
"Dec 29, 2022",BR,Curitiba,R. Hayton da Silva Pereira,null,557,802.75,56
"Dec 29, 2022",BR,São José dos Pinhais,Al. Bom Pastor,null,613,1298,24
"Dec 29, 2022",BR,Curitiba,R. Salvador Ferrante,null,639,681,16
"Dec 29, 2022",BR,Curitiba,R. Prof. Lycio Grein de Castro Vellozo,null,653,589,16
"Dec 29, 2022",BR,São José dos Pinhais,R. Joinville,null,625,790.5,32
"Dec 29, 2022",BR,São José dos Pinhais,R. Cap. Tobias Pereira da Cruz,null,651.3333333333334,877.6666666666666,100
"Dec 29, 2022",BR,Curitiba,R. Mal. Mallet,null,504,440,10
"Dec 29, 2022",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,ACCIDENT,951,356,80
"Dec 29, 2022",BR,São José dos Pinhais,R. Dr. Motta Jr.,null,515,805.25,41
"Dec 29, 2022",BR,Curitiba,R. Amintas de Barros,null,535,619.5,126
"Dec 29, 2022",BR,Curitiba,Av. Senador Salgado Filho,null,692,441,58
"Dec 29, 2022",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,null,1426,819.7142857142857,1469
"Dec 29, 2022",BR,Curitiba,Av. Mal. Floriano Peixoto,null,795.5,936.5,38
"Dec 29, 2022",BR,Curitiba,R. Leão Sallum,null,694,587.1428571428571,40
"Dec 29, 2022",BR,Curitiba,Av. República Argentina,null,696.15625,651.3125,1070
"Dec 29, 2022",BR,Curitiba,R. São Mateus,null,621,1030,14
"Dec 29, 2022",BR,Curitiba,Marg. Av. Linha Verde,null,684,692.5714285714286,122
"Dec 29, 2022",BR,Curitiba,Al. D. Pedro II,null,667,537,48
"Dec 29, 2022",BR,Campina Grande do Sul,PR-506 Rod. do Caqui,null,732,1804.6,64
"Dec 29, 2022",BR,Curitiba,Av. Sete de Setembro,null,827,627,152
"Dec 29, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,null,3860,275.2,1080
"Dec 29, 2022",BR,Curitiba,R. Antônio Gasparin,null,769.18,449.38,4636
"Dec 29, 2022",BR,Curitiba,R. Antônio Gasparin,HAZARD,779.6923076923077,321.5769230769231,2926
"Dec 28, 2022",BR,Curitiba,R. Visc. de Nácar,null,641,609,16
"Dec 28, 2022",BR,Curitiba,R. José Brusamolin,null,719,434.75,32
"Dec 28, 2022",BR,São José dos Pinhais,R. David Campista,null,512,829,40
"Dec 28, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,null,3374.75,734,686
"Dec 28, 2022",BR,Curitiba,R. Francisco Torres,null,711.5,590,88
"Dec 28, 2022",BR,Curitiba,R. Cap. Argemiro Monteiro Wanderley,null,505,445.5,8
"Dec 28, 2022",BR,Curitiba,R. Marte,null,728,890,12
"Dec 28, 2022",BR,Curitiba,R. Eng. Eduardo Afonso Nadolny,null,621,1057,10
"Dec 28, 2022",BR,Curitiba,Av. Paraná,null,714.5,1067.5,78
"Dec 28, 2022",BR,Curitiba,R. José Bajerski,null,1033,413,8
"Dec 28, 2022",BR,Curitiba,Av. Sete de Setembro,null,763,436,28
"Dec 28, 2022",BR,Curitiba,R. Mal. Hermes,null,543,1026,8
"Dec 28, 2022",BR,Curitiba,R. Ten. Tito Teixeira de Castro,null,638,735.8,62
"Dec 28, 2022",BR,São José dos Pinhais,R. Quinze de Novembro,null,618,404,12
"Dec 28, 2022",BR,Curitiba,Av. Manoel Ribas,null,550,733,4
"Dec 28, 2022",BR,Curitiba,Av. República Argentina,null,750.3076923076923,484.4230769230769,920
"Dec 28, 2022",BR,São José dos Pinhais,BR-116 Contorno Leste,ACCIDENT,2980,639,362
"Dec 28, 2022",BR,Colombo,Av. Marg. José de Anchieta,null,689,726,14
"Dec 28, 2022",BR,São José dos Pinhais,Av. das Torres,null,759,745,92
"Dec 28, 2022",BR,Curitiba,Av. Mal. Floriano Peixoto,null,625.5,802.6666666666666,64
"Dec 28, 2022",BR,Curitiba,R. Maj. Vicente de Castro,null,523,978,24
"Dec 28, 2022",BR,São José dos Pinhais,null,null,652,818,46
"Dec 28, 2022",BR,Curitiba,R. Waldemar Kost,null,519,758,26
"Dec 28, 2022",BR,Curitiba,Av. João Gualberto,null,568,912,14
"Dec 28, 2022",BR,Curitiba,R. Roraima,null,783,611,18
"Dec 28, 2022",BR,Curitiba,R. Brasílio Cuman,null,1104,844,6
"Dec 27, 2022",BR,Curitiba,R. Rockefeller,null,664,464,20
"Dec 27, 2022",BR,Curitiba,Av. República Argentina,null,587.7857142857143,1225.357142857143,336
"Dec 27, 2022",BR,null,BR-277 N Rod. do Café Gov. Ney Braga,null,4842.5,620.2,5816
"Dec 27, 2022",BR,São José dos Pinhais,R. Júlio César Setenareski,null,1160,84,10
"Dec 27, 2022",BR,Pinhais,Av. Camilo di Lellis,null,628,1413.5,34
"Dec 27, 2022",BR,Pinhais,R. 15 de Outubro,null,780,534.6666666666666,32
"Dec 27, 2022",BR,Curitiba,R. Barão do Rio Branco,null,582,841,34
"Dec 27, 2022",BR,Campina Grande do Sul,PR-506 Rod. do Caqui,null,733.5833333333334,887.6666666666666,86
"Dec 27, 2022",BR,Curitiba,R. das Carmelitas,null,668,933.5,56
"Dec 27, 2022",BR,Curitiba,R. Frei Teófilo,null,676,502,8
"Dec 27, 2022",BR,Curitiba,R. Mal. José Bernardino Bormann,null,533,953,10
"Dec 27, 2022",BR,Curitiba,R. Martim Afonso,null,637,395.69,6508
"Dec 27, 2022",BR,Curitiba,R. Acre,null,743,513.8,64
"Dec 27, 2022",BR,Curitiba,Av. Linha Verde,null,1685.7142857142858,140.71428571428572,1200
"Dec 27, 2022",BR,Curitiba,R. Martim Afonso,HAZARD,588.9473684210526,336.3157894736842,2536
