Day,Average Delay (Seconds),# Irregularities
"Dec 31, 2022",753.4732824427481,25
"Dec 30, 2022",1092.439024390244,33
"Dec 29, 2022",611.7348703170029,26
"Dec 28, 2022",624.6962025316456,28
"Dec 27, 2022",638.2702237521514,39
"Dec 26, 2022",503.83547557840615,31
"Dec 25, 2022",562.8502994011976,14
"Dec 24, 2022",786.8,29
"Dec 23, 2022",922.7232704402516,28
"Dec 22, 2022",629.5149389451806,106
"Dec 21, 2022",577.6634832872581,144
"Dec 20, 2022",579.055269574641,97
"Dec 19, 2022",531.5800711743773,75
"Dec 18, 2022",655.0841300191205,23
"Dec 17, 2022",560.4885877318117,63
"Dec 16, 2022",622.8056482099178,143
"Dec 15, 2022",623.1167383652718,166
"Dec 14, 2022",640.6627697841726,144
"Dec 13, 2022",569.7307193778354,85
"Dec 12, 2022",527.1014358499306,97
"Dec 11, 2022",869.0603096984515,76
"Dec 10, 2022",563.7546119039332,75
"Dec 9, 2022",638.3720136518772,121
"Dec 8, 2022",582.4488146551724,162
"Dec 7, 2022",606.3683755760369,132
"Dec 6, 2022",616.1887349534409,146
"Dec 5, 2022",505.1031512605042,173
"Dec 4, 2022",533.0111821086261,36
"Dec 3, 2022",687.4806017418844,51
"Dec 2, 2022",582.5380599528461,270
"Dec 1, 2022",639.9755102040816,145
