Day,Accident Type,# Accidents
"Dec 1, 2022",ACCIDENT_MAJOR,30
"Dec 1, 2022",ACCIDENT_MINOR,103
"Dec 2, 2022",ACCIDENT_MINOR,144
"Dec 2, 2022",ACCIDENT_MAJOR,49
"Dec 3, 2022",ACCIDENT_MINOR,84
"Dec 3, 2022",ACCIDENT_MAJOR,52
"Dec 4, 2022",ACCIDENT_MINOR,41
"Dec 4, 2022",ACCIDENT_MAJOR,12
"Dec 5, 2022",ACCIDENT_MAJOR,22
"Dec 5, 2022",ACCIDENT_MINOR,89
"Dec 6, 2022",ACCIDENT_MINOR,84
"Dec 6, 2022",ACCIDENT_MAJOR,20
"Dec 7, 2022",ACCIDENT_MINOR,108
"Dec 7, 2022",ACCIDENT_MAJOR,43
"Dec 8, 2022",ACCIDENT_MAJOR,30
"Dec 8, 2022",ACCIDENT_MINOR,127
"Dec 9, 2022",ACCIDENT_MINOR,109
"Dec 9, 2022",ACCIDENT_MAJOR,44
"Dec 10, 2022",ACCIDENT_MAJOR,35
"Dec 10, 2022",ACCIDENT_MINOR,96
"Dec 11, 2022",ACCIDENT_MAJOR,28
"Dec 11, 2022",ACCIDENT_MINOR,63
"Dec 12, 2022",ACCIDENT_MAJOR,35
"Dec 12, 2022",ACCIDENT_MINOR,92
"Dec 13, 2022",ACCIDENT_MINOR,72
"Dec 13, 2022",ACCIDENT_MAJOR,22
"Dec 14, 2022",ACCIDENT_MAJOR,29
"Dec 14, 2022",ACCIDENT_MINOR,70
"Dec 15, 2022",ACCIDENT_MAJOR,26
"Dec 15, 2022",ACCIDENT_MINOR,80
"Dec 16, 2022",ACCIDENT_MAJOR,34
"Dec 16, 2022",ACCIDENT_MINOR,123
"Dec 17, 2022",ACCIDENT_MAJOR,37
"Dec 17, 2022",ACCIDENT_MINOR,65
"Dec 18, 2022",ACCIDENT_MAJOR,17
"Dec 18, 2022",ACCIDENT_MINOR,40
"Dec 19, 2022",ACCIDENT_MINOR,90
"Dec 19, 2022",ACCIDENT_MAJOR,30
"Dec 20, 2022",ACCIDENT_MINOR,126
"Dec 20, 2022",ACCIDENT_MAJOR,30
"Dec 21, 2022",ACCIDENT_MAJOR,31
"Dec 21, 2022",ACCIDENT_MINOR,88
"Dec 22, 2022",ACCIDENT_MAJOR,33
"Dec 22, 2022",ACCIDENT_MINOR,83
"Dec 23, 2022",ACCIDENT_MAJOR,26
"Dec 23, 2022",ACCIDENT_MINOR,83
"Dec 24, 2022",ACCIDENT_MAJOR,25
"Dec 24, 2022",ACCIDENT_MINOR,45
"Dec 25, 2022",ACCIDENT_MAJOR,8
"Dec 25, 2022",ACCIDENT_MINOR,34
"Dec 26, 2022",ACCIDENT_MINOR,28
"Dec 26, 2022",ACCIDENT_MAJOR,17
"Dec 27, 2022",ACCIDENT_MAJOR,24
"Dec 27, 2022",ACCIDENT_MINOR,52
"Dec 28, 2022",ACCIDENT_MINOR,36
"Dec 28, 2022",ACCIDENT_MAJOR,25
"Dec 29, 2022",ACCIDENT_MINOR,39
"Dec 29, 2022",ACCIDENT_MAJOR,16
"Dec 30, 2022",ACCIDENT_MINOR,35
"Dec 30, 2022",ACCIDENT_MAJOR,27
"Dec 31, 2022",ACCIDENT_MINOR,15
"Dec 31, 2022",ACCIDENT_MAJOR,13
