Day,Accident Type,# Accidents
"Feb 1, 2022",ACCIDENT_MAJOR,15
"Feb 1, 2022",ACCIDENT_MINOR,35
"Feb 2, 2022",ACCIDENT_MINOR,23
"Feb 2, 2022",ACCIDENT_MAJOR,11
"Feb 3, 2022",ACCIDENT_MAJOR,31
"Feb 3, 2022",ACCIDENT_MINOR,33
"Feb 4, 2022",ACCIDENT_MAJOR,37
"Feb 4, 2022",ACCIDENT_MINOR,56
"Feb 5, 2022",ACCIDENT_MINOR,35
"Feb 5, 2022",ACCIDENT_MAJOR,17
"Feb 6, 2022",ACCIDENT_MAJOR,21
"Feb 6, 2022",ACCIDENT_MINOR,10
"Feb 7, 2022",ACCIDENT_MINOR,38
"Feb 7, 2022",ACCIDENT_MAJOR,16
"Feb 8, 2022",ACCIDENT_MINOR,40
"Feb 8, 2022",ACCIDENT_MAJOR,20
"Feb 9, 2022",ACCIDENT_MINOR,26
"Feb 9, 2022",ACCIDENT_MAJOR,12
"Feb 10, 2022",ACCIDENT_MAJOR,23
"Feb 10, 2022",ACCIDENT_MINOR,36
"Feb 11, 2022",ACCIDENT_MAJOR,33
"Feb 11, 2022",ACCIDENT_MINOR,50
"Feb 12, 2022",ACCIDENT_MAJOR,25
"Feb 12, 2022",ACCIDENT_MINOR,38
"Feb 13, 2022",ACCIDENT_MINOR,24
"Feb 13, 2022",ACCIDENT_MAJOR,14
"Feb 14, 2022",ACCIDENT_MINOR,46
"Feb 14, 2022",ACCIDENT_MAJOR,25
"Feb 15, 2022",ACCIDENT_MAJOR,27
"Feb 15, 2022",ACCIDENT_MINOR,54
"Feb 16, 2022",ACCIDENT_MAJOR,17
"Feb 16, 2022",ACCIDENT_MINOR,42
"Feb 17, 2022",ACCIDENT_MAJOR,22
"Feb 17, 2022",ACCIDENT_MINOR,40
"Feb 18, 2022",ACCIDENT_MINOR,63
"Feb 18, 2022",ACCIDENT_MAJOR,41
"Feb 19, 2022",ACCIDENT_MAJOR,16
"Feb 19, 2022",ACCIDENT_MINOR,30
"Feb 20, 2022",ACCIDENT_MINOR,11
"Feb 20, 2022",ACCIDENT_MAJOR,12
"Feb 21, 2022",ACCIDENT_MAJOR,20
"Feb 21, 2022",ACCIDENT_MINOR,44
"Feb 22, 2022",ACCIDENT_MAJOR,27
"Feb 22, 2022",ACCIDENT_MINOR,57
"Feb 23, 2022",ACCIDENT_MAJOR,25
"Feb 23, 2022",ACCIDENT_MINOR,37
"Feb 24, 2022",ACCIDENT_MINOR,50
"Feb 24, 2022",ACCIDENT_MAJOR,20
"Feb 25, 2022",ACCIDENT_MINOR,59
"Feb 25, 2022",ACCIDENT_MAJOR,26
"Feb 26, 2022",ACCIDENT_MINOR,27
"Feb 26, 2022",ACCIDENT_MAJOR,12
"Feb 27, 2022",ACCIDENT_MINOR,10
"Feb 27, 2022",ACCIDENT_MAJOR,9
"Feb 28, 2022",ACCIDENT_MINOR,11
"Feb 28, 2022",ACCIDENT_MAJOR,11
