Day,Cause,# Irregularities
"Feb 1, 2022",ACCIDENT,2
"Feb 1, 2022",HAZARD,1
"Feb 2, 2022",ACCIDENT,4
"Feb 2, 2022",HAZARD,4
"Feb 3, 2022",ACCIDENT,5
"Feb 3, 2022",HAZARD,11
"Feb 4, 2022",HAZARD,6
"Feb 4, 2022",ACCIDENT,7
"Feb 5, 2022",HAZARD,1
"Feb 5, 2022",ACCIDENT,3
"Feb 7, 2022",ACCIDENT,3
"Feb 7, 2022",HAZARD,3
"Feb 8, 2022",HAZARD,4
"Feb 8, 2022",ACCIDENT,2
"Feb 9, 2022",ACCIDENT,6
"Feb 9, 2022",HAZARD,1
"Feb 10, 2022",ACCIDENT,2
"Feb 10, 2022",HAZARD,6
"Feb 11, 2022",HAZARD,3
"Feb 11, 2022",ACCIDENT,3
"Feb 12, 2022",ACCIDENT,8
"Feb 13, 2022",ACCIDENT,2
"Feb 14, 2022",ACCIDENT,1
"Feb 14, 2022",HAZARD,1
"Feb 15, 2022",ACCIDENT,3
"Feb 15, 2022",HAZARD,3
"Feb 16, 2022",HAZARD,7
"Feb 16, 2022",ACCIDENT,1
"Feb 17, 2022",HAZARD,1
"Feb 18, 2022",HAZARD,2
"Feb 18, 2022",ACCIDENT,8
"Feb 19, 2022",HAZARD,1
"Feb 19, 2022",ACCIDENT,3
"Feb 21, 2022",HAZARD,1
"Feb 21, 2022",ACCIDENT,3
"Feb 22, 2022",ACCIDENT,11
"Feb 22, 2022",HAZARD,5
"Feb 23, 2022",ACCIDENT,8
"Feb 23, 2022",HAZARD,2
"Feb 24, 2022",HAZARD,1
"Feb 24, 2022",ACCIDENT,5
"Feb 25, 2022",ACCIDENT,13
"Feb 25, 2022",HAZARD,5
"Feb 26, 2022",ACCIDENT,4
"Feb 27, 2022",ACCIDENT,1
"Feb 28, 2022",ACCIDENT,1
