Day,Average Delay (Seconds),# Irregularities
"Feb 28, 2022",746.5748792270531,22
"Feb 27, 2022",741.5552050473186,13
"Feb 26, 2022",1071.2899590163934,59
"Feb 25, 2022",687.6224133922344,122
"Feb 24, 2022",982.0688210652304,79
"Feb 23, 2022",601.3861161524501,73
"Feb 22, 2022",636.3699169217315,74
"Feb 21, 2022",587.1726235741445,60
"Feb 20, 2022",491.1136363636364,9
"Feb 19, 2022",435.4583333333333,23
"Feb 18, 2022",867.1500168180289,98
"Feb 17, 2022",809.8270787343635,77
"Feb 16, 2022",560.4566757493188,81
"Feb 15, 2022",799.5066666666667,55
"Feb 14, 2022",621.9048106448311,59
"Feb 13, 2022",539.1802575107296,34
"Feb 12, 2022",1064.913559322034,55
"Feb 11, 2022",597.0554926387316,83
"Feb 10, 2022",602.5925277291302,66
"Feb 9, 2022",797.5973451327434,63
"Feb 8, 2022",699.9606263982103,86
"Feb 7, 2022",676.5443425076453,83
"Feb 6, 2022",561.8235294117648,11
"Feb 5, 2022",533.778735632184,23
"Feb 4, 2022",943.439361375499,91
"Feb 3, 2022",807.9031491384433,62
"Feb 2, 2022",750.9026077700905,58
"Feb 1, 2022",595.9016736401674,53
