Day,Road Type,# Accidents
"Feb 1, 2022",6,8
"Feb 1, 2022",2,37
"Feb 1, 2022",1,1
"Feb 1, 2022",7,3
"Feb 1, 2022",20,1
"Feb 2, 2022",2,20
"Feb 2, 2022",6,11
"Feb 2, 2022",1,3
"Feb 3, 2022",2,37
"Feb 3, 2022",1,14
"Feb 3, 2022",6,11
"Feb 3, 2022",20,1
"Feb 3, 2022",7,1
"Feb 4, 2022",6,29
"Feb 4, 2022",1,9
"Feb 4, 2022",7,7
"Feb 4, 2022",2,48
"Feb 5, 2022",7,4
"Feb 5, 2022",20,1
"Feb 5, 2022",4,2
"Feb 5, 2022",1,5
"Feb 5, 2022",2,24
"Feb 5, 2022",6,16
"Feb 6, 2022",7,2
"Feb 6, 2022",4,1
"Feb 6, 2022",1,3
"Feb 6, 2022",17,1
"Feb 6, 2022",2,12
"Feb 6, 2022",6,12
"Feb 7, 2022",2,29
"Feb 7, 2022",7,2
"Feb 7, 2022",4,2
"Feb 7, 2022",6,16
"Feb 7, 2022",1,5
"Feb 8, 2022",17,1
"Feb 8, 2022",6,14
"Feb 8, 2022",7,4
"Feb 8, 2022",1,5
"Feb 8, 2022",2,36
"Feb 9, 2022",7,1
"Feb 9, 2022",1,3
"Feb 9, 2022",2,21
"Feb 9, 2022",6,13
"Feb 10, 2022",1,5
"Feb 10, 2022",7,6
"Feb 10, 2022",6,11
"Feb 10, 2022",2,37
"Feb 11, 2022",7,4
"Feb 11, 2022",4,2
"Feb 11, 2022",6,18
"Feb 11, 2022",2,52
"Feb 11, 2022",1,7
"Feb 12, 2022",7,8
"Feb 12, 2022",2,33
"Feb 12, 2022",6,16
"Feb 12, 2022",1,6
"Feb 13, 2022",2,17
"Feb 13, 2022",6,16
"Feb 13, 2022",1,2
"Feb 13, 2022",7,3
"Feb 14, 2022",1,5
"Feb 14, 2022",7,2
"Feb 14, 2022",6,15
"Feb 14, 2022",2,48
"Feb 14, 2022",4,1
"Feb 15, 2022",6,18
"Feb 15, 2022",7,4
"Feb 15, 2022",20,1
"Feb 15, 2022",1,9
"Feb 15, 2022",2,49
"Feb 16, 2022",6,13
"Feb 16, 2022",2,39
"Feb 16, 2022",4,1
"Feb 16, 2022",7,2
"Feb 16, 2022",1,4
"Feb 17, 2022",1,4
"Feb 17, 2022",2,34
"Feb 17, 2022",7,4
"Feb 17, 2022",6,18
"Feb 17, 2022",4,2
"Feb 18, 2022",4,1
"Feb 18, 2022",2,48
"Feb 18, 2022",1,9
"Feb 18, 2022",6,43
"Feb 18, 2022",7,3
"Feb 19, 2022",7,5
"Feb 19, 2022",20,1
"Feb 19, 2022",1,1
"Feb 19, 2022",2,25
"Feb 19, 2022",6,14
"Feb 20, 2022",20,2
"Feb 20, 2022",2,12
"Feb 20, 2022",6,3
"Feb 20, 2022",1,2
"Feb 20, 2022",7,4
"Feb 21, 2022",2,37
"Feb 21, 2022",1,4
"Feb 21, 2022",20,1
"Feb 21, 2022",4,2
"Feb 21, 2022",6,16
"Feb 21, 2022",7,4
"Feb 22, 2022",7,10
"Feb 22, 2022",6,13
"Feb 22, 2022",2,51
"Feb 22, 2022",1,8
"Feb 22, 2022",17,2
"Feb 23, 2022",4,2
"Feb 23, 2022",20,1
"Feb 23, 2022",7,3
"Feb 23, 2022",6,20
"Feb 23, 2022",2,34
"Feb 23, 2022",1,2
"Feb 24, 2022",6,14
"Feb 24, 2022",2,46
"Feb 24, 2022",1,7
"Feb 24, 2022",7,3
"Feb 25, 2022",4,3
"Feb 25, 2022",2,47
"Feb 25, 2022",1,6
"Feb 25, 2022",6,22
"Feb 25, 2022",7,7
"Feb 26, 2022",2,20
"Feb 26, 2022",6,13
"Feb 26, 2022",1,3
"Feb 26, 2022",7,3
"Feb 27, 2022",1,2
"Feb 27, 2022",2,10
"Feb 27, 2022",6,6
"Feb 27, 2022",17,1
"Feb 28, 2022",20,1
"Feb 28, 2022",2,11
"Feb 28, 2022",7,2
"Feb 28, 2022",1,3
"Feb 28, 2022",6,5
