Day,Cause,# Irregularities
"Sep 1, 2022",HAZARD,12
"Sep 1, 2022",ACCIDENT,22
"Sep 2, 2022",HAZARD,8
"Sep 2, 2022",ACCIDENT,15
"Sep 3, 2022",ACCIDENT,1
"Sep 3, 2022",HAZARD,2
"Sep 5, 2022",HAZARD,2
"Sep 5, 2022",ACCIDENT,8
"Sep 6, 2022",HAZARD,2
"Sep 6, 2022",ACCIDENT,10
"Sep 7, 2022",ACCIDENT,1
"Sep 8, 2022",ACCIDENT,2
"Sep 9, 2022",ACCIDENT,6
"Sep 10, 2022",ACCIDENT,1
"Sep 11, 2022",ACCIDENT,1
"Sep 12, 2022",HAZARD,3
"Sep 12, 2022",ACCIDENT,12
"Sep 13, 2022",ACCIDENT,10
"Sep 14, 2022",ACCIDENT,7
"Sep 14, 2022",HAZARD,4
"Sep 15, 2022",ACCIDENT,10
"Sep 15, 2022",HAZARD,6
"Sep 16, 2022",ACCIDENT,6
"Sep 16, 2022",HAZARD,2
"Sep 17, 2022",ACCIDENT,4
"Sep 17, 2022",HAZARD,1
"Sep 18, 2022",ACCIDENT,3
"Sep 19, 2022",ACCIDENT,27
"Sep 19, 2022",HAZARD,11
"Sep 20, 2022",ACCIDENT,6
"Sep 20, 2022",HAZARD,3
"Sep 21, 2022",ACCIDENT,8
"Sep 21, 2022",HAZARD,5
"Sep 22, 2022",HAZARD,4
"Sep 22, 2022",ACCIDENT,5
"Sep 23, 2022",ROAD_CLOSED,1
"Sep 23, 2022",HAZARD,2
"Sep 23, 2022",ACCIDENT,16
"Sep 24, 2022",HAZARD,5
"Sep 24, 2022",ACCIDENT,1
"Sep 25, 2022",ACCIDENT,4
"Sep 26, 2022",HAZARD,6
"Sep 26, 2022",ACCIDENT,5
"Sep 27, 2022",HAZARD,7
"Sep 27, 2022",ACCIDENT,16
"Sep 28, 2022",ACCIDENT,6
"Sep 28, 2022",HAZARD,5
"Sep 29, 2022",ACCIDENT,9
"Sep 29, 2022",HAZARD,11
"Sep 30, 2022",ACCIDENT,14
"Sep 30, 2022",HAZARD,5
