Day,Road Type,# Accidents
"Sep 1, 2022",6,29
"Sep 1, 2022",7,6
"Sep 1, 2022",2,65
"Sep 1, 2022",1,9
"Sep 1, 2022",4,1
"Sep 2, 2022",1,12
"Sep 2, 2022",7,8
"Sep 2, 2022",2,87
"Sep 2, 2022",17,2
"Sep 2, 2022",6,29
"Sep 3, 2022",4,1
"Sep 3, 2022",20,3
"Sep 3, 2022",2,52
"Sep 3, 2022",6,19
"Sep 3, 2022",1,10
"Sep 4, 2022",6,9
"Sep 4, 2022",1,5
"Sep 4, 2022",2,27
"Sep 4, 2022",20,1
"Sep 4, 2022",17,1
"Sep 5, 2022",1,6
"Sep 5, 2022",7,1
"Sep 5, 2022",4,5
"Sep 5, 2022",2,35
"Sep 5, 2022",17,1
"Sep 5, 2022",6,25
"Sep 6, 2022",1,12
"Sep 6, 2022",6,23
"Sep 6, 2022",2,42
"Sep 6, 2022",4,3
"Sep 6, 2022",7,6
"Sep 7, 2022",2,29
"Sep 7, 2022",4,1
"Sep 7, 2022",1,1
"Sep 7, 2022",6,10
"Sep 7, 2022",7,2
"Sep 8, 2022",1,7
"Sep 8, 2022",7,3
"Sep 8, 2022",6,5
"Sep 8, 2022",2,16
"Sep 9, 2022",6,20
"Sep 9, 2022",4,1
"Sep 9, 2022",7,4
"Sep 9, 2022",1,12
"Sep 9, 2022",2,40
"Sep 10, 2022",2,23
"Sep 10, 2022",1,9
"Sep 10, 2022",7,1
"Sep 10, 2022",6,12
"Sep 10, 2022",4,1
"Sep 11, 2022",2,14
"Sep 11, 2022",6,21
"Sep 11, 2022",7,3
"Sep 11, 2022",1,3
"Sep 12, 2022",1,6
"Sep 12, 2022",7,12
"Sep 12, 2022",2,79
"Sep 12, 2022",20,3
"Sep 12, 2022",6,25
"Sep 13, 2022",4,2
"Sep 13, 2022",6,33
"Sep 13, 2022",2,62
"Sep 13, 2022",7,10
"Sep 13, 2022",17,2
"Sep 13, 2022",1,12
"Sep 14, 2022",7,5
"Sep 14, 2022",4,2
"Sep 14, 2022",2,66
"Sep 14, 2022",1,12
"Sep 14, 2022",6,23
"Sep 15, 2022",2,74
"Sep 15, 2022",1,6
"Sep 15, 2022",6,37
"Sep 15, 2022",4,5
"Sep 15, 2022",7,6
"Sep 16, 2022",20,1
"Sep 16, 2022",4,1
"Sep 16, 2022",7,2
"Sep 16, 2022",1,10
"Sep 16, 2022",2,69
"Sep 16, 2022",6,24
"Sep 17, 2022",7,3
"Sep 17, 2022",1,9
"Sep 17, 2022",2,33
"Sep 17, 2022",6,22
"Sep 18, 2022",7,4
"Sep 18, 2022",2,19
"Sep 18, 2022",1,3
"Sep 18, 2022",6,15
"Sep 19, 2022",20,2
"Sep 19, 2022",2,51
"Sep 19, 2022",6,55
"Sep 19, 2022",1,11
"Sep 19, 2022",4,2
"Sep 19, 2022",7,9
"Sep 20, 2022",20,1
"Sep 20, 2022",1,14
"Sep 20, 2022",2,72
"Sep 20, 2022",4,1
"Sep 20, 2022",7,6
"Sep 20, 2022",6,27
"Sep 21, 2022",4,3
"Sep 21, 2022",1,16
"Sep 21, 2022",7,3
"Sep 21, 2022",6,36
"Sep 21, 2022",2,81
"Sep 22, 2022",7,10
"Sep 22, 2022",6,30
"Sep 22, 2022",2,73
"Sep 22, 2022",1,12
"Sep 23, 2022",20,2
"Sep 23, 2022",2,75
"Sep 23, 2022",7,3
"Sep 23, 2022",6,64
"Sep 23, 2022",4,2
"Sep 23, 2022",1,11
"Sep 24, 2022",20,1
"Sep 24, 2022",2,37
"Sep 24, 2022",6,41
"Sep 24, 2022",1,3
"Sep 24, 2022",7,2
"Sep 24, 2022",5,1
"Sep 25, 2022",4,3
"Sep 25, 2022",7,3
"Sep 25, 2022",6,53
"Sep 25, 2022",1,4
"Sep 25, 2022",2,35
"Sep 26, 2022",2,72
"Sep 26, 2022",6,64
"Sep 26, 2022",20,1
"Sep 26, 2022",7,4
"Sep 26, 2022",4,2
"Sep 26, 2022",1,18
"Sep 27, 2022",2,61
"Sep 27, 2022",1,10
"Sep 27, 2022",17,1
"Sep 27, 2022",7,11
"Sep 27, 2022",6,45
"Sep 27, 2022",4,2
"Sep 28, 2022",6,24
"Sep 28, 2022",4,2
"Sep 28, 2022",1,9
"Sep 28, 2022",2,59
"Sep 28, 2022",22,1
"Sep 28, 2022",7,3
"Sep 29, 2022",20,1
"Sep 29, 2022",6,28
"Sep 29, 2022",1,8
"Sep 29, 2022",7,10
"Sep 29, 2022",2,65
"Sep 30, 2022",2,89
"Sep 30, 2022",6,34
"Sep 30, 2022",4,1
"Sep 30, 2022",7,4
"Sep 30, 2022",1,21
