Day,Average Delay (Seconds),# Irregularities
"Sep 30, 2022",763.7767542671363,125
"Sep 29, 2022",542.6217023394723,87
"Sep 28, 2022",695.5117778328788,174
"Sep 27, 2022",1029.6875859482436,236
"Sep 26, 2022",522.6631493506494,50
"Sep 25, 2022",420.31410256410254,15
"Sep 24, 2022",669.4940867279895,35
"Sep 23, 2022",764.7879968823071,117
"Sep 22, 2022",641.7727678571429,89
"Sep 21, 2022",753.1539176215547,246
"Sep 20, 2022",584.1981845688351,69
"Sep 19, 2022",1071.467186147186,200
"Sep 18, 2022",586.8623188405797,35
"Sep 17, 2022",564.7192028985507,29
"Sep 16, 2022",754.6398362892223,83
"Sep 15, 2022",581.89388816645,156
"Sep 14, 2022",814.2413075780089,137
"Sep 13, 2022",701.0204610951008,132
"Sep 12, 2022",605.3099163679809,158
"Sep 11, 2022",1182.4275862068966,11
"Sep 10, 2022",391.7389705882353,18
"Sep 9, 2022",690.3936170212766,25
"Sep 8, 2022",523.9035714285715,15
"Sep 7, 2022",521.5354058721935,24
"Sep 6, 2022",618.1223431829964,185
"Sep 5, 2022",533.2372703412074,79
"Sep 4, 2022",425.0096618357488,21
"Sep 3, 2022",923.4245472837022,23
"Sep 2, 2022",649.232385908727,151
"Sep 1, 2022",834.6319945073807,175
