Day,Average Delay (Seconds),# Irregularities
"May 31, 2023",819.3693322341303,128
"May 30, 2023",839.9750378214826,118
"May 29, 2023",843.8785614198972,85
"May 28, 2023",567.8255813953489,26
"May 27, 2023",567.4651650078575,84
"May 26, 2023",675.3214689265536,95
"May 25, 2023",571.8395855662736,119
"May 24, 2023",768.7056277056278,124
"May 23, 2023",759.0132215414383,111
"May 22, 2023",572.5054945054945,74
"May 21, 2023",698.780487804878,43
"May 20, 2023",721.366779661017,78
"May 19, 2023",908.6379126730565,195
"May 18, 2023",901.0812242495585,136
"May 17, 2023",854.0479723046489,106
"May 16, 2023",979.9210169491525,149
"May 15, 2023",835.2654452492544,95
"May 14, 2023",921.1975785677486,96
"May 13, 2023",663.9158444573418,57
"May 12, 2023",933.1058518074695,149
"May 11, 2023",987.976709465512,306
"May 10, 2023",1022.1932447397563,155
"May 9, 2023",1165.4206322795342,173
"May 8, 2023",1441.5368713360074,146
"May 7, 2023",693.6146341463415,96
"May 6, 2023",473.7084175084175,52
"May 5, 2023",1048.3669122038623,182
"May 4, 2023",988.4791271347249,147
"May 3, 2023",867.8734835355286,98
"May 2, 2023",899.3523292627771,75
"May 1, 2023",614.6249398170438,52
