Day,Cause,# Irregularities
"May 1, 2023",HAZARD,1
"May 2, 2023",HAZARD,4
"May 2, 2023",ACCIDENT,13
"May 3, 2023",HAZARD,14
"May 3, 2023",ACCIDENT,5
"May 4, 2023",HAZARD,16
"May 4, 2023",ACCIDENT,18
"May 5, 2023",HAZARD,12
"May 5, 2023",ACCIDENT,19
"May 6, 2023",HAZARD,1
"May 7, 2023",ACCIDENT,6
"May 8, 2023",HAZARD,8
"May 8, 2023",ACCIDENT,8
"May 9, 2023",ACCIDENT,13
"May 9, 2023",HAZARD,33
"May 10, 2023",ACCIDENT,6
"May 10, 2023",HAZARD,11
"May 11, 2023",HAZARD,9
"May 11, 2023",ACCIDENT,16
"May 12, 2023",HAZARD,11
"May 12, 2023",ACCIDENT,15
"May 13, 2023",ACCIDENT,6
"May 13, 2023",HAZARD,5
"May 14, 2023",HAZARD,1
"May 14, 2023",ACCIDENT,11
"May 15, 2023",HAZARD,8
"May 15, 2023",ACCIDENT,10
"May 16, 2023",HAZARD,23
"May 16, 2023",ACCIDENT,7
"May 17, 2023",HAZARD,12
"May 17, 2023",ACCIDENT,2
"May 18, 2023",ACCIDENT,12
"May 18, 2023",HAZARD,13
"May 19, 2023",ACCIDENT,18
"May 19, 2023",HAZARD,10
"May 20, 2023",ACCIDENT,3
"May 20, 2023",HAZARD,5
"May 21, 2023",ACCIDENT,2
"May 22, 2023",ACCIDENT,7
"May 22, 2023",HAZARD,8
"May 23, 2023",HAZARD,15
"May 23, 2023",ACCIDENT,7
"May 24, 2023",HAZARD,14
"May 24, 2023",ACCIDENT,10
"May 25, 2023",HAZARD,7
"May 25, 2023",ACCIDENT,11
"May 26, 2023",ACCIDENT,8
"May 26, 2023",HAZARD,4
"May 27, 2023",ACCIDENT,4
"May 27, 2023",HAZARD,1
"May 28, 2023",ACCIDENT,1
"May 29, 2023",HAZARD,4
"May 29, 2023",ACCIDENT,7
"May 30, 2023",ACCIDENT,15
"May 30, 2023",HAZARD,4
"May 31, 2023",ACCIDENT,15
"May 31, 2023",HAZARD,6
