Day,Road Type,# Accidents
"May 1, 2023",2,27
"May 1, 2023",6,14
"May 1, 2023",22,1
"May 1, 2023",7,2
"May 1, 2023",1,4
"May 1, 2023",4,1
"May 2, 2023",6,46
"May 2, 2023",2,69
"May 2, 2023",4,1
"May 2, 2023",7,11
"May 2, 2023",1,8
"May 3, 2023",20,1
"May 3, 2023",17,2
"May 3, 2023",2,79
"May 3, 2023",1,13
"May 3, 2023",6,14
"May 3, 2023",7,8
"May 4, 2023",1,19
"May 4, 2023",6,41
"May 4, 2023",4,1
"May 4, 2023",2,93
"May 4, 2023",7,5
"May 5, 2023",20,1
"May 5, 2023",1,10
"May 5, 2023",7,3
"May 5, 2023",6,50
"May 5, 2023",2,105
"May 6, 2023",6,21
"May 6, 2023",7,3
"May 6, 2023",2,52
"May 6, 2023",1,9
"May 7, 2023",2,18
"May 7, 2023",6,14
"May 7, 2023",1,3
"May 7, 2023",7,6
"May 8, 2023",2,76
"May 8, 2023",4,1
"May 8, 2023",6,33
"May 8, 2023",7,10
"May 8, 2023",20,1
"May 8, 2023",1,9
"May 9, 2023",7,2
"May 9, 2023",2,76
"May 9, 2023",4,1
"May 9, 2023",1,17
"May 9, 2023",6,22
"May 10, 2023",1,10
"May 10, 2023",6,23
"May 10, 2023",17,2
"May 10, 2023",7,2
"May 10, 2023",2,61
"May 11, 2023",6,28
"May 11, 2023",4,3
"May 11, 2023",1,12
"May 11, 2023",2,89
"May 11, 2023",7,7
"May 12, 2023",6,42
"May 12, 2023",4,1
"May 12, 2023",20,1
"May 12, 2023",2,82
"May 12, 2023",1,17
"May 12, 2023",7,11
"May 13, 2023",2,66
"May 13, 2023",6,23
"May 13, 2023",20,1
"May 13, 2023",4,1
"May 13, 2023",1,8
"May 13, 2023",7,5
"May 14, 2023",2,21
"May 14, 2023",4,2
"May 14, 2023",1,6
"May 14, 2023",7,9
"May 14, 2023",6,67
"May 15, 2023",2,70
"May 15, 2023",20,1
"May 15, 2023",7,1
"May 15, 2023",17,1
"May 15, 2023",6,70
"May 15, 2023",1,12
"May 16, 2023",1,9
"May 16, 2023",7,11
"May 16, 2023",17,1
"May 16, 2023",20,3
"May 16, 2023",2,94
"May 16, 2023",6,28
"May 17, 2023",4,2
"May 17, 2023",7,3
"May 17, 2023",2,90
"May 17, 2023",17,1
"May 17, 2023",6,19
"May 17, 2023",1,10
"May 18, 2023",2,89
"May 18, 2023",7,4
"May 18, 2023",1,11
"May 18, 2023",17,1
"May 18, 2023",6,30
"May 19, 2023",20,1
"May 19, 2023",1,12
"May 19, 2023",6,56
"May 19, 2023",2,114
"May 19, 2023",7,3
"May 20, 2023",2,52
"May 20, 2023",1,9
"May 20, 2023",6,30
"May 20, 2023",17,1
"May 20, 2023",7,4
"May 21, 2023",2,21
"May 21, 2023",6,17
"May 21, 2023",1,9
"May 21, 2023",7,4
"May 22, 2023",6,33
"May 22, 2023",7,3
"May 22, 2023",2,64
"May 22, 2023",1,6
"May 23, 2023",1,10
"May 23, 2023",2,76
"May 23, 2023",6,20
"May 23, 2023",4,1
"May 23, 2023",20,1
"May 23, 2023",7,7
"May 24, 2023",4,1
"May 24, 2023",20,1
"May 24, 2023",2,68
"May 24, 2023",6,22
"May 24, 2023",1,7
"May 24, 2023",7,6
"May 25, 2023",20,1
"May 25, 2023",6,22
"May 25, 2023",2,74
"May 25, 2023",1,10
"May 25, 2023",7,6
"May 26, 2023",4,2
"May 26, 2023",1,17
"May 26, 2023",2,73
"May 26, 2023",7,5
"May 26, 2023",6,39
"May 27, 2023",7,5
"May 27, 2023",4,1
"May 27, 2023",6,34
"May 27, 2023",2,67
"May 27, 2023",1,15
"May 28, 2023",7,10
"May 28, 2023",1,8
"May 28, 2023",2,30
"May 28, 2023",6,28
"May 29, 2023",6,30
"May 29, 2023",1,9
"May 29, 2023",7,4
"May 29, 2023",20,1
"May 29, 2023",2,55
"May 30, 2023",6,36
"May 30, 2023",20,1
"May 30, 2023",2,47
"May 30, 2023",7,3
"May 30, 2023",4,1
"May 30, 2023",1,9
"May 31, 2023",2,103
"May 31, 2023",6,61
"May 31, 2023",7,7
"May 31, 2023",1,10
