Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
"Jun 1, 2023",BR,São José dos Pinhais,BR-116 Contorno Leste,null,4814.5,931.8076923076923,2876
"May 31, 2023",BR,Curitiba,R. São Bento,null,638,803,8
"May 31, 2023",BR,Almirante Tamandaré,PR-418 Contorno Norte,null,1556.453781512605,995.7899159663865,3165
"May 31, 2023",BR,Curitiba,PR-418 Contorno Norte,ACCIDENT,2911.4966887417218,904.7615894039735,9860
"May 31, 2023",BR,Curitiba,R. Raul Pompéia,null,656.5,735.5,208
"May 31, 2023",BR,Curitiba,,null,524,618,12
"May 31, 2023",BR,Pinhais,R. Rep. Dominicana,null,577,690.6666666666666,62
"May 31, 2023",BR,Curitiba,R. Francisco de Paula Guimarães,null,658,678,44
"May 31, 2023",BR,Pinhais,Av. Camilo di Lellis,null,788.5714285714286,347.7142857142857,15
"May 31, 2023",BR,Curitiba,R. Schiller,null,734,976,38
"May 31, 2023",BR,Curitiba,R. José de Alencar,null,1800.5,688,3128
"May 31, 2023",BR,Curitiba,Av. Juscelino Kubitschek de Oliveira,null,563.7142857142857,433.07142857142856,942
"May 31, 2023",BR,Curitiba,BR-277 S Rod. do Café Gov. Ney Braga,ACCIDENT,3600.1363636363635,1068.7272727272727,12646
"May 31, 2023",BR,Curitiba,R. Dep. Heitor Alencar Furtado,null,694,368,1325
"May 31, 2023",BR,Curitiba,R. Cap. Argemiro Monteiro Wanderley,null,536,1215,16
"May 31, 2023",BR,Curitiba,Av. Cândido Hartmann,null,1076.0344827586207,466.9310344827586,3557
"May 31, 2023",BR,Curitiba,R. Camões,null,566,1265.6666666666667,52
"May 31, 2023",BR,Curitiba,R. Helena Grodzki,null,817,595.3636363636364,724
"May 31, 2023",BR,Curitiba,Av. Linha Verde,null,1654.7971014492753,544.1992753623189,33721
"May 31, 2023",BR,Curitiba,BR-116 N Contorno Leste,ACCIDENT,3762,412.6666666666667,1708
"May 31, 2023",BR,Pinhais,R. Umuarama,null,572,612,6
"May 31, 2023",BR,Curitiba,R. Frederico Stadler Jr.,null,630,468.6666666666667,34
"May 31, 2023",BR,Curitiba,R. do Herval,null,539,844.3333333333334,108
"May 31, 2023",BR,Curitiba,Av. João Gualberto,null,1432.9375,712.9375,933
"May 31, 2023",BR,Curitiba,R. William Booth,null,837.5,1490.75,76
"May 31, 2023",BR,Curitiba,R. Nestor Victor,null,638,390,96
"May 31, 2023",BR,Curitiba,R. Eduardo Sprada,null,975.9615384615385,496.36538461538464,2798
"May 31, 2023",BR,Curitiba,BR-376 Contorno Sul,HAZARD,3723,518,2334
"May 31, 2023",BR,Curitiba,R. Prof. João Soares Barcelos,ACCIDENT,681,639.7272727272727,3032
"May 31, 2023",BR,Curitiba,BR-116 S Contorno Leste,null,6467.825757575758,880.3787878787879,23712
"May 31, 2023",BR,Curitiba,R. Vicente Ciccarino,null,703,322,116
"May 31, 2023",BR,Curitiba,PR-418 Contorno Norte,null,3632.224279835391,1153.5843621399176,34960
"May 31, 2023",BR,Curitiba,Av. Linha Verde,HAZARD,1718,727.8,2194
