Day,Average Delay (Seconds),# Irregularities
"Apr 30, 2023",785.6977777777778,47
"Apr 29, 2023",601.2200303490137,69
"Apr 28, 2023",895.6848739495798,123
"Apr 27, 2023",1161.0303756994404,106
"Apr 26, 2023",1057.2150502757054,136
"Apr 25, 2023",1203.3866141732283,105
"Apr 24, 2023",845.2048297934246,112
"Apr 23, 2023",473.31892523364485,51
"Apr 22, 2023",559.0544217687075,38
"Apr 21, 2023",420.225,18
"Apr 20, 2023",780.1249628970021,125
"Apr 19, 2023",670.5491559086395,92
"Apr 18, 2023",667.4929245283018,142
"Apr 17, 2023",868.2437729685586,84
"Apr 16, 2023",753.5176151761517,33
"Apr 15, 2023",771.9453924914676,74
"Apr 14, 2023",699.3775628626693,189
"Apr 13, 2023",793.2668500687757,87
"Apr 12, 2023",823.7128366561735,242
"Apr 11, 2023",973.9820773930753,85
"Apr 10, 2023",903.8623944361649,70
"Apr 9, 2023",547.8831385642737,37
"Apr 8, 2023",1220.078125,34
"Apr 7, 2023",664.827868852459,28
"Apr 6, 2023",684.7413340698798,234
"Apr 5, 2023",796.5641409332063,232
"Apr 4, 2023",1032.0053366174056,276
"Apr 3, 2023",1007.4478744046569,146
"Apr 2, 2023",719.6397139713971,48
"Apr 1, 2023",1099.7456995412845,109
