Day,Cause,# Irregularities
"Apr 1, 2023",HAZARD,5
"Apr 1, 2023",ACCIDENT,6
"Apr 2, 2023",HAZARD,3
"Apr 2, 2023",ACCIDENT,1
"Apr 3, 2023",HAZARD,5
"Apr 3, 2023",ACCIDENT,9
"Apr 4, 2023",ACCIDENT,32
"Apr 4, 2023",HAZARD,7
"Apr 5, 2023",HAZARD,7
"Apr 5, 2023",ACCIDENT,15
"Apr 6, 2023",ACCIDENT,17
"Apr 6, 2023",HAZARD,3
"Apr 8, 2023",ACCIDENT,1
"Apr 9, 2023",ACCIDENT,1
"Apr 10, 2023",ACCIDENT,6
"Apr 10, 2023",HAZARD,1
"Apr 11, 2023",ACCIDENT,6
"Apr 11, 2023",HAZARD,3
"Apr 12, 2023",HAZARD,6
"Apr 12, 2023",ACCIDENT,19
"Apr 13, 2023",HAZARD,6
"Apr 13, 2023",ACCIDENT,5
"Apr 14, 2023",HAZARD,10
"Apr 14, 2023",ACCIDENT,16
"Apr 15, 2023",ACCIDENT,5
"Apr 15, 2023",HAZARD,4
"Apr 17, 2023",ACCIDENT,6
"Apr 17, 2023",HAZARD,6
"Apr 18, 2023",HAZARD,8
"Apr 18, 2023",ACCIDENT,16
"Apr 19, 2023",HAZARD,4
"Apr 19, 2023",ACCIDENT,7
"Apr 20, 2023",HAZARD,5
"Apr 20, 2023",ACCIDENT,9
"Apr 21, 2023",HAZARD,1
"Apr 22, 2023",ACCIDENT,4
"Apr 22, 2023",HAZARD,1
"Apr 24, 2023",ACCIDENT,15
"Apr 24, 2023",HAZARD,6
"Apr 25, 2023",ROAD_CLOSED,1
"Apr 25, 2023",ACCIDENT,4
"Apr 25, 2023",HAZARD,8
"Apr 26, 2023",HAZARD,11
"Apr 26, 2023",ACCIDENT,8
"Apr 27, 2023",ACCIDENT,8
"Apr 27, 2023",HAZARD,11
"Apr 28, 2023",ACCIDENT,11
"Apr 28, 2023",HAZARD,18
"Apr 29, 2023",ROAD_CLOSED,1
"Apr 29, 2023",HAZARD,2
"Apr 29, 2023",ACCIDENT,1
