Day,Road Type,# Accidents
"Feb 1, 2023",20,2
"Feb 1, 2023",7,4
"Feb 1, 2023",1,6
"Feb 1, 2023",6,49
"Feb 1, 2023",2,68
"Feb 1, 2023",4,2
"Feb 2, 2023",7,6
"Feb 2, 2023",6,36
"Feb 2, 2023",2,60
"Feb 2, 2023",1,9
"Feb 3, 2023",1,11
"Feb 3, 2023",6,24
"Feb 3, 2023",7,2
"Feb 3, 2023",2,82
"Feb 4, 2023",7,6
"Feb 4, 2023",2,34
"Feb 4, 2023",20,2
"Feb 4, 2023",6,18
"Feb 4, 2023",1,9
"Feb 5, 2023",6,11
"Feb 5, 2023",1,6
"Feb 5, 2023",20,1
"Feb 5, 2023",7,4
"Feb 5, 2023",17,2
"Feb 5, 2023",2,22
"Feb 6, 2023",1,11
"Feb 6, 2023",20,1
"Feb 6, 2023",2,51
"Feb 6, 2023",6,19
"Feb 6, 2023",7,4
"Feb 7, 2023",10,1
"Feb 7, 2023",6,32
"Feb 7, 2023",1,9
"Feb 7, 2023",7,4
"Feb 7, 2023",4,2
"Feb 7, 2023",2,48
"Feb 8, 2023",6,34
"Feb 8, 2023",4,1
"Feb 8, 2023",1,7
"Feb 8, 2023",7,7
"Feb 8, 2023",2,71
"Feb 9, 2023",1,11
"Feb 9, 2023",6,28
"Feb 9, 2023",7,5
"Feb 9, 2023",2,59
"Feb 10, 2023",1,18
"Feb 10, 2023",6,39
"Feb 10, 2023",7,5
"Feb 10, 2023",2,95
"Feb 11, 2023",4,6
"Feb 11, 2023",7,4
"Feb 11, 2023",1,7
"Feb 11, 2023",6,27
"Feb 11, 2023",2,61
"Feb 12, 2023",20,1
"Feb 12, 2023",1,3
"Feb 12, 2023",7,5
"Feb 12, 2023",2,22
"Feb 12, 2023",6,24
"Feb 12, 2023",4,3
"Feb 13, 2023",20,1
"Feb 13, 2023",7,3
"Feb 13, 2023",6,26
"Feb 13, 2023",4,3
"Feb 13, 2023",1,9
"Feb 13, 2023",2,68
"Feb 14, 2023",2,62
"Feb 14, 2023",7,7
"Feb 14, 2023",6,23
"Feb 14, 2023",1,11
"Feb 15, 2023",2,70
"Feb 15, 2023",6,13
"Feb 15, 2023",7,9
"Feb 15, 2023",1,23
"Feb 16, 2023",6,23
"Feb 16, 2023",2,72
"Feb 16, 2023",1,16
"Feb 16, 2023",7,2
"Feb 17, 2023",1,15
"Feb 17, 2023",6,55
"Feb 17, 2023",20,1
"Feb 17, 2023",7,10
"Feb 17, 2023",2,100
"Feb 17, 2023",4,5
"Feb 18, 2023",2,38
"Feb 18, 2023",7,9
"Feb 18, 2023",4,1
"Feb 18, 2023",1,17
"Feb 18, 2023",6,39
"Feb 19, 2023",4,1
"Feb 19, 2023",6,24
"Feb 19, 2023",2,15
"Feb 19, 2023",1,6
"Feb 19, 2023",7,2
"Feb 20, 2023",7,5
"Feb 20, 2023",1,5
"Feb 20, 2023",6,14
"Feb 20, 2023",2,21
"Feb 21, 2023",2,25
"Feb 21, 2023",1,3
"Feb 21, 2023",7,1
"Feb 21, 2023",6,32
"Feb 22, 2023",2,35
"Feb 22, 2023",20,1
"Feb 22, 2023",6,26
"Feb 22, 2023",1,4
"Feb 22, 2023",4,1
"Feb 22, 2023",7,1
"Feb 23, 2023",7,13
"Feb 23, 2023",6,47
"Feb 23, 2023",4,2
"Feb 23, 2023",2,73
"Feb 23, 2023",1,18
"Feb 24, 2023",1,9
"Feb 24, 2023",20,1
"Feb 24, 2023",4,1
"Feb 24, 2023",2,71
"Feb 24, 2023",6,31
"Feb 24, 2023",7,4
"Feb 25, 2023",1,7
"Feb 25, 2023",2,32
"Feb 25, 2023",7,2
"Feb 25, 2023",6,20
"Feb 26, 2023",6,21
"Feb 26, 2023",1,8
"Feb 26, 2023",2,39
"Feb 26, 2023",7,1
"Feb 27, 2023",7,3
"Feb 27, 2023",1,15
"Feb 27, 2023",6,47
"Feb 27, 2023",2,61
"Feb 28, 2023",6,17
"Feb 28, 2023",7,7
"Feb 28, 2023",17,1
"Feb 28, 2023",2,46
"Feb 28, 2023",1,18
"Feb 28, 2023",22,1
