Day,Average Delay (Seconds),# Irregularities
"Feb 28, 2023",850.6984696317552,182
"Feb 27, 2023",987.6044170185125,147
"Feb 26, 2023",648.3869209809264,29
"Feb 25, 2023",881.7125279642058,52
"Feb 24, 2023",1123.621220159151,86
"Feb 23, 2023",614.8009211112762,223
"Feb 22, 2023",595.4299424184261,40
"Feb 21, 2023",846.4901960784314,23
"Feb 20, 2023",798.929292929293,29
"Feb 19, 2023",1239.934,31
"Feb 18, 2023",1553.7979930191973,64
"Feb 17, 2023",667.3758959384126,185
"Feb 16, 2023",867.2111174566915,195
"Feb 15, 2023",611.735050597976,146
"Feb 14, 2023",848.3699864803966,173
"Feb 13, 2023",840.1045218680504,108
"Feb 12, 2023",814.835260115607,56
"Feb 11, 2023",814.9527824620574,62
"Feb 10, 2023",709.9347930318044,182
"Feb 9, 2023",873.5036905064902,160
"Feb 8, 2023",802.173485569299,107
"Feb 7, 2023",719.8413828164718,88
"Feb 6, 2023",592.9853103195005,96
"Feb 5, 2023",650.9645120405577,52
"Feb 4, 2023",475.0774365821095,49
"Feb 3, 2023",967.3418696647929,159
"Feb 2, 2023",771.7957706500142,241
"Feb 1, 2023",601.5159218624565,125
