Day,Type,# Alerts
"Feb 1, 2023",ACCIDENT,178
"Feb 1, 2023",WEATHERHAZARD,1050
"Feb 1, 2023",ROAD_CLOSED,37
"Feb 1, 2023",JAM,2354
"Feb 2, 2023",WEATHERHAZARD,1068
"Feb 2, 2023",ROAD_CLOSED,31
"Feb 2, 2023",JAM,3028
"Feb 2, 2023",ACCIDENT,163
"Feb 3, 2023",ACCIDENT,170
"Feb 3, 2023",JAM,2532
"Feb 3, 2023",ROAD_CLOSED,41
"Feb 3, 2023",WEATHERHAZARD,1178
"Feb 4, 2023",WEATHERHAZARD,553
"Feb 4, 2023",ACCIDENT,108
"Feb 4, 2023",ROAD_CLOSED,17
"Feb 4, 2023",JAM,501
"Feb 5, 2023",ROAD_CLOSED,17
"Feb 5, 2023",JAM,280
"Feb 5, 2023",WEATHERHAZARD,413
"Feb 5, 2023",ACCIDENT,70
"Feb 6, 2023",JAM,2132
"Feb 6, 2023",WEATHERHAZARD,1249
"Feb 6, 2023",ACCIDENT,123
"Feb 6, 2023",ROAD_CLOSED,9
"Feb 7, 2023",JAM,2432
"Feb 7, 2023",WEATHERHAZARD,1050
"Feb 7, 2023",ROAD_CLOSED,2
"Feb 7, 2023",ACCIDENT,144
"Feb 8, 2023",JAM,2821
"Feb 8, 2023",ACCIDENT,167
"Feb 8, 2023",WEATHERHAZARD,1072
"Feb 8, 2023",ROAD_CLOSED,9
"Feb 9, 2023",WEATHERHAZARD,1053
"Feb 9, 2023",JAM,2925
"Feb 9, 2023",ROAD_CLOSED,10
"Feb 9, 2023",ACCIDENT,146
"Feb 10, 2023",ACCIDENT,213
"Feb 10, 2023",JAM,3813
"Feb 10, 2023",WEATHERHAZARD,1291
"Feb 10, 2023",ROAD_CLOSED,3
"Feb 11, 2023",ACCIDENT,156
"Feb 11, 2023",WEATHERHAZARD,624
"Feb 11, 2023",JAM,685
"Feb 11, 2023",ROAD_CLOSED,10
"Feb 12, 2023",ACCIDENT,90
"Feb 12, 2023",ROAD_CLOSED,53
"Feb 12, 2023",JAM,294
"Feb 12, 2023",WEATHERHAZARD,495
"Feb 13, 2023",ACCIDENT,149
"Feb 13, 2023",WEATHERHAZARD,1076
"Feb 13, 2023",ROAD_CLOSED,6
"Feb 13, 2023",JAM,2285
"Feb 14, 2023",ACCIDENT,143
"Feb 14, 2023",WEATHERHAZARD,1062
"Feb 14, 2023",ROAD_CLOSED,11
"Feb 14, 2023",JAM,3025
"Feb 15, 2023",WEATHERHAZARD,1175
"Feb 15, 2023",ACCIDENT,159
"Feb 15, 2023",JAM,3079
"Feb 15, 2023",ROAD_CLOSED,24
"Feb 16, 2023",ACCIDENT,169
"Feb 16, 2023",JAM,3341
"Feb 16, 2023",ROAD_CLOSED,4
"Feb 16, 2023",WEATHERHAZARD,1085
"Feb 17, 2023",JAM,3728
"Feb 17, 2023",ROAD_CLOSED,17
"Feb 17, 2023",WEATHERHAZARD,1312
"Feb 17, 2023",ACCIDENT,258
"Feb 18, 2023",ACCIDENT,164
"Feb 18, 2023",ROAD_CLOSED,88
"Feb 18, 2023",JAM,741
"Feb 18, 2023",WEATHERHAZARD,637
"Feb 19, 2023",WEATHERHAZARD,347
"Feb 19, 2023",ROAD_CLOSED,77
"Feb 19, 2023",ACCIDENT,79
"Feb 19, 2023",JAM,172
"Feb 20, 2023",WEATHERHAZARD,529
"Feb 20, 2023",JAM,226
"Feb 20, 2023",ACCIDENT,66
"Feb 20, 2023",ROAD_CLOSED,25
"Feb 21, 2023",JAM,355
"Feb 21, 2023",ACCIDENT,93
"Feb 21, 2023",WEATHERHAZARD,580
"Feb 22, 2023",WEATHERHAZARD,878
"Feb 22, 2023",ACCIDENT,91
"Feb 22, 2023",JAM,817
"Feb 23, 2023",ROAD_CLOSED,2
"Feb 23, 2023",JAM,2579
"Feb 23, 2023",ACCIDENT,203
"Feb 23, 2023",WEATHERHAZARD,1096
"Feb 24, 2023",WEATHERHAZARD,1189
"Feb 24, 2023",ACCIDENT,160
"Feb 24, 2023",JAM,2326
"Feb 24, 2023",ROAD_CLOSED,12
"Feb 25, 2023",ROAD_CLOSED,3
"Feb 25, 2023",WEATHERHAZARD,618
"Feb 25, 2023",ACCIDENT,96
"Feb 25, 2023",JAM,537
"Feb 26, 2023",ROAD_CLOSED,12
"Feb 26, 2023",ACCIDENT,90
"Feb 26, 2023",JAM,169
"Feb 26, 2023",WEATHERHAZARD,304
"Feb 27, 2023",ACCIDENT,159
"Feb 27, 2023",JAM,2648
"Feb 27, 2023",ROAD_CLOSED,19
"Feb 27, 2023",WEATHERHAZARD,1064
"Feb 28, 2023",JAM,3163
"Feb 28, 2023",WEATHERHAZARD,987
"Feb 28, 2023",ACCIDENT,125
"Feb 28, 2023",ROAD_CLOSED,15
