Day,Cause,# Irregularities
"Feb 1, 2023",HAZARD,14
"Feb 1, 2023",ACCIDENT,10
"Feb 2, 2023",HAZARD,18
"Feb 2, 2023",ACCIDENT,12
"Feb 3, 2023",HAZARD,20
"Feb 3, 2023",ACCIDENT,4
"Feb 4, 2023",HAZARD,2
"Feb 4, 2023",ACCIDENT,1
"Feb 6, 2023",HAZARD,8
"Feb 6, 2023",ACCIDENT,6
"Feb 7, 2023",HAZARD,4
"Feb 7, 2023",ACCIDENT,2
"Feb 8, 2023",HAZARD,13
"Feb 8, 2023",ACCIDENT,2
"Feb 9, 2023",HAZARD,3
"Feb 9, 2023",ACCIDENT,7
"Feb 10, 2023",ACCIDENT,17
"Feb 10, 2023",HAZARD,5
"Feb 11, 2023",ACCIDENT,3
"Feb 11, 2023",HAZARD,4
"Feb 12, 2023",ACCIDENT,5
"Feb 13, 2023",HAZARD,6
"Feb 13, 2023",ACCIDENT,4
"Feb 14, 2023",HAZARD,6
"Feb 14, 2023",ACCIDENT,9
"Feb 15, 2023",HAZARD,7
"Feb 15, 2023",ACCIDENT,4
"Feb 16, 2023",HAZARD,14
"Feb 16, 2023",ACCIDENT,7
"Feb 17, 2023",HAZARD,11
"Feb 17, 2023",ACCIDENT,18
"Feb 18, 2023",ACCIDENT,9
"Feb 18, 2023",HAZARD,1
"Feb 19, 2023",ACCIDENT,2
"Feb 20, 2023",HAZARD,4
"Feb 21, 2023",ACCIDENT,2
"Feb 21, 2023",HAZARD,1
"Feb 22, 2023",ACCIDENT,1
"Feb 22, 2023",HAZARD,4
"Feb 23, 2023",ACCIDENT,10
"Feb 23, 2023",HAZARD,10
"Feb 24, 2023",HAZARD,5
"Feb 24, 2023",ACCIDENT,3
"Feb 25, 2023",HAZARD,1
"Feb 26, 2023",ACCIDENT,1
"Feb 27, 2023",ACCIDENT,7
"Feb 27, 2023",HAZARD,2
"Feb 28, 2023",ACCIDENT,3
"Feb 28, 2023",HAZARD,5
