Day,Average Delay (Seconds),# Irregularities
"Mar 31, 2023",978.4103436543041,199
"Mar 30, 2023",790.0159409945277,117
"Mar 29, 2023",779.9309404815992,207
"Mar 28, 2023",1013.9416224412433,107
"Mar 27, 2023",804.5120128136679,124
"Mar 26, 2023",1103.26993006993,77
"Mar 25, 2023",1059.164461247637,59
"Mar 24, 2023",781.3964559640307,135
"Mar 23, 2023",834.5936276254895,180
"Mar 22, 2023",664.1294277929155,136
"Mar 21, 2023",697.1644661308841,222
"Mar 20, 2023",646.0641191709844,118
"Mar 19, 2023",789.2730510486743,90
"Mar 18, 2023",424.85862785862787,34
"Mar 17, 2023",677.4337957124842,91
"Mar 16, 2023",667.1723565670934,139
"Mar 15, 2023",683.3034738485558,157
"Mar 14, 2023",828.790282203004,232
"Mar 13, 2023",599.1772085729222,106
"Mar 12, 2023",626.948971820259,51
"Mar 11, 2023",580.2819383259912,71
"Mar 10, 2023",653.2313771063335,218
"Mar 9, 2023",746.7778245023829,216
"Mar 8, 2023",625.9176093916756,174
"Mar 7, 2023",605.3103689864549,163
"Mar 6, 2023",674.7670229612035,192
"Mar 5, 2023",1040.4152733845458,70
"Mar 4, 2023",855.8777976723367,63
"Mar 3, 2023",832.6927487976322,173
"Mar 2, 2023",879.5327493529763,186
"Mar 1, 2023",828.1057108140948,220
