Day,Road Type,# Accidents
"Mar 1, 2023",7,16
"Mar 1, 2023",1,15
"Mar 1, 2023",2,67
"Mar 1, 2023",6,35
"Mar 2, 2023",7,1
"Mar 2, 2023",4,1
"Mar 2, 2023",6,35
"Mar 2, 2023",20,1
"Mar 2, 2023",1,10
"Mar 2, 2023",2,50
"Mar 3, 2023",4,1
"Mar 3, 2023",6,45
"Mar 3, 2023",20,1
"Mar 3, 2023",7,10
"Mar 3, 2023",2,62
"Mar 3, 2023",1,5
"Mar 4, 2023",2,74
"Mar 4, 2023",1,11
"Mar 4, 2023",7,5
"Mar 4, 2023",6,27
"Mar 4, 2023",4,1
"Mar 5, 2023",2,29
"Mar 5, 2023",7,6
"Mar 5, 2023",1,8
"Mar 5, 2023",4,2
"Mar 5, 2023",6,19
"Mar 5, 2023",20,1
"Mar 6, 2023",7,5
"Mar 6, 2023",1,11
"Mar 6, 2023",2,61
"Mar 6, 2023",6,40
"Mar 7, 2023",2,49
"Mar 7, 2023",1,11
"Mar 7, 2023",6,30
"Mar 7, 2023",7,5
"Mar 8, 2023",2,70
"Mar 8, 2023",1,5
"Mar 8, 2023",6,46
"Mar 8, 2023",7,2
"Mar 9, 2023",4,2
"Mar 9, 2023",7,9
"Mar 9, 2023",1,14
"Mar 9, 2023",6,33
"Mar 9, 2023",2,119
"Mar 10, 2023",20,1
"Mar 10, 2023",6,41
"Mar 10, 2023",4,2
"Mar 10, 2023",7,7
"Mar 10, 2023",1,25
"Mar 10, 2023",17,1
"Mar 10, 2023",2,107
"Mar 11, 2023",2,44
"Mar 11, 2023",4,1
"Mar 11, 2023",7,4
"Mar 11, 2023",17,1
"Mar 11, 2023",1,10
"Mar 11, 2023",6,31
"Mar 12, 2023",7,1
"Mar 12, 2023",1,3
"Mar 12, 2023",4,1
"Mar 12, 2023",6,32
"Mar 12, 2023",2,35
"Mar 12, 2023",17,1
"Mar 13, 2023",6,25
"Mar 13, 2023",2,61
"Mar 13, 2023",1,7
"Mar 13, 2023",7,7
"Mar 14, 2023",20,1
"Mar 14, 2023",7,2
"Mar 14, 2023",2,87
"Mar 14, 2023",6,29
"Mar 14, 2023",1,14
"Mar 14, 2023",17,1
"Mar 15, 2023",7,9
"Mar 15, 2023",17,1
"Mar 15, 2023",4,2
"Mar 15, 2023",6,35
"Mar 15, 2023",2,48
"Mar 15, 2023",1,10
"Mar 16, 2023",2,81
"Mar 16, 2023",1,7
"Mar 16, 2023",6,30
"Mar 17, 2023",4,1
"Mar 17, 2023",1,19
"Mar 17, 2023",2,116
"Mar 17, 2023",6,49
"Mar 17, 2023",7,8
"Mar 18, 2023",20,1
"Mar 18, 2023",2,56
"Mar 18, 2023",7,4
"Mar 18, 2023",1,7
"Mar 18, 2023",6,34
"Mar 18, 2023",17,2
"Mar 19, 2023",7,6
"Mar 19, 2023",6,32
"Mar 19, 2023",2,29
"Mar 19, 2023",1,9
"Mar 20, 2023",7,11
"Mar 20, 2023",1,16
"Mar 20, 2023",6,31
"Mar 20, 2023",4,1
"Mar 20, 2023",2,70
"Mar 21, 2023",1,11
"Mar 21, 2023",4,1
"Mar 21, 2023",2,77
"Mar 21, 2023",20,3
"Mar 21, 2023",6,31
"Mar 21, 2023",7,3
"Mar 21, 2023",10,1
"Mar 22, 2023",6,27
"Mar 22, 2023",4,1
"Mar 22, 2023",1,14
"Mar 22, 2023",2,73
"Mar 22, 2023",7,3
"Mar 22, 2023",17,1
"Mar 22, 2023",10,1
"Mar 23, 2023",7,1
"Mar 23, 2023",1,16
"Mar 23, 2023",6,28
"Mar 23, 2023",20,1
"Mar 23, 2023",4,2
"Mar 23, 2023",2,105
"Mar 24, 2023",4,2
"Mar 24, 2023",2,75
"Mar 24, 2023",7,15
"Mar 24, 2023",6,56
"Mar 24, 2023",1,14
"Mar 25, 2023",20,1
"Mar 25, 2023",7,3
"Mar 25, 2023",1,5
"Mar 25, 2023",6,26
"Mar 25, 2023",2,62
"Mar 26, 2023",4,2
"Mar 26, 2023",2,43
"Mar 26, 2023",7,2
"Mar 26, 2023",1,13
"Mar 26, 2023",6,42
"Mar 27, 2023",7,2
"Mar 27, 2023",1,4
"Mar 27, 2023",4,2
"Mar 27, 2023",6,34
"Mar 27, 2023",2,43
"Mar 28, 2023",17,1
"Mar 28, 2023",1,9
"Mar 28, 2023",6,29
"Mar 28, 2023",4,1
"Mar 28, 2023",2,54
"Mar 28, 2023",7,2
"Mar 29, 2023",6,43
"Mar 29, 2023",1,22
"Mar 29, 2023",7,5
"Mar 29, 2023",2,79
"Mar 30, 2023",6,28
"Mar 30, 2023",20,1
"Mar 30, 2023",1,10
"Mar 30, 2023",4,1
"Mar 30, 2023",2,85
"Mar 30, 2023",7,9
"Mar 31, 2023",2,85
"Mar 31, 2023",1,12
"Mar 31, 2023",6,51
"Mar 31, 2023",7,3
