Day,Accident Type,# Accidents
"Jul 1, 2023",ACCIDENT_MINOR,48
"Jul 1, 2023",ACCIDENT_MAJOR,26
"Jul 2, 2023",ACCIDENT_MINOR,33
"Jul 2, 2023",ACCIDENT_MAJOR,14
"Jul 3, 2023",ACCIDENT_MAJOR,27
"Jul 3, 2023",ACCIDENT_MINOR,69
"Jul 4, 2023",ACCIDENT_MAJOR,20
"Jul 4, 2023",ACCIDENT_MINOR,62
"Jul 5, 2023",ACCIDENT_MAJOR,29
"Jul 5, 2023",ACCIDENT_MINOR,83
"Jul 6, 2023",ACCIDENT_MINOR,86
"Jul 6, 2023",ACCIDENT_MAJOR,29
"Jul 7, 2023",ACCIDENT_MINOR,130
"Jul 7, 2023",ACCIDENT_MAJOR,40
"Jul 8, 2023",ACCIDENT_MINOR,70
"Jul 8, 2023",ACCIDENT_MAJOR,26
"Jul 9, 2023",ACCIDENT_MAJOR,28
"Jul 9, 2023",ACCIDENT_MINOR,36
"Jul 10, 2023",ACCIDENT_MAJOR,27
"Jul 10, 2023",ACCIDENT_MINOR,98
"Jul 11, 2023",ACCIDENT_MINOR,64
"Jul 11, 2023",ACCIDENT_MAJOR,27
"Jul 12, 2023",ACCIDENT_MAJOR,29
"Jul 12, 2023",ACCIDENT_MINOR,85
"Jul 13, 2023",ACCIDENT_MINOR,56
"Jul 13, 2023",ACCIDENT_MAJOR,27
"Jul 14, 2023",ACCIDENT_MINOR,67
"Jul 14, 2023",ACCIDENT_MAJOR,18
"Jul 15, 2023",ACCIDENT_MAJOR,20
"Jul 15, 2023",ACCIDENT_MINOR,42
"Jul 16, 2023",ACCIDENT_MINOR,36
"Jul 16, 2023",ACCIDENT_MAJOR,19
"Jul 17, 2023",ACCIDENT_MINOR,65
"Jul 17, 2023",ACCIDENT_MAJOR,33
"Jul 18, 2023",ACCIDENT_MAJOR,20
"Jul 18, 2023",ACCIDENT_MINOR,66
"Jul 19, 2023",ACCIDENT_MAJOR,13
"Jul 19, 2023",ACCIDENT_MINOR,42
"Jul 20, 2023",ACCIDENT_MINOR,59
"Jul 20, 2023",ACCIDENT_MAJOR,23
"Jul 21, 2023",ACCIDENT_MAJOR,28
"Jul 21, 2023",ACCIDENT_MINOR,72
"Jul 22, 2023",ACCIDENT_MAJOR,22
"Jul 22, 2023",ACCIDENT_MINOR,50
"Jul 23, 2023",ACCIDENT_MAJOR,29
"Jul 23, 2023",ACCIDENT_MINOR,25
"Jul 24, 2023",ACCIDENT_MINOR,60
"Jul 24, 2023",ACCIDENT_MAJOR,15
"Jul 26, 2023",ACCIDENT_MINOR,71
"Jul 26, 2023",ACCIDENT_MAJOR,18
"Jul 27, 2023",ACCIDENT_MAJOR,18
"Jul 27, 2023",ACCIDENT_MINOR,66
"Jul 28, 2023",ACCIDENT_MINOR,75
"Jul 28, 2023",ACCIDENT_MAJOR,31
"Jul 29, 2023",ACCIDENT_MINOR,37
"Jul 29, 2023",ACCIDENT_MAJOR,16
"Jul 30, 2023",ACCIDENT_MINOR,28
"Jul 30, 2023",ACCIDENT_MAJOR,19
"Jul 31, 2023",ACCIDENT_MAJOR,28
"Jul 31, 2023",ACCIDENT_MINOR,63
