Day,Average Delay (Seconds),# Irregularities
"Jul 31, 2023",620.8323489323035,94
"Jul 30, 2023",622.9411331861663,58
"Jul 29, 2023",657.8764861294584,93
"Jul 28, 2023",966.1229156741306,105
"Jul 27, 2023",901.1201982651796,105
"Jul 26, 2023",767.9152400835073,133
"Jul 24, 2023",683.5385631273111,212
"Jul 23, 2023",640.5322872661436,68
"Jul 22, 2023",602.3224489795919,46
"Jul 21, 2023",776.4409136047666,138
"Jul 20, 2023",634.8380327868853,94
"Jul 19, 2023",646.9365971107544,71
"Jul 18, 2023",851.969040247678,58
"Jul 17, 2023",1152.5709808837355,119
"Jul 16, 2023",682.1862745098039,44
"Jul 15, 2023",530.3382749326146,44
"Jul 14, 2023",568.5192034139402,59
"Jul 13, 2023",631.169779286927,95
"Jul 12, 2023",828.4889649923897,127
"Jul 11, 2023",765.0475847152127,66
"Jul 10, 2023",687.7429742388758,71
"Jul 9, 2023",733.9787234042553,21
"Jul 8, 2023",577.7941463414634,57
"Jul 7, 2023",598.5742343541945,85
"Jul 6, 2023",698.836291913215,120
"Jul 5, 2023",528.9289461134955,105
"Jul 4, 2023",716.1235668789809,85
"Jul 3, 2023",578.0069033530572,46
"Jul 2, 2023",686.6736111111111,61
"Jul 1, 2023",678.0167883211678,65
