Day,Cause,# Irregularities
"Oct 1, 2022",ACCIDENT,1
"Oct 3, 2022",HAZARD,4
"Oct 3, 2022",ACCIDENT,4
"Oct 4, 2022",HAZARD,10
"Oct 4, 2022",ACCIDENT,1
"Oct 5, 2022",ACCIDENT,6
"Oct 6, 2022",HAZARD,2
"Oct 6, 2022",ACCIDENT,7
"Oct 7, 2022",ACCIDENT,21
"Oct 7, 2022",HAZARD,7
"Oct 8, 2022",ACCIDENT,4
"Oct 9, 2022",ACCIDENT,4
"Oct 10, 2022",ACCIDENT,4
"Oct 11, 2022",ACCIDENT,7
"Oct 11, 2022",HAZARD,8
"Oct 12, 2022",ACCIDENT,1
"Oct 13, 2022",HAZARD,3
"Oct 13, 2022",ACCIDENT,9
"Oct 14, 2022",ACCIDENT,10
"Oct 14, 2022",HAZARD,1
"Oct 15, 2022",HAZARD,3
"Oct 15, 2022",ACCIDENT,3
"Oct 16, 2022",HAZARD,1
"Oct 16, 2022",ACCIDENT,5
"Oct 17, 2022",HAZARD,7
"Oct 17, 2022",ACCIDENT,10
"Oct 18, 2022",HAZARD,6
"Oct 18, 2022",ACCIDENT,6
"Oct 19, 2022",ACCIDENT,6
"Oct 19, 2022",HAZARD,12
"Oct 20, 2022",HAZARD,1
"Oct 20, 2022",ACCIDENT,8
"Oct 21, 2022",ACCIDENT,3
"Oct 21, 2022",HAZARD,9
"Oct 22, 2022",HAZARD,1
"Oct 22, 2022",ACCIDENT,1
"Oct 23, 2022",ACCIDENT,5
"Oct 24, 2022",HAZARD,14
"Oct 24, 2022",ACCIDENT,11
"Oct 25, 2022",ACCIDENT,7
"Oct 25, 2022",HAZARD,18
"Oct 26, 2022",ACCIDENT,12
"Oct 26, 2022",HAZARD,7
"Oct 27, 2022",HAZARD,3
"Oct 27, 2022",ACCIDENT,13
"Oct 28, 2022",HAZARD,8
"Oct 28, 2022",ACCIDENT,6
"Oct 29, 2022",ACCIDENT,4
"Oct 29, 2022",HAZARD,3
"Oct 30, 2022",ACCIDENT,3
"Oct 31, 2022",ACCIDENT,12
"Oct 31, 2022",HAZARD,9
