Day,Average Delay (Seconds),# Irregularities
"Oct 31, 2022",755.0942039838251,211
"Oct 30, 2022",467.64029850746266,36
"Oct 29, 2022",645.2919566898685,106
"Oct 28, 2022",712.1902869757174,77
"Oct 27, 2022",652.719298245614,94
"Oct 26, 2022",648.5270863836017,79
"Oct 25, 2022",630.9747474747475,106
"Oct 24, 2022",599.3178202068417,82
"Oct 23, 2022",577.7315187132695,83
"Oct 22, 2022",550.3269230769231,31
"Oct 21, 2022",615.6549069916613,53
"Oct 20, 2022",718.439585730725,64
"Oct 19, 2022",642.932871214885,96
"Oct 18, 2022",588.5821325648415,94
"Oct 17, 2022",660.9992113564668,76
"Oct 16, 2022",662.2595078299777,42
"Oct 15, 2022",627.4861660079051,24
"Oct 14, 2022",678.261355443403,91
"Oct 13, 2022",559.7347347347347,45
"Oct 12, 2022",553.7491082045184,28
"Oct 11, 2022",577.0871956009427,122
"Oct 10, 2022",663.5343137254902,42
"Oct 9, 2022",744.187675070028,47
"Oct 8, 2022",677.0206896551724,36
"Oct 7, 2022",627.4702914798206,134
"Oct 6, 2022",701.9432553509208,89
"Oct 5, 2022",689.5033686236766,55
"Oct 4, 2022",607.2675879396985,53
"Oct 3, 2022",542.1144781144781,57
"Oct 2, 2022",446.7286324786325,26
"Oct 1, 2022",595.8684210526316,69
