Day,Average Delay (Seconds),# Irregularities
"Nov 30, 2022",639.7389783065081,123
"Nov 29, 2022",798.8944466325325,85
"Nov 28, 2022",690.2162522202486,177
"Nov 27, 2022",623.1558152476349,78
"Nov 26, 2022",648.130702836005,60
"Nov 25, 2022",648.8650817236255,114
"Nov 24, 2022",614.654691689008,231
"Nov 23, 2022",796.4610077984403,147
"Nov 22, 2022",858.3485617597293,96
"Nov 21, 2022",663.2397844634037,75
"Nov 20, 2022",729.8059360730593,20
"Nov 19, 2022",438.22475106685636,31
"Nov 18, 2022",611.7606979642709,78
"Nov 17, 2022",799.8250788350955,187
"Nov 16, 2022",599.4399031183773,82
"Nov 15, 2022",446.7768218623482,55
"Nov 14, 2022",897.7331002331002,31
"Nov 13, 2022",550.3489361702127,43
"Nov 12, 2022",822.3092603377985,84
"Nov 11, 2022",678.910390848427,225
"Nov 10, 2022",738.803650094399,135
"Nov 9, 2022",769.7825183543428,249
"Nov 8, 2022",633.7562137531069,135
"Nov 7, 2022",701.7477298524404,100
"Nov 6, 2022",551.2057659694743,43
"Nov 5, 2022",419.28414298808434,35
"Nov 4, 2022",723.1197604790419,126
"Nov 3, 2022",631.2848692403487,132
"Nov 2, 2022",704.0400466562986,119
"Nov 1, 2022",617.4503287719922,173
